Fold,Feature,Droped_Attrib,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
7,sex,['age'],0.5742024965325936,0.5811373092926491,0.408,0.055,-0.535,-0.192,0.469,0.123,0.531,0.848,-0.06350000000000003,-0.0685,0.678,0.771,0.545,0.637,0.616,0.709,0.588,0.581,0.678,0.771,0.63,0.663,0.574,0.581
7,race,['age'],0.5742024965325936,0.5936199722607489,0.515,0.046,-0.683,-0.134,0.596,0.093,0.404,0.866,-0.08400000000000002,-0.044000000000000004,0.678,0.714,0.545,0.545,0.616,0.635,0.588,0.6,0.678,0.714,0.63,0.652,0.574,0.594
7,priors_count,['age'],0.5742024965325936,0.5742024965325936,0.016,0.016,-0.052,-0.052,0.05,0.05,0.923,0.923,-0.018,-0.018,0.678,0.678,0.545,0.545,0.616,0.616,0.588,0.588,0.678,0.678,0.63,0.63,0.574,0.574
7,c_charge_degree,['age'],0.5742024965325936,0.5783633841886269,0.541,0.03,-0.624,-0.04,0.584,0.054,0.416,0.918,-0.04149999999999998,-0.005000000000000001,0.678,0.694,0.545,0.554,0.616,0.628,0.588,0.589,0.678,0.694,0.63,0.637,0.574,0.578
8,sex,None,0.6144244105409153,0.59500693481276,0.334,0.007,-0.528,0.055,0.424,0.008,0.544,1.011,-0.097,0.031,0.68,0.776,0.47,0.638,0.588,0.716,0.651,0.61,0.68,0.776,0.665,0.683,0.614,0.595
8,age,None,0.6144244105409153,0.5783633841886269,0.2,-0.024,-0.6,0.113,0.4,0.033,0.6,1.05,-0.19999999999999998,0.0445,0.68,0.744,0.47,0.635,0.588,0.696,0.651,0.602,0.68,0.744,0.665,0.666,0.614,0.578
8,race,None,0.6144244105409153,0.6019417475728155,0.243,0.132,-0.231,-0.118,0.257,0.144,0.662,0.783,0.0059999999999999915,0.007000000000000006,0.68,0.65,0.47,0.46,0.588,0.567,0.651,0.645,0.68,0.65,0.665,0.647,0.614,0.602
8,priors_count,None,0.6144244105409153,0.6019417475728155,0.189,-0.061,-0.117,0.033,0.158,0.048,0.767,1.074,0.036,-0.013999999999999999,0.68,0.749,0.47,0.587,0.588,0.678,0.651,0.622,0.68,0.749,0.665,0.68,0.614,0.602
8,c_charge_degree,None,0.6144244105409153,0.5617198335644937,0.292,-0.015,-0.451,-0.051,0.379,0.021,0.548,0.973,-0.07950000000000002,-0.033,0.68,0.771,0.47,0.708,0.588,0.743,0.651,0.584,0.68,0.771,0.665,0.665,0.614,0.562
8,sex,['race'],0.6185852981969486,0.59500693481276,0.343,0.007,-0.577,0.055,0.449,0.008,0.528,1.011,-0.11699999999999997,0.031,0.685,0.776,0.467,0.638,0.589,0.716,0.654,0.61,0.685,0.776,0.669,0.683,0.619,0.595
8,age,['race'],0.6185852981969486,0.5783633841886269,0.2,-0.024,-0.6,0.113,0.4,0.033,0.6,1.05,-0.19999999999999998,0.0445,0.685,0.744,0.467,0.635,0.589,0.696,0.654,0.602,0.685,0.744,0.669,0.666,0.619,0.578
8,priors_count,['race'],0.6185852981969486,0.6019417475728155,0.171,-0.103,-0.11,0.088,0.145,0.096,0.785,1.188,0.030500000000000006,-0.0075,0.685,0.65,0.467,0.46,0.589,0.567,0.654,0.645,0.685,0.65,0.669,0.647,0.619,0.602
8,c_charge_degree,['race'],0.6185852981969486,0.550624133148405,0.284,-0.025,-0.455,-0.037,0.377,0.01,0.551,0.985,-0.08550000000000002,-0.031,0.685,0.687,0.467,0.625,0.589,0.66,0.654,0.586,0.685,0.687,0.669,0.632,0.619,0.551
8,sex,['priors_count'],0.6158113730929264,0.6047156726768377,0.396,0.101,-0.58,-0.109,0.482,0.116,0.504,0.838,-0.09199999999999997,-0.003999999999999997,0.677,0.702,0.463,0.521,0.584,0.623,0.653,0.635,0.677,0.702,0.665,0.667,0.616,0.605
8,age,['priors_count'],0.6158113730929264,0.6005547850208044,0.3,0.182,-0.6,-0.111,0.45,0.185,0.55,0.758,-0.15,0.0355,0.677,0.7,0.463,0.527,0.584,0.624,0.653,0.631,0.677,0.7,0.665,0.664,0.616,0.601
8,race,['priors_count'],0.6158113730929264,0.6019417475728155,0.269,0.132,-0.271,-0.118,0.289,0.144,0.629,0.783,-0.0010000000000000009,0.007000000000000006,0.677,0.65,0.463,0.46,0.584,0.567,0.653,0.645,0.677,0.65,0.665,0.647,0.616,0.602
8,c_charge_degree,['priors_count'],0.6158113730929264,0.5617198335644937,0.337,0.054,-0.424,-0.088,0.398,0.086,0.531,0.857,-0.04349999999999998,-0.016999999999999998,0.677,0.594,0.463,0.479,0.584,0.544,0.653,0.615,0.677,0.594,0.665,0.604,0.616,0.562
8,age,['sex'],0.6102635228848821,0.5936199722607489,0.2,0.061,-0.8,0.04,0.5,0.05,0.5,0.935,-0.30000000000000004,0.0505,0.692,0.786,0.495,0.654,0.606,0.728,0.643,0.608,0.692,0.786,0.667,0.686,0.61,0.594
8,race,['sex'],0.6102635228848821,0.59500693481276,0.277,0.102,-0.338,-0.124,0.318,0.123,0.612,0.845,-0.0305,-0.011000000000000003,0.692,0.776,0.495,0.638,0.606,0.716,0.643,0.61,0.692,0.776,0.667,0.683,0.61,0.595
8,priors_count,['sex'],0.6102635228848821,0.6047156726768377,0.199,-0.031,-0.191,-0.03,0.196,0.004,0.728,1.006,0.0040000000000000036,-0.0305,0.692,0.702,0.495,0.521,0.606,0.623,0.643,0.635,0.692,0.702,0.667,0.667,0.61,0.605
8,c_charge_degree,['sex'],0.6102635228848821,0.5631067961165048,0.322,-0.016,-0.505,-0.015,0.414,0.012,0.53,0.983,-0.0915,-0.0155,0.692,0.712,0.495,0.629,0.606,0.675,0.643,0.593,0.692,0.712,0.667,0.647,0.61,0.563
8,sex,['c_charge_degree'],0.6074895977808599,0.5631067961165048,0.393,0.016,-0.576,0.11,0.477,0.029,0.513,1.044,-0.09149999999999997,0.063,0.68,0.712,0.486,0.629,0.595,0.675,0.643,0.593,0.68,0.712,0.661,0.647,0.607,0.563
8,age,['c_charge_degree'],0.6074895977808599,0.5492371705963939,0.2,0.1,-0.6,-0.007,0.4,0.076,0.6,0.897,-0.19999999999999998,0.0465,0.68,0.707,0.486,0.654,0.595,0.684,0.643,0.582,0.68,0.707,0.661,0.638,0.607,0.549
8,race,['c_charge_degree'],0.6074895977808599,0.550624133148405,0.254,0.137,-0.304,-0.11,0.291,0.131,0.632,0.825,-0.024999999999999994,0.013500000000000005,0.68,0.687,0.486,0.625,0.595,0.66,0.643,0.586,0.68,0.687,0.661,0.632,0.607,0.551
