"Swap 
 Percentage",Measurement,Feature,internet,paid,Walc,famrel,higher,Medu,sex,famsup,guardian,Fjob,health,studytime,traveltime,schoolsup,reason,romantic,goout,nursery,freetime,Pstatus,activities,absences,age,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,"Hellinger
 distance",Medu,0.3528/0.3677,0.3303/0.2873,0.3299/0.229,0.3932/0.263,0.0778/0.2939,-,-,0.3862/0.3834,0.3664/0.2537,0.3958/0.2378,0.4004/0.26,0.4086/0.2804,0.3454/0.2749,0.1527/0.344,0.3826/0.2643,0.3822/0.3175,0.3837/0.2177,0.3811/0.3313,0.3736/0.2019,0.403/0.4041,-,0.2895/0.3057,-,,0.39930062126732,0.39930062126732,3.1580967933151247,12.052688769182984,[],"[0.3676858950507604, 0.28733269649915394, 0.22895641470220102, 0.26302333407265166, 0.2939088339187131, 0.38343028776790333, 0.25370050733350186, 0.23779932994241298, 0.2600045035835521, 0.280365537238392, 0.2748948045797512, 0.3439860265474288, 0.2643341919262444, 0.31748798175453125, 0.21765430709213923, 0.33130382647320294, 0.20190851841434995, 0.4041427472903939, 0.30567259990832535]","[0.7204377568044142, 0.6176253482396677, 0.5588601024802675, 0.6562265407486809, 0.37174061544733933, 0.7696065121401188, 0.6201261006029306, 0.6336145281078085, 0.6604371273915799, 0.6890011744758198, 0.620302036594868, 0.49666779773751407, 0.6469351249340469, 0.6996972519106242, 0.601346754024287, 0.7123586560611965, 0.575485949957223, 0.8070948650370344, 0.5951245264875631]"
50%,"Wasserstein
 distance",Medu,0.0063/0.0201,0.0057/0.0047,0.0057/0.0032,0.005/0.0032,0.0011/0.0048,-,-,0.0075/0.0161,0.0048/0.0038,0.0059/0.0059,0.0063/0.0072,0.0077/0.0062,0.0043/0.0045,0.0018/0.0113,0.0069/0.005,0.0072/0.0077,0.0058/0.003,0.0062/0.0075,0.0033/0.0026,0.0056/0.0056,-,0.0056/0.0063,-,,0.005550065725838041,0.005550065725838041,0.0697236889404071,0.23093362057836328,[],"[0.02013893313105191, 0.00465164793805022, 0.00315380580225035, 0.0031624306130131202, 0.00480545706331949, 0.016080959667171858, 0.00376472989794608, 0.00586199638175798, 0.00721609167151179, 0.0061667396953756105, 0.004509338560464621, 0.01126831526155002, 0.004954953783207381, 0.0076617068942545705, 0.0030028716139020003, 0.00751939751666897, 0.0025586938596197, 0.005564440410442659, 0.0063047366675798204]","[0.02645229460939449, 0.01035983519453893, 0.00885624318489721, 0.008118821864680971, 0.0058576839763765706, 0.023590294904617597, 0.00857018696126557, 0.01171824288967413, 0.013515078465249769, 0.013838508868853391, 0.008859118121818131, 0.01307233817942794, 0.01186630214110155, 0.01487348616038499, 0.008851930779515842, 0.01367463746436089, 0.00586918372406026, 0.01112456841550394, 0.011864864672641091]"
50%,"Total variation
 distance",Medu,0.3114/0.4537,0.2835/0.1794,0.2919/0.1177,0.3137/0.1595,0.0573/0.2032,-,-,0.3042/0.428,0.311/0.1408,0.3102/0.148,0.3219/0.2064,0.2953/0.2093,0.2859/0.1965,0.0955/0.2685,0.2971/0.169,0.3177/0.2474,0.3085/0.1102,0.3147/0.2825,0.2726/0.1036,0.2936/0.3452,-,0.2537/0.2242,-,,0.31138636208114623,0.31138636208114623,2.4079803425276003,13.626383514344457,[],"[0.4536983014502195, 0.1793956943010239, 0.11773846121672205, 0.15954737428388854, 0.20323666163380044, 0.42795942075156324, 0.14083308157913604, 0.14798824567139288, 0.206407096118176, 0.20928242929167987, 0.19648521033650163, 0.2685470357863124, 0.16900125389688947, 0.24735602988093489, 0.11022574132594776, 0.282482542421681, 0.1036384685522616, 0.34518699889667614, 0.22417791349810154]","[1.2187498366282061, 0.6423249768708071, 0.5274247979616193, 0.6328366327072271, 0.4638168961482581, 1.1600782539860683, 0.5927072165576462, 0.6062122881387311, 0.734726362231603, 0.713900667036394, 0.6788578310917903, 0.6326430680619315, 0.6351239437664912, 0.8124209050610454, 0.5289720273279199, 0.8796415937208933, 0.4798958395832846, 0.983953241053117, 0.7020971364114255]"
50%,"Jensen-Shannon
 divergence",Medu,0.0683/0.0676,0.0641/0.0565,0.0639/0.0451,0.0771/0.0516,0.0149/0.0575,-,-,0.0757/0.0726,0.0714/0.0501,0.0778/0.0466,0.0784/0.0503,0.0808/0.0544,0.0672/0.0536,0.0296/0.0668,0.0751/0.0518,0.0747/0.0617,0.0751/0.0428,0.0744/0.0643,0.0736/0.0397,0.0797/0.0791,-,0.0558/0.0597,-,,0.07844620783653629,0.07844620783653629,0.6145005272974391,2.3496551690494263,[],"[0.06763284345153915, 0.05652997782985945, 0.045143065480910474, 0.051636267518379464, 0.05746568290757999, 0.07261162388680599, 0.050113904698714726, 0.04660597980858165, 0.0503013004025797, 0.05444671778043362, 0.05363758349385511, 0.06682564484334316, 0.051831028008145805, 0.06171547303947561, 0.04278061393760415, 0.06433718458740728, 0.039679182342378834, 0.07913866760069478, 0.059675897303516565]","[0.13593084870654853, 0.12059950476110592, 0.10899574168706823, 0.12870991403846233, 0.07234342325353237, 0.14827905776886996, 0.12155716306580046, 0.12437344613646535, 0.1287265225519875, 0.13523687970513745, 0.12083819491146496, 0.09642848958479462, 0.12694478088446337, 0.13638439299552013, 0.11792969916967824, 0.1387793624288835, 0.11330462703509736, 0.15880782221515954, 0.11548529814938677]"
70%,"Hellinger
 distance",Medu,0.4319/0.4392,0.4047/0.3827,0.3889/0.2779,0.4445/0.2888,0.0706/0.3523,-,-,0.4679/0.4619,0.4256/0.3263,0.4554/0.2743,0.4495/0.3277,0.4817/0.3266,0.4026/0.3102,0.1807/0.4242,0.4708/0.3376,0.4633/0.3724,0.4466/0.2488,0.4493/0.4191,0.4634/0.2301,0.4828/0.4774,-,0.3202/0.3779,-,,0.4586639704085771,0.4586639704085771,3.7862913365107564,14.355795949164158,[],"[0.43915826232645977, 0.38266808624527104, 0.2779487313863284, 0.28876768434331546, 0.3523352743423498, 0.46185044655780205, 0.3263370028767258, 0.2743433482652613, 0.3276578969434701, 0.32663459740428114, 0.3101649798490801, 0.42417941928543035, 0.3376140641863791, 0.372351285090185, 0.2488151447036544, 0.419081820976171, 0.23005531453753253, 0.4774379918750184, 0.3778533810096428]","[0.8711065813140217, 0.787354970767566, 0.6668391587852377, 0.7332725464783041, 0.42293494884824623, 0.9297570841030875, 0.7518892506077152, 0.7297479108916529, 0.7771771920368635, 0.8083058050846004, 0.7128080363641014, 0.6048374936140732, 0.8084444162417239, 0.8356983311918185, 0.6954213658314135, 0.8684165228072369, 0.6934789681138913, 0.9602605277693601, 0.6980448383132418]"
70%,"Wasserstein
 distance",Medu,0.008/0.0287,0.0078/0.0078,0.0077/0.0026,0.0104/0.0029,0.0008/0.0045,-,-,0.0104/0.0233,0.0089/0.0051,0.0107/0.0059,0.0107/0.0123,0.0095/0.0048,0.0063/0.0021,0.0036/0.0149,0.0102/0.0111,0.0089/0.0093,0.0107/0.0036,0.0089/0.0107,0.0071/0.0023,0.0095/0.0063,-,0.0059/0.0132,-,,0.0103583977260785,0.0103583977260785,0.09600133113185574,0.3267222063780712,[],"[0.028709120092317558, 0.007799703866458771, 0.00256013132808015, 0.0028605622363164, 0.0045064636235437, 0.02329561387022323, 0.005115950250778971, 0.005860558913297529, 0.012326292048448952, 0.00480976946870089, 0.0021073287630351, 0.014880673502687309, 0.01111019373089936, 0.00930904574994232, 0.0036094833042163406, 0.01066314103969615, 0.00225538801446253, 0.00630042426219844, 0.013206022746250809]","[0.03666982042634791, 0.015610907480601231, 0.01021752581695332, 0.013229022241618128, 0.00525825962836454, 0.03366407387552496, 0.01397506837259714, 0.01652369995299366, 0.02297937080892186, 0.01427262434391249, 0.008416377835996301, 0.01848728186998272, 0.021320532205550427, 0.01816672640330004, 0.014271186875452011, 0.0195193842245934, 0.009307608281481833, 0.01576040420048911, 0.01907233153339017]"
70%,"Total variation
 distance",Medu,0.487/0.6803,0.4715/0.3041,0.4577/0.1589,0.4554/0.1825,0.0837/0.2819,-,-,0.4372/0.6417,0.4686/0.2124,0.436/0.171,0.4407/0.3275,0.3813/0.2882,0.4455/0.2158,0.2005/0.3651,0.4446/0.3009,0.4559/0.3509,0.4451/0.1492,0.447/0.4293,0.4525/0.1179,0.4135/0.4573,-,0.3872/0.3808,-,,0.4372426008226341,0.4372426008226341,3.4449799828290355,19.84183631612548,[],"[0.6803261776784197, 0.30405502878104, 0.15888948143416712, 0.18247865933349797, 0.281923937162044, 0.6416916935493132, 0.2123524380124402, 0.17099498134645333, 0.327489075958623, 0.2882128762838144, 0.21578638360748176, 0.36508646412957424, 0.3008772700431016, 0.3508642768521799, 0.14920637075258597, 0.4292883249791143, 0.11786914617949096, 0.45729664670841136, 0.3807855312210494]","[1.8476216543327173, 1.0795612020295287, 0.7754307402798369, 0.8203305859226161, 0.6475719280481418, 1.7205374792254955, 0.8932814522899577, 0.7780008094598178, 1.095707897773286, 0.9577683019991556, 0.8770888789424596, 0.9306530869893072, 1.046348722254817, 1.1576706340826104, 0.7435563269674232, 1.3055776841234397, 0.6882581072695657, 1.3280623433144862, 1.1488084808208217]"
70%,"Jensen-Shannon
 divergence",Medu,0.0831/0.0781,0.0778/0.0747,0.0745/0.0548,0.0861/0.0567,0.0133/0.069,-,-,0.0914/0.0853,0.0819/0.0644,0.0885/0.0541,0.0868/0.0623,0.0954/0.0632,0.0774/0.0607,0.0343/0.0824,0.0917/0.0648,0.0901/0.0719,0.0865/0.0489,0.0872/0.0808,0.0904/0.0453,0.0949/0.0934,-,0.061/0.0719,-,,0.08926400522888833,0.08926400522888833,0.7305822290514729,2.7750313533697883,[],"[0.07809356601357816, 0.07471645407996197, 0.05480112315171569, 0.05669216890657586, 0.06896370025855277, 0.08527166547948792, 0.06444231578797988, 0.054069160148334974, 0.06232916270053235, 0.06319675728599568, 0.06068550699200692, 0.08239304900694482, 0.06481616522511839, 0.07190268018312246, 0.0488612889111875, 0.08083714842578178, 0.045298988209169624, 0.0933752825432127, 0.0718902643359098]","[0.16122055590847215, 0.1525510201497508, 0.12926714909437842, 0.142755565339276, 0.08229796793685336, 0.1766343473138272, 0.14637573475949406, 0.1426148196786849, 0.1491403971891687, 0.15857105563996418, 0.13812547090838906, 0.11669251714472739, 0.15654378286076043, 0.16197572716759273, 0.13539953196786936, 0.1680425547919402, 0.13570251481279294, 0.18824119246019255, 0.1328794482456535]"
10%,"Hellinger
 distance",Fjob,0.0099/0.1491,0.0/0.1642,0.0099/0.0535,0.014/0.0851,0.0/0.0198,-,-,-,0.0099/0.0436,-,-,0.0198/0.0747,0.0099/0.0508,0.0/0.1057,0.0198/0.0576,-,-,0.0296/0.1108,-,0.0296/0.0099,-,-,-,,0.0,0.0,0.4623203653893805,1.0769214755053587,[],"[0.14906861875200378, 0.16419629695248547, 0.05348832556722978, 0.08506388855135608, 0.019758483831873598, 0.04360908365129298, 0.07469179049344218, 0.050841190674022804, 0.1057095639472172, 0.05758044155477556, 0.11075380488712475, 0.009879241915936799]","[0.1589478606679406, 0.16419629695248547, 0.06336756748316658, 0.09903524645483866, 0.019758483831873598, 0.05348832556722978, 0.09445027432531578, 0.0607204325899596, 0.1057095639472172, 0.07733892538664916, 0.14039153063493515, 0.039516967663747196]"
10%,"Wasserstein
 distance",Fjob,0.0002/0.0033,0.0/0.0023,0.0002/0.0009,0.0003/0.0014,0.0/0.0,-,-,-,0.0001/0.0008,-,-,0.0003/0.0015,0.0001/0.0011,0.0/0.0018,0.0003/0.001,-,-,0.0005/0.0014,-,0.0004/0.0001,-,-,-,,0.0,0.0,0.007732861583047244,0.01786917043198441,[],"[0.00330761492751963, 0.0022539505460020598, 0.00089985525624826, 0.00135122035283287, 0.0, 0.00075035853636037, 0.0015021545411812202, 0.00105078944459663, 0.00179971051249655, 0.0010493519761361502, 0.0013512203528328601, 0.00014949671988789]","[0.00345854911586798, 0.0022539505460020598, 0.00105078944459661, 0.0016502137926086501, 0.0, 0.00089985525624826, 0.00180258544941746, 0.00120028616448452, 0.00179971051249655, 0.0013512203528328504, 0.00180258544941745, 0.00059942434801202]"
10%,"Total variation
 distance",Fjob,0.0026/0.0696,0.0/0.0664,0.0026/0.016,0.004/0.0305,0.0/0.0051,-,-,-,0.003/0.0158,-,-,0.0064/0.0278,0.0031/0.0184,0.0/0.0394,0.0073/0.0188,-,-,0.0079/0.0399,-,0.0076/0.0025,-,-,-,,0.0,0.0,0.17515066087097686,0.7452158996890692,[],"[0.06957849845058972, 0.06637479474688597, 0.01595599962473025, 0.03051148090815272, 0.0051282051282051195, 0.01583296378418327, 0.02780880368341666, 0.018446455505279007, 0.03940055480623926, 0.018826644044872512, 0.03993692105939929, 0.00249999999999999]","[0.14178857584854787, 0.13274958949377194, 0.03454357819682892, 0.06502296181630543, 0.010256410256410239, 0.03469623059866955, 0.061968413818446214, 0.040017911010558, 0.07880110961247852, 0.04498662142307834, 0.08779953871322582, 0.012584958900748329]"
10%,"Jensen-Shannon
 divergence",Fjob,0.002/0.0293,0.0/0.0324,0.002/0.0107,0.0028/0.0169,0.0/0.004,-,-,-,0.0019/0.0086,-,-,0.0039/0.0148,0.0019/0.0101,0.0/0.021,0.0039/0.0115,-,-,0.0059/0.0219,-,0.0059/0.002,-,-,-,,0.0,0.0,0.09152194210072588,0.2133407716652862,[],"[0.02925823700554166, 0.0324303024100583, 0.01065525942688742, 0.01690694150338401, 0.0039580436653558395, 0.00857261699224909, 0.01479384535685579, 0.01010171012475666, 0.021008434300343885, 0.01145619865753841, 0.021929737423639423, 0.00197255733484127]","[0.03123312687253492, 0.0324303024100583, 0.01263014929388068, 0.01974311551508602, 0.0039580436653558395, 0.01051574644046177, 0.01867823644450304, 0.012040742184575879, 0.021008434300343885, 0.01531852033717133, 0.027867503775269694, 0.007916850426044869]"
30%,"Hellinger
 distance",Fjob,0.0576/0.29,0.0198/0.2997,0.0296/0.1386,0.0337/0.2142,0.0099/0.0919,-,-,-,0.0198/0.1259,-,-,0.0436/0.1898,0.0296/0.1463,0.0296/0.2122,0.0494/0.1378,-,-,0.0477/0.2524,-,0.0419/0.0576,-,-,-,,0.03372984173535618,0.03372984173535618,1.1118729047773879,2.5685263627775736,[],"[0.2899637015581132, 0.29973769950585977, 0.13855221411858587, 0.21418486637698733, 0.09190269078128119, 0.12588148308760644, 0.18977652467354827, 0.14627717728329276, 0.21223586124593216, 0.13780932913010235, 0.2523841367679786, 0.05758044155477556]","[0.3475441431128887, 0.3194961833377334, 0.16818993986639627, 0.2479147081123435, 0.10178193269721798, 0.14563996691948003, 0.23338560832484126, 0.17591490303110316, 0.24187358699374256, 0.18720553870978635, 0.3000853364068174, 0.0994945152652233]"
30%,"Wasserstein
 distance",Fjob,0.0008/0.0126,0.0003/0.0101,0.0005/0.0029,0.0006/0.0054,0.0001/0.0015,-,-,-,0.0003/0.0018,-,-,0.0005/0.0056,0.0004/0.0035,0.0004/0.0047,0.0008/0.0021,-,-,0.0009/0.0065,-,0.0006/0.0008,-,-,-,,0.00060229928493295,0.00060229928493295,0.029218702661550657,0.06339954644861091,[],"[0.0126238480197643, 0.01006802909706547, 0.00285481236247457, 0.005404881411331551, 0.00149927960426031, 0.0018040229178779299, 0.0055586905366008105, 0.00345567417894706, 0.0046559603434316, 0.0021001414207327896, 0.00645423338746773, 0.0007532334732813001]","[0.0133770814930456, 0.01036989747376217, 0.00330761492751962, 0.006007180696264501, 0.0016487763241482, 0.00210589129457463, 0.0060100556331854, 0.00390560180707119, 0.00510588797155573, 0.00285193742555362, 0.00735552611217646, 0.00135409528975379]"
30%,"Total variation
 distance",Fjob,0.0222/0.2655,0.008/0.2505,0.0109/0.0621,0.0141/0.1289,0.0026/0.0388,-,-,-,0.0071/0.0483,-,-,0.0119/0.1131,0.0098/0.0725,0.0097/0.1115,0.0162/0.0524,-,-,0.016/0.1704,-,0.012/0.0183,-,-,-,,0.011721491228070159,0.011721491228070159,0.6778886457191754,2.8052145100339296,[],"[0.26550594056786003, 0.2504878622178631, 0.06210733920571685, 0.12889664536529855, 0.038846176821983235, 0.04830324061903003, 0.11308872354827604, 0.07245804741585221, 0.11154136163952662, 0.05241008713500407, 0.17036658676611643, 0.018322297679683047]","[0.5531777838604464, 0.5090166601082409, 0.13516423610012182, 0.27186932963422217, 0.08032393259133488, 0.10373208510279436, 0.23803912943886568, 0.15476203320705456, 0.23279700899333894, 0.12099466128969637, 0.3567151350774621, 0.04862251463035154]"
30%,"Jensen-Shannon
 divergence",Fjob,0.0112/0.055,0.0039/0.0578,0.0058/0.0273,0.0066/0.0418,0.002/0.018,-,-,-,0.0039/0.0249,-,-,0.0087/0.0369,0.0058/0.0287,0.0058/0.0419,0.0097/0.0272,-,-,0.0095/0.0491,-,0.0084/0.0114,-,-,-,,0.00665788733638478,0.00665788733638478,0.21662854225961362,0.5011829715136703,[],"[0.05496793063701213, 0.05779990940378889, 0.027302579063927402, 0.04180839544035658, 0.018007497051884584, 0.024869637326670496, 0.03692095721281577, 0.02867419751328275, 0.041854925351249475, 0.027240450833368467, 0.04913145860979918, 0.01136337140230198]","[0.06619690237313731, 0.061663901479146105, 0.03310252125049603, 0.048389487970877665, 0.019971510300519094, 0.028749131929684306, 0.0455905312115112, 0.034485861848771344, 0.04768844494810803, 0.036959899389539135, 0.05861971372386464, 0.01976506508801535]"
50%,"Hellinger
 distance",Fjob,0.0675/0.3888,0.0239/0.3986,0.0805/0.1928,0.0675/0.2849,0.0099/0.1601,-,-,-,0.0593/0.1602,-,-,0.0436/0.2739,0.0634/0.2102,0.0436/0.2901,0.0436/0.1925,-,-,0.0576/0.3343,-,0.0631/0.0467,-,-,-,,0.047701199638838766,0.047701199638838766,1.5142553852754346,3.5563398131075337,[],"[0.3887590186556199, 0.39858657900278804, 0.19281691671322834, 0.28494278769723214, 0.16010418096493972, 0.1601835541520695, 0.27388522511250235, 0.21017217122290294, 0.2900889809338879, 0.19253334818146112, 0.33428653395008306, 0.04674907468647703]","[0.45621870212633225, 0.42243717882220744, 0.27329583313506156, 0.3524024711679445, 0.16998342288087653, 0.2194590056476903, 0.3174943087637953, 0.2735397387060695, 0.33369806458518086, 0.2361424318327541, 0.3918669755048586, 0.10980167993476299]"
50%,"Wasserstein
 distance",Fjob,0.0009/0.0227,0.0002/0.0177,0.0015/0.0048,0.0006/0.0086,0.0001/0.0027,-,-,-,0.0006/0.0011,-,-,0.0004/0.0108,0.0011/0.0056,0.0005/0.0068,0.0005/0.0027,-,-,0.0011/0.0096,-,0.0007/0.0006,-,-,-,,0.00030186837669670004,0.00030186837669670004,0.04708499815661449,0.10168508142451645,[],"[0.02268612724298796, 0.017725423585938697, 0.00480689453177996, 0.00855581227666101, 0.0027024407056657498, 0.00105078944459661, 0.01081263775958404, 0.0055558155996798895, 0.0067632891064667204, 0.0027010032372052897, 0.009603726784336731, 0.00060229928493294]","[0.02359029490461761, 0.017876357774287047, 0.0063119240098821, 0.0091566740931335, 0.0028519374255536398, 0.00165165126106909, 0.01126256538770817, 0.006608042512736969, 0.00721465420305131, 0.00315380580225034, 0.01065595369739382, 0.00135122035283285]"
50%,"Total variation
 distance",Fjob,0.0279/0.4814,0.0061/0.4474,0.0458/0.1154,0.0267/0.218,0.0036/0.0799,-,-,-,0.0242/0.0576,-,-,0.0108/0.2294,0.0277/0.1327,0.0181/0.1795,0.0135/0.0853,-,-,0.021/0.2858,-,0.0196/0.0151,-,-,-,,0.013089912280701738,0.013089912280701738,1.1768102292337304,4.899783188848203,[],"[0.48135382198356574, 0.4474166093996542, 0.11537075075194263, 0.21802828242800015, 0.0799400773992425, 0.05759929832258622, 0.2293954534028063, 0.1327034962952322, 0.17949679181678313, 0.08527728230681489, 0.2857622785713596, 0.01509649122807015]","[0.990563875454942, 0.9009178748839646, 0.27649185118262365, 0.4627663800952273, 0.16345158336991356, 0.13944107830144717, 0.46954331149675754, 0.2931275277404799, 0.3770887012352628, 0.18402566558473074, 0.5925654388077206, 0.049799900695133986]"
50%,"Jensen-Shannon
 divergence",Fjob,0.0131/0.071,0.0047/0.0751,0.0156/0.0376,0.0132/0.055,0.0019/0.0314,-,-,-,0.0115/0.0318,-,-,0.0087/0.0523,0.0123/0.0409,0.0085/0.0571,0.0086/0.0381,-,-,0.0114/0.0645,-,0.0127/0.0093,-,-,-,,0.009427331520100569,0.009427331520100569,0.29143668813823176,0.6864254624118165,[],"[0.07104224459289865, 0.07509638359426903, 0.03762491294726532, 0.05504321991622356, 0.03135761998617502, 0.03175036485073719, 0.052318253863811406, 0.04086850921303771, 0.05708831764815035, 0.0380771544563154, 0.06448621895689258, 0.00926551321048617]","[0.08416244619332212, 0.07984281929353702, 0.053264836727174636, 0.0682581044410702, 0.03328051790164784, 0.04329396886734852, 0.06106057163429451, 0.05320675338314739, 0.06560341218378798, 0.04666058249811558, 0.07586677916206602, 0.02192467012630467]"
70%,"Hellinger
 distance",Fjob,0.0508/0.4794,0.0419/0.4895,0.0819/0.224,0.1048/0.3554,0.0099/0.1868,-,-,-,0.0788/0.2057,-,-,0.0747/0.3204,0.0773/0.256,0.0436/0.3393,0.0378/0.2187,-,-,0.0819/0.4118,-,0.099/0.1056,-,-,-,,0.08690320506770534,0.08690320506770534,1.8832384156123063,4.375256004995296,[],"[0.47938213872223184, 0.4894663579395764, 0.2239867660595217, 0.3553989550804808, 0.18682564308653155, 0.20566661992684154, 0.3204123920909267, 0.2560365687220828, 0.3393152262934788, 0.21871879771064875, 0.41183081234312535, 0.10563014311375576]","[0.5302233293962546, 0.5313804316500241, 0.30591066357569374, 0.4602213274637105, 0.19670488500246835, 0.28445052640782953, 0.39510418258436886, 0.33337549410873196, 0.3829243099447718, 0.2565407554335507, 0.49375470985929737, 0.20466538956859442]"
70%,"Wasserstein
 distance",Fjob,0.0005/0.0346,0.0003/0.0279,0.0009/0.0045,0.0014/0.0134,0.0001/0.0042,-,-,-,0.0008/0.0021,-,-,0.0006/0.0146,0.0014/0.0095,0.0005/0.0074,0.0005/0.0041,-,-,0.0012/0.0143,-,0.0014/0.0018,-,-,-,,0.00120603603832636,0.00120603603832636,0.07031736341457749,0.1475374503762862,[],"[0.03456105419485236, 0.027947261808273484, 0.004503588686622791, 0.01336558174536193, 0.00420890765222838, 0.00210732876303509, 0.014580242594451061, 0.00946429234367207, 0.0073655883913996915, 0.0040550985269591, 0.01425824965930791, 0.0018054603863383897]","[0.035013856759897405, 0.028246255248049263, 0.005406318879791981, 0.01471680209819478, 0.00435840437211627, 0.0028591247678559197, 0.015179666942463081, 0.01081551269650495, 0.007816953487984281, 0.004507901092004159, 0.01545997329225288, 0.00315668073917124]"
70%,"Total variation
 distance",Fjob,0.0206/0.7164,0.0168/0.6717,0.0452/0.1343,0.043/0.3391,0.0071/0.1127,-,-,-,0.0332/0.092,-,-,0.017/0.3133,0.0466/0.2028,0.0305/0.2228,0.0131/0.1122,-,-,0.033/0.416,-,0.0325/0.0437,-,-,-,,0.036189987738162586,0.036189987738162586,1.7246225941579971,7.092452261238369,[],"[0.7164386207474442, 0.6716814570655847, 0.1342527652086475, 0.33905888637506265, 0.11270560593426442, 0.09196918640652865, 0.31328284732696493, 0.20278643099710622, 0.22276817506680854, 0.11216861454400037, 0.4160471388367729, 0.0437054843304843]","[1.4535001302384867, 1.3601883109565662, 0.31368495625461557, 0.7211212643851959, 0.23255406901138598, 0.2170995105883255, 0.6436134161305386, 0.45221067758364086, 0.4760491706464376, 0.23746543421620586, 0.8650657403869886, 0.11989958083998323]"
70%,"Jensen-Shannon
 divergence",Fjob,0.0099/0.0838,0.0082/0.0896,0.0158/0.0438,0.0206/0.0679,0.0019/0.0365,-,-,-,0.0153/0.0407,-,-,0.0151/0.0604,0.0149/0.0491,0.0084/0.0671,0.0074/0.0432,-,-,0.0161/0.0787,-,0.0197/0.0208,-,-,-,,0.0170774969336847,0.0170774969336847,0.3577916899338539,0.8348959855333387,[],"[0.08379539548831967, 0.08960294837489084, 0.043781754483097776, 0.06785719880972052, 0.03646915177247549, 0.040659573618648734, 0.06043428780922987, 0.049132564099198875, 0.06705641832420116, 0.04319033252139029, 0.07865650917822545, 0.02079225152093976]","[0.09369755237543687, 0.09780348378829912, 0.05962902765831811, 0.08848948071938786, 0.03833859714465087, 0.05597318265507867, 0.07551950065123236, 0.06404229862393583, 0.07544944491154351, 0.05062597030351308, 0.09479841367449979, 0.04052903302744258]"
10%,"Hellinger
 distance",reason,0.0535/0.1486,0.0395/0.1647,0.0296/0.0337,0.0296/0.0819,0.0/0.0369,-,-,-,0.0535/0.0436,-,-,0.0971/0.0778,0.0477/0.0648,0.0198/0.1124,-,-,-,0.041/0.1093,-,0.0692/0.0436,-,0.0099/0.0829,-,,0.04360908365129298,0.04360908365129298,0.54377432351451,1.4906525267950765,[],"[0.14857576261002667, 0.16473498659633157, 0.03372984173535618, 0.08192389751617203, 0.03686983277054023, 0.04360908365129298, 0.07783178152862624, 0.06481254857750539, 0.11244881482796995, 0.10930882379278592, 0.04360908365129298, 0.08287602246853376]","[0.20206408817725646, 0.20425195426007875, 0.06336756748316658, 0.11156162326398243, 0.03686983277054023, 0.09709740921852275, 0.174929190747149, 0.11251374821634416, 0.13220729865984354, 0.15027077255087193, 0.11276377706285057, 0.09275526438447056]"
10%,"Wasserstein
 distance",reason,0.0009/0.0033,0.0006/0.0023,0.0005/0.0006,0.0004/0.0012,0.0/0.0004,-,-,-,0.0009/0.0007,-,-,0.0017/0.0017,0.0006/0.0013,0.0003/0.0021,-,-,-,0.0006/0.0014,-,0.0011/0.0007,-,0.0002/0.0012,-,,0.00075035853636037,0.00075035853636037,0.009232141187307552,0.02462958460153011,[],"[0.0033061774590591704, 0.0022539505460020598, 0.0005994243480120199, 0.0012002861644845202, 0.00044992762812413, 0.0007489210678999099, 0.00165165126106912, 0.00134978288437241, 0.00210014142073281, 0.0013512203528328601, 0.0007489210678999099, 0.00120316110140544]","[0.00420890765222836, 0.0028562498309349996, 0.0010507894445966099, 0.0016502137926086504, 0.00044992762812413, 0.00164877632414817, 0.00330473999059868, 0.00195064470084489, 0.00240057232896905, 0.00195208216930534, 0.00180258544941744, 0.00135409528975379]"
10%,"Total variation
 distance",reason,0.0195/0.0693,0.013/0.0669,0.0108/0.0102,0.0086/0.0274,0.0/0.0103,-,-,-,0.0169/0.0131,-,-,0.0313/0.0302,0.0171/0.0243,0.0058/0.045,-,-,-,0.0153/0.0404,-,0.0211/0.0145,-,0.0036/0.0283,-,,0.01583296378418327,0.01583296378418327,0.20575429982593924,0.9225898163106334,[],"[0.06929902103887066, 0.0669426680500534, 0.01017216642754662, 0.027408032632290635, 0.01029411764705881, 0.01305428632129528, 0.03018059855521153, 0.0243473762010347, 0.04497704580365868, 0.04038714730374319, 0.01446041476457543, 0.02831979733817298]","[0.15804840777228912, 0.14689005411634554, 0.031185081835441768, 0.06344351624497341, 0.02058823529411762, 0.042961301194826475, 0.09167483747608933, 0.06578572614596667, 0.09571067055468577, 0.09610395629119997, 0.049987006136923355, 0.060211023247774526]"
