Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
priors_count,['sex'],LRTD,-0.1763,-0.0077,0.1686,0.1964,0.0167,-0.1797,0.7326,0.9914,0.2588,0.0104,-0.0072,-0.0176,0.5199,0.5531,0.0332,0.6142,0.6281,0.0139,59.54,58.0,-0.0154,61.85,60.3,-0.0155,69.08,68.95,-0.0013,65.21,64.3,-0.0091,0.1550526678185952,0.0009080163827616004,170.76,249.96,253.51,0.8336348830246822,0.06
race,None,LRTD,-0.2824,-0.1322,0.1502,0.2584,0.1259,-0.1325,0.6706,0.8106,0.14,-0.0339,-0.0169,0.017,0.5082,0.485,-0.0232,0.6116,0.5706,-0.041,60.35,58.36,-0.02,62.55,61.66,-0.0089,69.63,64.05,-0.0558,65.81,62.75,-0.0306,0.14462362890528158,0.005766199368710879,25.08,244.88,255.81,0.8336348830246822,0.06
race,['age'],LRTD,-0.4831,-0.1027,0.3804,0.4213,0.0868,-0.3345,0.5787,0.8817,0.303,-0.0589,-0.0214,0.0375,0.6629,0.6078,-0.0551,0.7221,0.6731,-0.049,57.46,57.53,0.0007,58.69,59.3,0.0061,77.1,72.57,-0.0453,66.41,65.24,-0.0117,0.16150745060587357,0.004613057843037001,35.01,252.67,256.12,0.6744240722352938,-0.12
race,['c_charge_degree'],LRTD,-0.3514,-0.1167,0.2347,0.3075,0.1097,-0.1978,0.6182,0.8407,0.2225,-0.0512,-0.014,0.0371,0.4916,0.542,0.0504,0.601,0.6128,0.0118,60.78,57.47,-0.0331,63.13,60.15,-0.0298,69.05,67.07,-0.0198,65.89,63.38,-0.0251,0.14694936164099245,0.00530647531501248,27.69,246.13,256.08,1.0,0.0
race,['priors_count'],LRTD,-0.3118,-0.1322,0.1796,0.2745,0.1259,-0.1486,0.6574,0.8106,0.1532,-0.0449,-0.0169,0.028,0.5162,0.485,-0.0312,0.6183,0.5706,-0.0477,60.26,58.36,-0.019,62.36,61.66,-0.007,70.13,64.05,-0.0608,65.94,62.75,-0.0319,0.14462362890528158,0.005766199368710879,25.08,244.88,256.04,0.8336348830246822,0.06
race,['sex'],LRTD,-0.3443,-0.0913,0.253,0.3134,0.0953,-0.2181,0.6182,0.8733,0.2551,-0.038,-0.0051,0.033,0.5199,0.6165,0.0966,0.6142,0.6856,0.0714,59.54,58.04,-0.015,61.85,59.47,-0.0238,69.08,74.17,0.0509,65.21,65.98,0.0077,0.1689126661716707,0.0045905294526489985,36.8,255.71,252.89,0.8336348830246822,-0.06
sex,None,LRTD,-0.4854,-0.0509,0.4345,0.4051,0.0768,-0.3283,0.5685,0.9071,0.3386,-0.0792,0.0022,0.0815,0.5082,0.5895,0.0813,0.6116,0.654,0.0424,60.35,57.29,-0.0306,62.55,59.37,-0.0318,69.63,70.63,0.01,65.81,64.37,-0.0144,0.15464201982577896,0.0027316943822916005,56.61,249.88,255.0,0.6744240722352938,-0.12
sex,['age'],LRTD,-0.3978,-0.0971,0.3007,0.3442,0.0803,-0.2639,0.6558,0.9067,0.2509,-0.0508,-0.0268,0.024,0.6629,0.6648,0.0019,0.7221,0.7235,0.0014,57.46,57.44,-0.0001,58.69,58.57,-0.0012,77.1,77.12,0.0002,66.41,66.55,0.0014,0.17267572819998006,0.00449568490939698,38.41,257.67,256.45,0.7527138062630524,-0.09
sex,['c_charge_degree'],LRTD,-0.5419,-0.0673,0.4746,0.4507,0.0624,-0.3883,0.533,0.9436,0.4106,-0.0888,-0.0291,0.0597,0.4916,0.6019,0.1103,0.601,0.6612,0.0602,60.78,56.92,-0.0387,63.13,58.97,-0.0416,69.05,71.0,0.0195,65.89,64.4,-0.0149,0.15346727132545518,0.0027116031314975407,56.6,249.44,255.3,0.6744240722352938,-0.12
sex,['priors_count'],LRTD,-0.5,-0.0835,0.4165,0.4176,0.0775,-0.3401,0.5629,0.898,0.3351,-0.0805,-0.0207,0.0598,0.5162,0.5531,0.0369,0.6183,0.6281,0.0098,60.26,58.0,-0.0226,62.36,60.3,-0.0206,70.13,68.95,-0.0118,65.94,64.3,-0.0164,0.1550526678185952,0.0033849569227320003,45.81,249.71,255.27,0.7527138062630524,-0.09
sex,['race'],LRTD,-0.5038,-0.036,0.4678,0.4147,0.0647,-0.35,0.5586,0.9282,0.3696,-0.0855,0.0039,0.0894,0.5034,0.6165,0.1131,0.6043,0.6856,0.0813,60.05,58.04,-0.0201,62.46,59.47,-0.0299,68.67,74.17,0.055,65.34,65.98,0.0064,0.1689126661716707,0.0022477065028897506,75.15,255.9,253.11,0.5995101785600032,-0.16
age,None,fairSMOTE,-0.0126,0.1852,0.1978,0.4332,0.1621,-0.2711,0.489,1.2769,0.7879,0.0332,0.0301,-0.0031,0.5082,0.5326,0.0244,0.6116,0.585,-0.0266,60.35,55.36,-0.0499,62.55,59.15,-0.034,69.63,62.78,-0.0685,65.81,60.52,-0.0529,0.12443556032299588,0.013766373376217637,9.04,235.48,256.83,1.0,0.0
age,['c_charge_degree'],fairSMOTE,-0.0472,0.1839,0.2311,0.4565,0.1567,-0.2998,0.4695,1.3615,0.892,0.0156,0.0091,-0.0065,0.4916,0.5545,0.0629,0.601,0.5982,-0.0028,60.78,54.93,-0.0585,63.13,58.24,-0.0489,69.05,63.44,-0.0561,65.89,60.64,-0.0525,0.12306768995267968,0.008995273708962437,13.68,234.94,257.23,0.9163591402734885,0.03
age,['priors_count'],fairSMOTE,-0.0314,0.1779,0.2093,0.4642,0.1745,-0.2897,0.4679,1.4527,0.9848,0.0268,-0.012,-0.0388,0.5162,0.5166,0.0004,0.6183,0.5681,-0.0502,60.26,55.25,-0.05,62.36,59.02,-0.0334,70.13,61.07,-0.0906,65.94,59.92,-0.0602,0.11933247581263307,0.008170374682075508,14.61,232.89,257.09,0.8336348830246822,0.06
age,['race'],fairSMOTE,-0.021,0.1292,0.1502,0.4403,0.1262,-0.3141,0.4819,1.2351,0.7532,0.0321,0.0097,-0.0224,0.5034,0.5928,0.0894,0.6043,0.6451,0.0408,60.05,56.1,-0.0395,62.46,58.6,-0.0386,68.67,68.78,0.0011,65.34,63.19,-0.0215,0.14286774556617657,0.006352924069327621,22.49,244.52,254.98,0.7527138062630524,-0.09
age,['sex'],fairSMOTE,-0.0096,0.2976,0.3072,0.4439,0.2611,-0.1828,0.4975,1.6422,1.1447,0.0095,0.018,0.0086,0.5199,0.5952,0.0753,0.6142,0.6329,0.0187,59.54,54.7,-0.0484,61.85,57.62,-0.0423,69.08,66.38,-0.027,65.21,61.63,-0.0358,0.12893188720227722,0.02692612876570047,4.79,237.42,254.17,0.8336348830246822,-0.06
c_charge_degree,None,fairSMOTE,-0.4457,-0.0392,0.4065,0.4074,0.0745,-0.3329,0.5345,0.8684,0.3339,-0.0475,0.0098,0.0573,0.5082,0.3607,-0.1475,0.6116,0.447,-0.1646,60.35,57.23,-0.0312,62.55,63.63,0.0108,69.63,51.8,-0.1783,65.81,57.05,-0.0876,0.10763046369389481,0.0016031803638942661,67.14,228.25,255.16,0.9163591402734885,0.03
c_charge_degree,['age'],fairSMOTE,-0.4787,0.0321,0.5108,0.4283,0.1403,-0.288,0.5717,1.1486,0.5769,-0.0495,-0.0027,0.0468,0.6629,0.4144,-0.2485,0.7221,0.4685,-0.2536,57.46,54.54,-0.0291,58.69,60.27,0.0159,77.1,51.31,-0.2579,66.41,55.21,-0.112,0.09311755478068666,0.002121354039708659,43.9,219.58,256.13,0.7527138062630524,0.09
c_charge_degree,['priors_count'],fairSMOTE,-0.4578,0.1218,0.5796,0.4261,0.1023,-0.3238,0.5235,1.2233,0.6998,-0.042,0.0153,0.0573,0.5162,0.3986,-0.1176,0.6183,0.4769,-0.1414,60.26,56.84,-0.0342,62.36,62.39,0.0003,70.13,54.15,-0.1598,65.94,57.86,-0.0808,0.11111581963594638,0.004631785986546234,23.99,229.31,255.43,1.0,0.0
c_charge_degree,['race'],fairSMOTE,-0.4545,0.0505,0.505,0.4103,0.1276,-0.2827,0.5287,1.0311,0.5024,-0.0524,0.0249,0.0773,0.5034,0.345,-0.1584,0.6043,0.4209,-0.1834,60.05,56.05,-0.04,62.46,63.6,0.0114,68.67,48.29,-0.2038,65.34,54.39,-0.1095,0.09362202848784665,0.003600885125939593,26.0,220.62,253.31,0.9163591402734885,0.03
c_charge_degree,['sex'],fairSMOTE,-0.5198,0.1517,0.6715,0.4533,0.1898,-0.2635,0.5001,1.4455,0.9454,-0.0699,-0.0035,0.0664,0.5199,0.4399,-0.0801,0.6142,0.4882,-0.126,59.54,54.19,-0.0535,61.85,59.57,-0.0228,69.08,52.77,-0.1631,65.21,55.67,-0.0954,0.09483349672337313,0.006302903057465982,15.05,219.96,252.19,0.9163591402734885,0.03
priors_count,None,fairSMOTE,-0.1722,0.0887,0.2609,0.1848,0.0973,-0.0875,0.7461,1.2072,0.4611,0.0031,-0.0034,-0.0065,0.5082,0.4553,-0.0529,0.6116,0.5383,-0.0733,60.35,57.77,-0.0258,62.55,61.87,-0.0068,69.63,60.59,-0.0904,65.81,61.09,-0.0472,0.13231691145422156,0.0028216043854680218,46.89,239.47,256.21,0.6744240722352938,0.12
priors_count,['age'],fairSMOTE,-0.3368,0.0872,0.4239,0.2721,0.1343,-0.1378,0.7239,1.2718,0.5479,-0.0626,-0.0351,0.0275,0.6629,0.5062,-0.1567,0.7221,0.5678,-0.1543,57.46,56.2,-0.0125,58.69,59.84,0.0115,77.1,61.87,-0.1523,66.41,60.77,-0.0564,0.12644318118783457,0.005403865763544423,23.4,236.54,256.71,1.0,0.0
priors_count,['c_charge_degree'],fairSMOTE,-0.183,0.1796,0.3626,0.21,0.1717,-0.0383,0.7127,1.4808,0.7681,0.015,0.0028,-0.0122,0.4916,0.3957,-0.0959,0.601,0.4758,-0.1252,60.78,56.98,-0.0381,63.13,62.54,-0.0059,69.05,54.16,-0.1489,65.89,57.97,-0.0792,0.11187518169404571,0.006467956937159706,17.3,229.4,256.69,0.5286121252556877,0.19
priors_count,['race'],fairSMOTE,-0.1692,0.0021,0.1713,0.1852,0.0365,-0.1487,0.7434,1.0024,0.259,0.0067,-0.0036,-0.0103,0.5034,0.485,-0.0184,0.6043,0.5706,-0.0337,60.05,58.36,-0.0169,62.46,61.66,-0.008,68.67,64.05,-0.0462,65.34,62.75,-0.0259,0.14462362890528158,0.0009640254678012002,150.02,245.28,254.4,0.7527138062630524,0.09
priors_count,['sex'],fairSMOTE,-0.1763,0.1536,0.3299,0.1964,0.1413,-0.0551,0.7326,1.3071,0.5745,0.0104,0.0041,-0.0063,0.5199,0.4781,-0.0418,0.6142,0.5538,-0.0604,59.54,57.32,-0.0222,61.85,61.09,-0.0077,69.08,61.55,-0.0753,65.21,61.23,-0.0398,0.13195916725839982,0.005616502868240526,23.49,239.08,253.51,0.6744240722352938,0.12
race,None,fairSMOTE,-0.2824,0.058,0.3404,0.2584,0.0457,-0.2127,0.6706,1.0866,0.416,-0.0339,0.0032,0.0371,0.5082,0.4309,-0.0773,0.6116,0.5162,-0.0954,60.35,57.79,-0.0257,62.55,62.35,-0.002,69.63,58.58,-0.1105,65.81,60.34,-0.0547,0.1273749348716923,0.001623965477003666,78.43,237.43,255.81,0.5995101785600032,0.16
race,['age'],fairSMOTE,-0.4831,0.0365,0.5196,0.4213,0.1255,-0.2958,0.5787,1.1048,0.5261,-0.0589,-0.0176,0.0413,0.6629,0.489,-0.1739,0.7221,0.5458,-0.1763,57.46,55.48,-0.0197,58.69,59.79,0.011,77.1,59.19,-0.1791,66.41,59.16,-0.0724,0.1161789994908607,0.0027760932595354594,41.85,231.81,256.12,0.7527138062630524,-0.09
race,['c_charge_degree'],fairSMOTE,-0.3514,0.1328,0.4842,0.3075,0.1126,-0.1949,0.6182,1.2496,0.6314,-0.0512,0.0076,0.0588,0.4916,0.4686,-0.023,0.601,0.5372,-0.0638,60.78,56.54,-0.0424,63.13,60.71,-0.0242,69.05,59.32,-0.0973,65.89,59.97,-0.0592,0.12211483051617307,0.004768934548438793,25.61,234.53,256.08,0.5286121252556877,0.19
race,['priors_count'],fairSMOTE,-0.3118,-0.0542,0.2577,0.2745,0.0794,-0.1951,0.6574,0.9347,0.2773,-0.0449,-0.0154,0.0295,0.5162,0.4615,-0.0547,0.6183,0.5448,-0.0735,60.26,57.88,-0.0238,62.36,61.82,-0.0054,70.13,61.29,-0.0884,65.94,61.41,-0.0453,0.13465993218030095,0.002171667427264864,62.01,240.72,256.04,0.6744240722352938,0.12
