Algo,Features,dropped,metrics,Before,After
fairSMOTE,age,None,Recall,0.31351063829787235,0.08668085106382978
fairSMOTE,age,None,False-alarm,0.12627659574468084,0.5690212765957446
fairSMOTE,age,None,AOD,0.005074468085106384,0.01246808510638299
fairSMOTE,age,None,SPD,0.15336170212765957,0.06459574468085107
fairSMOTE,age,None,FPRD,-0.06793617021276595,0.0305531914893617
fairSMOTE,age,['balance'],Recall,0.3126595744680851,0.08891489361702128
fairSMOTE,age,['balance'],False-alarm,0.12682978723404256,0.5992553191489361
fairSMOTE,age,['balance'],AOD,0.007500000000000001,-0.008808510638297871
fairSMOTE,age,['balance'],SPD,0.15723404255319148,0.1265531914893617
fairSMOTE,age,['balance'],FPRD,-0.06723404255319149,-0.020914893617021278
fairSMOTE,age,['default'],Recall,0.31351063829787235,0.08663829787234043
fairSMOTE,age,['default'],False-alarm,0.12597872340425534,0.5714468085106383
fairSMOTE,age,['default'],AOD,0.006936170212765958,0.012127659574468087
fairSMOTE,age,['default'],SPD,0.15506382978723404,0.07042553191489362
fairSMOTE,age,['default'],FPRD,-0.06793617021276595,0.031829787234042554
fairSMOTE,age,['duration'],Recall,0.24351063829787234,0.06563829787234042
fairSMOTE,age,['duration'],False-alarm,0.23336170212765958,0.5059148936170212
fairSMOTE,age,['duration'],AOD,-0.03203191489361702,-0.029404255319148923
fairSMOTE,age,['duration'],SPD,0.18257446808510638,0.10191489361702127
fairSMOTE,age,['duration'],FPRD,-0.10544680851063831,-0.07114893617021276
fairSMOTE,age,['education'],Recall,0.30851063829787234,0.08448936170212766
fairSMOTE,age,['education'],False-alarm,0.12234042553191489,0.5687021276595744
fairSMOTE,age,['education'],AOD,-0.005829787234042556,0.04375531914893618
fairSMOTE,age,['education'],SPD,0.15665957446808512,0.1066808510638298
fairSMOTE,age,['education'],FPRD,-0.07548936170212767,0.10240425531914893
fairSMOTE,age,['housing'],Recall,0.28138297872340423,0.08108510638297872
fairSMOTE,age,['housing'],False-alarm,0.11806382978723405,0.5715531914893617
fairSMOTE,age,['housing'],AOD,0.0275,-0.015957446808510637
fairSMOTE,age,['housing'],SPD,0.1352127659574468,0.043297872340425536
fairSMOTE,age,['housing'],FPRD,-0.01978723404255319,-0.03340425531914894
fairSMOTE,age,['loan'],Recall,0.30425531914893617,0.08138297872340426
fairSMOTE,age,['loan'],False-alarm,0.12523404255319148,0.5783404255319149
fairSMOTE,age,['loan'],AOD,0.008861702127659575,0.007351063829787233
fairSMOTE,age,['loan'],SPD,0.12227659574468085,0.05408510638297872
fairSMOTE,age,['loan'],FPRD,-0.049617021276595744,0.01180851063829787
fairSMOTE,balance,None,Recall,0.31351063829787235,0.08387234042553192
fairSMOTE,balance,None,False-alarm,0.12627659574468084,0.5926595744680851
fairSMOTE,balance,None,AOD,0.13297872340425532,0.0038191489361702213
fairSMOTE,balance,None,SPD,0.26595744680851063,0.04508510638297872
fairSMOTE,balance,None,FPRD,0.05319148936170213,0.023297872340425532
fairSMOTE,balance,['age'],Recall,0.3128723404255319,0.08942553191489361
fairSMOTE,balance,['age'],False-alarm,0.12574468085106383,0.6071063829787234
fairSMOTE,balance,['age'],AOD,0.13297872340425532,-0.005925531914893615
fairSMOTE,balance,['age'],SPD,0.26595744680851063,0.07206382978723404
fairSMOTE,balance,['age'],FPRD,0.05319148936170213,-0.010978723404255314
fairSMOTE,balance,['default'],Recall,0.31351063829787235,0.082
fairSMOTE,balance,['default'],False-alarm,0.12597872340425534,0.590936170212766
fairSMOTE,balance,['default'],AOD,0.13297872340425532,0.010393617021276601
fairSMOTE,balance,['default'],SPD,0.26595744680851063,0.044893617021276595
fairSMOTE,balance,['default'],FPRD,0.05319148936170213,0.03323404255319149
fairSMOTE,balance,['duration'],Recall,0.24351063829787234,0.0646595744680851
fairSMOTE,balance,['duration'],False-alarm,0.23336170212765958,0.5140425531914894
fairSMOTE,balance,['duration'],AOD,0.12234042553191489,-0.013425531914893615
fairSMOTE,balance,['duration'],SPD,0.4574468085106383,0.04606382978723404
fairSMOTE,balance,['duration'],FPRD,0.13829787234042554,-0.03663829787234042
fairSMOTE,balance,['education'],Recall,0.30851063829787234,0.08974468085106382
fairSMOTE,balance,['education'],False-alarm,0.12234042553191489,0.6305531914893617
fairSMOTE,balance,['education'],AOD,0.13297872340425532,-0.02086170212765957
fairSMOTE,balance,['education'],SPD,0.26595744680851063,0.04172340425531915
fairSMOTE,balance,['education'],FPRD,0.05319148936170213,-0.03978723404255319
fairSMOTE,balance,['housing'],Recall,0.28138297872340423,0.07768085106382978
fairSMOTE,balance,['housing'],False-alarm,0.11806382978723405,0.5474468085106383
fairSMOTE,balance,['housing'],AOD,0.13297872340425532,0.00039361702127659574
fairSMOTE,balance,['housing'],SPD,0.26595744680851063,0.04227659574468085
fairSMOTE,balance,['housing'],FPRD,0.05319148936170213,0.012723404255319148
fairSMOTE,balance,['loan'],Recall,0.30425531914893617,0.08168085106382979
fairSMOTE,balance,['loan'],False-alarm,0.12523404255319148,0.5716170212765957
fairSMOTE,balance,['loan'],AOD,0.13297872340425532,-0.004106382978723404
fairSMOTE,balance,['loan'],SPD,0.26595744680851063,0.054404255319148935
fairSMOTE,balance,['loan'],FPRD,0.05319148936170213,0.00378723404255319
fairSMOTE,campaign,None,Recall,0.31351063829787235,0.09063829787234041
fairSMOTE,campaign,None,False-alarm,0.12627659574468084,0.6156808510638299
fairSMOTE,campaign,None,AOD,-0.08357446808510638,0.20803191489361703
fairSMOTE,campaign,None,SPD,0.4276382978723404,0.40487234042553194
fairSMOTE,campaign,None,FPRD,0.14519148936170215,0.42710638297872344
fairSMOTE,campaign,['age'],Recall,0.3128723404255319,0.08893617021276595
fairSMOTE,campaign,['age'],False-alarm,0.12574468085106383,0.5872127659574468
fairSMOTE,campaign,['age'],AOD,-0.08375531914893618,0.19209574468085105
fairSMOTE,campaign,['age'],SPD,0.42600000000000005,0.372063829787234
fairSMOTE,campaign,['age'],FPRD,0.14419148936170212,0.3934468085106383
fairSMOTE,campaign,['balance'],Recall,0.3126595744680851,0.08670212765957445
fairSMOTE,campaign,['balance'],False-alarm,0.12682978723404256,0.5790212765957446
fairSMOTE,campaign,['balance'],AOD,-0.0843404255319149,0.2005
fairSMOTE,campaign,['balance'],SPD,0.42695744680851067,0.3833404255319149
fairSMOTE,campaign,['balance'],FPRD,0.14397872340425533,0.40802127659574466
fairSMOTE,campaign,['default'],Recall,0.31351063829787235,0.09051063829787233
fairSMOTE,campaign,['default'],False-alarm,0.12597872340425534,0.618404255319149
fairSMOTE,campaign,['default'],AOD,-0.0838936170212766,0.2139148936170213
