Algo,Features,Metrics,Before,After
fairSMOTE,age,SPD,0.15336170212765957,0.06459574468085107
fairSMOTE,age,DIR,0.6732340425531915,1.0696382978723404
fairSMOTE,age,AOD_,0.005074468085106384,0.01246808510638299
fairSMOTE,balance,SPD,0.26595744680851063,0.04508510638297872
fairSMOTE,balance,DIR,0.10638297872340426,1.052276595744681
fairSMOTE,balance,AOD_,0.13297872340425532,0.0038191489361702213
fairSMOTE,campaign,SPD,0.4276382978723404,0.40487234042553194
fairSMOTE,campaign,DIR,0.0,4.1041914893617015
fairSMOTE,campaign,AOD_,0.08357446808510638,0.20803191489361703
fairSMOTE,default,SPD,0.1692127659574468,0.2614042553191489
fairSMOTE,default,DIR,1.7429574468085105,1.6011063829787233
fairSMOTE,default,AOD_,0.0095531914893617,0.03021276595744681
fairSMOTE,duration,SPD,0.2393617021276596,0.0825531914893617
fairSMOTE,duration,DIR,0.18617021276595744,1.1413617021276596
fairSMOTE,duration,AOD_,0.013297872340425532,0.00553191489361702
fairSMOTE,education,SPD,0.14702127659574468,0.05421276595744681
fairSMOTE,education,DIR,0.6684468085106383,1.0377021276595744
fairSMOTE,education,AOD_,0.017925531914893607,0.003180851063829792
fairSMOTE,housing,SPD,0.2711276595744681,0.2966170212765958
fairSMOTE,housing,DIR,2.8707234042553194,1.5793617021276596
fairSMOTE,housing,AOD_,0.025404255319148934,0.1418936170212766
fairSMOTE,job,SPD,0.12638297872340423,0.05768085106382979
fairSMOTE,job,DIR,1.580723404255319,1.0640212765957446
fairSMOTE,job,AOD_,0.005744680851063817,0.013085106382978723
fairSMOTE,loan,SPD,0.21248936170212765,0.16891489361702128
fairSMOTE,loan,DIR,2.8500212765957444,1.3976808510638299
fairSMOTE,loan,AOD_,0.011308510638297872,0.08492553191489362
