Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
age,None,LRTD,-0.0744,-0.0586,0.0158,0.1571,0.0728,-0.0842,0.6668,0.9111,0.2443,0.0008,-0.0276,-0.0284,0.1292,0.5266,0.3974,0.4128,0.5585,0.1456,68.52,47.77,-0.2075,50.89,8.45,-0.4244,31.1,7.29,-0.2382,38.12,7.83,-0.3029,0.00023025496787671958,0.0022223785973817605,0.1,69.62,187.37,0.34456236532569795,0.28
age,['balance'],LRTD,-0.0733,-0.0274,0.0459,0.1601,0.082,-0.0781,0.6724,0.9735,0.301,0.0032,-0.018,-0.0213,0.1297,0.4967,0.367,0.4126,0.5275,0.1148,68.45,49.31,-0.1914,50.86,8.66,-0.422,31.04,6.22,-0.2481,38.04,7.24,-0.308,0.0001923583183278788,0.001572570518653781,0.12,69.78,187.13,0.34456236532569795,0.28
age,['default'],LRTD,-0.0769,-0.0605,0.0164,0.1588,0.0694,-0.0894,0.6573,0.9077,0.2504,0.0,-0.0285,-0.0285,0.1333,0.5223,0.389,0.3999,0.5552,0.1553,68.15,48.22,-0.1993,49.24,8.73,-0.4051,29.47,7.53,-0.2194,36.42,8.09,-0.2833,0.0002564322977123119,0.0022133953261728,0.12,70.86,182.02,0.34456236532569795,0.28
age,['duration'],LRTD,-0.113,-0.1066,0.0064,0.1855,0.1093,-0.0762,0.8383,0.8032,-0.0351,-0.037,-0.0486,-0.0115,0.2454,0.4563,0.2109,0.4373,0.4695,0.0322,51.87,52.95,0.0109,48.29,8.15,-0.4014,22.89,4.93,-0.1796,30.61,6.14,-0.2447,0.00013064016248565024,0.00334216211107779,0.04,70.43,151.97,0.40081416938293446,0.25
age,['education'],LRTD,-0.0811,-0.0877,-0.0066,0.1591,0.0856,-0.0735,0.6965,0.8657,0.1692,-0.0094,-0.0421,-0.0327,0.1254,0.5244,0.3989,0.4068,0.5564,0.1496,68.38,46.75,-0.2164,50.95,8.67,-0.4228,30.67,6.45,-0.2422,37.76,7.4,-0.3036,0.00019369171131591834,0.002986834991578579,0.06,67.49,186.48,0.2936215439289058,0.31
age,['housing'],LRTD,-0.0281,0.013,0.041,0.1377,0.0457,-0.0921,0.8038,1.0474,0.2435,0.0223,0.0021,-0.0202,0.1211,0.5062,0.3851,0.3803,0.5359,0.1556,66.35,47.59,-0.1876,51.0,8.78,-0.4223,28.24,5.64,-0.226,35.35,6.87,-0.2847,0.00016194439091981902,0.0012402670557408624,0.13,67.26,179.75,0.34456236532569795,0.28
age,"['loan', 'duration']",LRTD,-0.1367,-0.118,0.0187,0.2333,0.1193,-0.114,1.0896,0.789,-0.3006,-0.0572,-0.0546,0.0026,0.2502,0.4669,0.2167,0.4277,0.48,0.0523,50.34,52.32,0.0197,48.13,8.1,-0.4003,21.61,5.22,-0.1639,29.46,6.35,-0.2311,0.00014046790065685739,0.0038024008893895503,0.04,70.19,147.48,0.4622499461255427,0.22
age,['loan'],LRTD,-0.0545,-0.0311,0.0234,0.1241,0.0423,-0.0818,0.7286,0.953,0.2245,0.0051,-0.0141,-0.0192,0.1282,0.5193,0.3911,0.4043,0.5505,0.1462,67.74,48.75,-0.1898,50.9,8.4,-0.425,30.25,7.42,-0.2283,37.37,7.88,-0.295,0.0002394493056913841,0.001431295817725707,0.17,70.83,185.06,0.34456236532569795,0.28
balance,None,LRTD,0.0484,-0.0736,-0.122,0.2419,0.0634,-0.1785,0.129,0.9133,0.7843,0.121,-0.0369,-0.1579,0.1292,0.6521,0.5229,0.4128,0.6794,0.2665,68.52,37.15,-0.3137,50.89,8.08,-0.4281,31.1,8.29,-0.2281,38.12,8.19,-0.2993,0.00020381153974022184,0.002907265932144106,0.07,59.82,187.71,0.11518373151505122,0.47
balance,['age'],LRTD,0.0484,-0.0568,-0.1052,0.2419,0.0481,-0.1939,0.129,0.926,0.797,0.121,-0.0291,-0.15,0.1287,0.5846,0.4559,0.4122,0.6158,0.2036,68.5,43.32,-0.2519,50.9,8.25,-0.4264,31.05,8.15,-0.229,38.08,8.2,-0.2988,0.00023882695465405072,0.0021001513472400954,0.11,66.16,187.61,0.11518373151505122,0.47
balance,['default'],LRTD,0.05,-0.0614,-0.1114,0.25,0.0604,-0.1896,0.1,0.9159,0.8159,0.125,-0.0312,-0.1562,0.1333,0.601,0.4677,0.3999,0.6291,0.2292,68.15,40.41,-0.2774,49.24,8.56,-0.4068,29.47,7.27,-0.222,36.42,7.86,-0.2856,0.00019768297837974603,0.0023727873659364004,0.08,62.31,182.37,0.14148212148279338,0.44
balance,['duration'],LRTD,0.15,-0.0911,-0.2411,0.45,0.0885,-0.3615,0.0,0.8655,0.8655,0.125,-0.0391,-0.1641,0.2454,0.5969,0.3515,0.4373,0.6092,0.1719,51.87,41.41,-0.1046,48.29,7.9,-0.4039,22.89,6.57,-0.1632,30.61,7.17,-0.2344,0.0001540952302012447,0.0035373228160176006,0.04,61.17,152.69,0.11518373151505122,0.47
balance,['education'],LRTD,0.0484,-0.0709,-0.1193,0.2419,0.0605,-0.1814,0.129,0.9071,0.778,0.121,-0.0363,-0.1573,0.1254,0.6061,0.4806,0.4068,0.6353,0.2285,68.38,41.46,-0.2692,50.95,8.17,-0.4279,30.67,8.22,-0.2245,37.76,8.19,-0.2957,0.0002278129175087185,0.002608864784373523,0.09,64.21,186.86,0.14148212148279338,0.44
balance,['housing'],LRTD,0.0484,-0.0641,-0.1125,0.2419,0.0712,-0.1707,0.129,0.9094,0.7804,0.121,-0.0323,-0.1532,0.1211,0.5996,0.4785,0.3803,0.6239,0.2436,66.35,40.06,-0.2629,51.0,8.24,-0.4277,28.24,6.49,-0.2175,35.35,7.26,-0.2809,0.00015550511702091779,0.002544374632159832,0.06,60.25,180.04,0.14148212148279338,0.44
