Fold,Feature,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
2,sex,0.8666666666666667,0.7666666666666667,0.231,0.231,0.125,0.25,0.413,0.397,4.714,2.786,0.178,0.2405,0.786,0.786,0.062,0.25,0.4,0.5,0.917,0.733,0.786,0.786,0.846,0.759,0.867,0.767
2,cp,0.8666666666666667,0.7666666666666667,-0.786,-0.152,0.071,0.0,0.429,0.333,0,2.0,-0.35750000000000004,-0.076,0.786,0.786,0.062,0.25,0.4,0.5,0.917,0.733,0.786,0.786,0.846,0.759,0.867,0.767
2,trestbps,0.8666666666666667,0.8,0.0,-0.042,0.0,-0.063,0.5,0.009,0.5,0.983,0.0,-0.052500000000000005,0.786,0.857,0.062,0.25,0.4,0.533,0.917,0.75,0.786,0.857,0.846,0.8,0.867,0.8
2,chol,0.8666666666666667,0.8666666666666667,0,0.286,0,0.25,0,0.0,0,1.0,0.0,0.268,0.786,0.857,0.062,0.125,0.4,0.467,0.917,0.857,0.786,0.857,0.846,0.857,0.867,0.867
2,fbs,0.8666666666666667,0.7333333333333333,0.25,0.25,0.067,0.333,0.296,0.148,0.556,0.778,0.1585,0.2915,0.786,0.786,0.062,0.312,0.4,0.533,0.917,0.688,0.786,0.786,0.846,0.734,0.867,0.733
2,restecg,0.8666666666666667,0.8333333333333334,-0.022,-0.8,-0.077,0.0,0.136,0.5,1.375,0,-0.0495,-0.4,0.786,0.786,0.062,0.125,0.4,0.433,0.917,0.846,0.786,0.786,0.846,0.815,0.867,0.833
2,thalach,0.8666666666666667,0.7333333333333333,-1.0,-0.05,0,0.073,1.0,0.133,0,0.75,-0.5,0.011499999999999996,0.786,0.714,0.062,0.25,0.4,0.467,0.917,0.714,0.786,0.714,0.846,0.714,0.867,0.733
2,exang,0.8666666666666667,0.7666666666666667,0.5,0.042,-0.5,-0.214,0.75,0.35,0.167,0.562,0.0,-0.086,0.786,0.857,0.062,0.312,0.4,0.567,0.917,0.706,0.786,0.857,0.846,0.774,0.867,0.767
2,oldpeak,0.8666666666666667,0.8333333333333334,0.0,-0.083,0.0,-0.256,0.0,0.321,0,0.496,0.0,-0.1695,0.786,0.786,0.062,0.125,0.4,0.433,0.917,0.846,0.786,0.786,0.846,0.815,0.867,0.833
2,ca,0.8666666666666667,0.7333333333333333,0.333,0.022,0.062,0.312,0.72,0.32,0.28,0.6,0.1975,0.167,0.786,0.786,0.062,0.312,0.4,0.533,0.917,0.688,0.786,0.786,0.846,0.734,0.867,0.733
2,thal,0.8666666666666667,0.7,0.75,-0.05,0.067,-0.733,0.804,0.359,0.116,0.507,0.4085,-0.3915,0.786,0.714,0.062,0.312,0.4,0.5,0.917,0.667,0.786,0.714,0.846,0.69,0.867,0.7
3,age,0.9666666666666667,0.9,0.0,0.0,0.2,-0.022,0.393,0.25,2.1,1.5,0.1,-0.011,1.0,1.0,0.071,0.214,0.567,0.633,0.941,0.842,1.0,1.0,0.97,0.914,0.967,0.9
3,sex,0.9666666666666667,0.9333333333333333,0.0,0.091,0.111,0.111,0.1,0.05,1.2,1.1,0.0555,0.101,1.0,0.938,0.071,0.071,0.567,0.533,0.941,0.938,1.0,0.938,0.97,0.938,0.967,0.933
3,cp,0.9666666666666667,0.9333333333333333,-1.0,-1.0,0.111,-0.089,0.68,0.48,0,3.4,-0.4445,-0.5445,1.0,1.0,0.071,0.143,0.567,0.6,0.941,0.889,1.0,1.0,0.97,0.941,0.967,0.933
3,trestbps,0.9666666666666667,0.9333333333333333,0.0,0.0,0,0.222,0.0,0.086,1.0,1.158,0.0,0.111,1.0,1.0,0.071,0.143,0.567,0.6,0.941,0.889,1.0,1.0,0.97,0.941,0.967,0.933
3,chol,0.9666666666666667,0.9,0,-0.1,0,0.222,0,0.067,0,0.889,0.0,0.061,1.0,0.938,0.071,0.143,0.567,0.567,0.941,0.882,1.0,0.938,0.97,0.909,0.967,0.9
3,fbs,0.9666666666666667,0.8333333333333334,0.0,0.167,0.083,0.25,0.125,0.125,0.812,0.812,0.0415,0.20850000000000002,1.0,0.875,0.071,0.214,0.567,0.567,0.941,0.824,1.0,0.875,0.97,0.849,0.967,0.833
3,restecg,0.9666666666666667,0.9333333333333333,0.0,-1.0,0.167,0.333,0.028,0.667,1.05,0,0.0835,-0.3335,1.0,1.0,0.071,0.143,0.567,0.6,0.941,0.889,1.0,1.0,0.97,0.941,0.967,0.933
3,thalach,0.9666666666666667,0.9,-1.0,-0.154,0,-0.25,1.0,0.475,0,0.327,-0.5,-0.202,1.0,0.875,0.071,0.071,0.567,0.5,0.941,0.933,1.0,0.875,0.97,0.903,0.967,0.9
3,exang,0.9666666666666667,0.8333333333333334,0.0,-0.222,0.071,0.214,0.619,0.302,0.381,0.612,0.0355,-0.0040000000000000036,1.0,0.875,0.071,0.214,0.567,0.567,0.941,0.824,1.0,0.875,0.97,0.849,0.967,0.833
3,oldpeak,0.9666666666666667,0.8666666666666667,0.0,-0.175,0.0,-1.0,0.769,0.386,0.231,0.485,0.0,-0.5875,1.0,0.812,0.071,0.071,0.567,0.467,0.941,0.929,1.0,0.812,0.97,0.867,0.967,0.867
3,ca,0.9666666666666667,0.9333333333333333,0.0,0.0,-1.0,-0.923,0.542,0.5,0.458,0.5,-0.5,-0.4615,1.0,1.0,0.071,0.143,0.567,0.6,0.941,0.889,1.0,1.0,0.97,0.941,0.967,0.933
3,thal,0.9666666666666667,0.8,0.0,-0.2,-0.5,-0.333,0.864,0.534,0.082,0.302,-0.25,-0.2665,1.0,0.812,0.071,0.214,0.567,0.533,0.941,0.812,1.0,0.812,0.97,0.812,0.967,0.8
4,age,0.8,0.4,-0.111,0.0,0.046,0.0,0.321,0.0,2.286,1.0,-0.0325,0.0,0.75,1.0,0.167,1.0,0.4,1.0,0.75,0.4,0.75,1.0,0.75,0.571,0.8,0.4
4,sex,0.8,0.4,0.3,0.0,0.231,0.0,0.149,0.0,1.522,1.0,0.2655,0.0,0.75,1.0,0.167,1.0,0.4,1.0,0.75,0.4,0.75,1.0,0.75,0.571,0.8,0.4
4,cp,0.8,0.4,-0.556,0.0,0.3,0.0,0.488,0.0,6.368,1.0,-0.12800000000000003,0.0,0.75,1.0,0.167,1.0,0.4,1.0,0.75,0.4,0.75,1.0,0.75,0.571,0.8,0.4
4,trestbps,0.8,0.4,0.0,0.0,0.5,0.0,0.25,0.0,0.75,1.0,0.25,0.0,0.75,1.0,0.167,1.0,0.4,1.0,0.75,0.4,0.75,1.0,0.75,0.571,0.8,0.4
4,chol,0.8,0.4,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0.0,0.75,1.0,0.167,1.0,0.4,1.0,0.75,0.4,0.75,1.0,0.75,0.571,0.8,0.4
4,fbs,0.8,0.4,-0.111,0.0,0.2,0.0,0.083,0.0,1.25,1.0,0.044500000000000005,0.0,0.75,1.0,0.167,1.0,0.4,1.0,0.75,0.4,0.75,1.0,0.75,0.571,0.8,0.4
4,restecg,0.8,0.4,-0.167,-1.0,-0.15,1.0,0.054,1.0,0.875,0,-0.1585,0.0,0.75,1.0,0.167,1.0,0.4,1.0,0.75,0.4,0.75,1.0,0.75,0.571,0.8,0.4
4,thalach,0.8,0.4,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0.0,0.75,1.0,0.167,1.0,0.4,1.0,0.75,0.4,0.75,1.0,0.75,0.571,0.8,0.4
4,exang,0.8,0.4,0.5,0.0,-0.323,0.0,0.517,0.0,0.289,1.0,0.0885,0.0,0.75,1.0,0.167,1.0,0.4,1.0,0.75,0.4,0.75,1.0,0.75,0.571,0.8,0.4
4,oldpeak,0.8,0.4,1.0,0.0,0.1,0.0,0.909,0.0,0.091,1.0,0.55,0.0,0.75,1.0,0.167,1.0,0.4,1.0,0.75,0.4,0.75,1.0,0.75,0.571,0.8,0.4
4,ca,0.8,0.5,0.333,0.0,0.167,0.833,0.667,0.111,0.333,0.889,0.25,0.4165,0.75,1.0,0.167,0.833,0.4,0.9,0.75,0.444,0.75,1.0,0.75,0.615,0.8,0.5
4,thal,0.8,0.7666666666666667,0.9,0,-0.75,0,0.857,0,0.0,0,0.07500000000000001,0.0,0.75,0.917,0.167,0.333,0.4,0.567,0.75,0.647,0.75,0.917,0.75,0.759,0.8,0.767
5,age,0.7666666666666667,0.8333333333333334,0.083,0.083,0.3,0.2,0.362,0.38,1.784,1.988,0.1915,0.14150000000000001,0.933,0.933,0.4,0.267,0.667,0.6,0.7,0.778,0.933,0.933,0.8,0.848,0.767,0.833
5,sex,0.7666666666666667,0.7333333333333333,-0.5,-0.5,0.482,0.339,0.635,0.524,3.857,2.571,-0.009000000000000008,-0.08049999999999999,0.933,0.933,0.4,0.467,0.667,0.7,0.7,0.667,0.933,0.933,0.8,0.778,0.767,0.733
5,cp,0.7666666666666667,0.7666666666666667,-0.933,0.071,0.5,0.167,0.741,0.4,0,2.0,-0.21650000000000003,0.119,0.933,0.933,0.4,0.4,0.667,0.667,0.7,0.7,0.933,0.933,0.8,0.8,0.767,0.767
5,trestbps,0.7666666666666667,0.8,0.0,-0.091,0,0.0,0.0,0.167,1.0,0.763,0.0,-0.0455,0.933,0.933,0.4,0.333,0.667,0.633,0.7,0.737,0.933,0.933,0.8,0.823,0.767,0.8
5,chol,0.7666666666666667,0.8,0,0.2,1.0,0.2,1.0,0.2,0,0.727,0.5,0.2,0.933,0.933,0.4,0.333,0.667,0.633,0.7,0.737,0.933,0.933,0.8,0.823,0.767,0.8
5,fbs,0.7666666666666667,0.8,-0.933,-0.933,0.0,0.2,0.32,0.52,1.8,3.6,-0.4665,-0.36650000000000005,0.933,0.933,0.4,0.333,0.667,0.633,0.7,0.737,0.933,0.933,0.8,0.823,0.767,0.8
5,restecg,0.7666666666666667,0.8,0.25,-0.75,-0.054,0.375,0.278,0.5,0.643,0,0.098,-0.1875,0.933,0.933,0.4,0.333,0.667,0.633,0.7,0.737,0.933,0.933,0.8,0.823,0.767,0.8
5,thalach,0.7666666666666667,0.7666666666666667,-1.0,-0.111,0,0.0,1.0,0.089,0,0.875,-0.5,-0.0555,0.933,0.933,0.4,0.4,0.667,0.667,0.7,0.7,0.933,0.933,0.8,0.8,0.767,0.767
5,exang,0.7666666666666667,0.8,-0.1,-0.1,-0.333,0.0,0.317,0.24,0.626,0.688,-0.21650000000000003,-0.05,0.933,0.933,0.4,0.333,0.667,0.633,0.7,0.737,0.933,0.933,0.8,0.823,0.767,0.8
5,oldpeak,0.7666666666666667,0.7333333333333333,-0.75,-0.143,-0.071,0.583,0.045,0.15,1.091,1.25,-0.4105,0.21999999999999997,0.933,0.933,0.4,0.467,0.667,0.7,0.7,0.667,0.933,0.933,0.8,0.778,0.767,0.733
5,ca,0.7666666666666667,0.6666666666666666,0.111,0.0,-0.333,0.0,0.317,0.079,0.643,0.911,-0.11100000000000002,0.0,0.933,1.0,0.4,0.667,0.667,0.833,0.7,0.6,0.933,1.0,0.8,0.75,0.767,0.667
5,thal,0.7666666666666667,0.7333333333333333,0.167,0.0,-0.722,0.056,0.533,0.067,0.429,0.917,-0.27749999999999997,0.028,0.933,1.0,0.4,0.533,0.667,0.767,0.7,0.652,0.933,1.0,0.8,0.789,0.767,0.733
6,age,0.8,0.7666666666666667,-0.025,0.25,0.125,0.153,0.161,0.062,1.75,1.125,0.05,0.2015,0.615,0.846,0.059,0.294,0.3,0.533,0.889,0.688,0.615,0.846,0.727,0.759,0.8,0.767
6,sex,0.8,0.7333333333333333,-0.367,-0.667,0.111,-0.042,0.33,0.321,4.632,1.882,-0.128,-0.35450000000000004,0.615,0.846,0.059,0.353,0.3,0.567,0.889,0.647,0.615,0.846,0.727,0.733,0.8,0.733
6,cp,0.8,0.7333333333333333,-0.528,0.222,-0.167,-0.227,0.15,0.2,1.75,0.714,-0.34750000000000003,-0.0025000000000000022,0.615,0.846,0.059,0.353,0.3,0.567,0.889,0.647,0.615,0.846,0.727,0.733,0.8,0.733
6,trestbps,0.8,0.8,0.0,-0.333,0.0,0.05,0.0,0.072,0,1.158,0.0,-0.14150000000000001,0.615,0.846,0.059,0.235,0.3,0.5,0.889,0.733,0.615,0.846,0.727,0.785,0.8,0.8
6,chol,0.8,0.7666666666666667,0,0.139,0,-0.15,0,0.339,0,0.525,0.0,-0.005499999999999991,0.615,0.846,0.059,0.294,0.3,0.533,0.889,0.688,0.615,0.846,0.727,0.759,0.8,0.767
6,fbs,0.8,0.7666666666666667,0.417,-0.917,0.071,0.357,0.058,0.615,1.231,0,0.244,-0.28,0.615,0.846,0.059,0.294,0.3,0.533,0.889,0.688,0.615,0.846,0.727,0.759,0.8,0.767
6,restecg,0.8,0.7333333333333333,0.025,-0.8,-0.143,0.2,0.2,0.4,0.5,0,-0.059,-0.30000000000000004,0.615,0.692,0.059,0.235,0.3,0.433,0.889,0.692,0.615,0.692,0.727,0.692,0.8,0.733
6,thalach,0.8,0.7333333333333333,0,0.133,0,-0.061,0,0.268,0,0.571,0.0,0.036000000000000004,0.615,0.769,0.059,0.294,0.3,0.5,0.889,0.667,0.615,0.769,0.727,0.714,0.8,0.733
6,exang,0.8,0.7,0.35,0.075,0.067,0.467,0.45,0.15,0.25,0.786,0.2085,0.271,0.615,0.846,0.059,0.412,0.3,0.6,0.889,0.611,0.615,0.846,0.727,0.71,0.8,0.7
6,oldpeak,0.8,0.6666666666666666,-0.4,-0.075,0.0,-0.238,0.154,0.159,0,0.788,-0.2,-0.1565,0.615,0.846,0.059,0.471,0.3,0.633,0.889,0.579,0.615,0.846,0.727,0.687,0.8,0.667
6,ca,0.8,0.7333333333333333,0.833,-0.143,0.067,-0.1,0.683,0.206,0.122,0.735,0.44999999999999996,-0.1215,0.615,0.923,0.059,0.412,0.3,0.633,0.889,0.632,0.615,0.923,0.727,0.75,0.8,0.733
6,thal,0.8,0.6666666666666666,0.214,-0.119,-0.2,0.3,0.333,0.111,0.333,1.222,0.006999999999999992,0.0905,0.615,0.769,0.059,0.412,0.3,0.567,0.889,0.588,0.615,0.769,0.727,0.666,0.8,0.667
7,age,0.896551724137931,0.3793103448275862,-0.167,0.0,0.4,0.0,0.437,0.0,2.66,1.0,0.1165,0.0,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,sex,0.896551724137931,0.3793103448275862,0.125,0.0,-0.154,0.0,0.226,0.0,1.723,1.0,-0.014499999999999999,0.0,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,cp,0.896551724137931,0.3793103448275862,-0.909,-1.0,-0.025,0.0,0.399,0.0,4.19,1.0,-0.467,-0.5,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,trestbps,0.896551724137931,0.3793103448275862,-1.0,0.0,0.333,0.0,0.5,0.0,0,1.0,-0.3335,0.0,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,chol,0.896551724137931,0.3793103448275862,1.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,fbs,0.896551724137931,0.3793103448275862,0.111,0.0,0.111,1.0,0.63,0.0,0.37,1.0,0.111,0.5,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,restecg,0.896551724137931,0.3793103448275862,0.2,0.0,-0.052,0.0,0.226,0.0,0.58,1.0,0.07400000000000001,0.0,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,thalach,0.896551724137931,0.3793103448275862,1.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,exang,0.896551724137931,0.3793103448275862,0.333,0.0,-0.267,0.0,0.652,0.0,0.204,1.0,0.033,0.0,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,oldpeak,0.896551724137931,0.3793103448275862,0.5,0.0,0.0,0.0,0.929,0.0,0.071,1.0,0.25,0.0,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,ca,0.896551724137931,0.3793103448275862,0.167,0.0,-0.941,0.0,0.739,0.0,0.261,1.0,-0.38699999999999996,0.0,0.909,1.0,0.111,1.0,0.414,1.0,0.833,0.379,0.909,1.0,0.869,0.55,0.897,0.379
7,thal,0.896551724137931,0.8275862068965517,0.143,0,0.118,0,0.467,0,0.417,0,0.1305,0.0,0.909,0.727,0.111,0.111,0.414,0.345,0.833,0.8,0.909,0.727,0.869,0.762,0.897,0.828
8,age,0.7931034482758621,0.7586206896551724,-0.028,-0.028,0.333,0.444,0.283,0.338,2.037,2.241,0.1525,0.208,0.769,0.769,0.188,0.25,0.448,0.483,0.769,0.714,0.769,0.769,0.769,0.74,0.793,0.759
8,sex,0.7931034482758621,0.7931034482758621,-0.833,-0.917,0.375,0.25,0.65,0.589,0,6.3,-0.22899999999999998,-0.3335,0.769,0.846,0.188,0.25,0.448,0.517,0.769,0.733,0.769,0.846,0.769,0.785,0.793,0.793
8,cp,0.7931034482758621,0.7586206896551724,-0.567,0.3,0.231,-0.103,0.355,0.232,3.13,0.652,-0.16799999999999998,0.0985,0.769,0.769,0.188,0.25,0.448,0.483,0.769,0.714,0.769,0.769,0.769,0.74,0.793,0.759
8,trestbps,0.7931034482758621,0.7586206896551724,-1.0,-0.119,0.0,-0.133,0.2,0.101,0,0.812,-0.5,-0.126,0.769,0.769,0.188,0.25,0.448,0.483,0.769,0.714,0.769,0.769,0.769,0.74,0.793,0.759
8,chol,0.7931034482758621,0.7586206896551724,0,-0.119,0,0.19,0,0.105,0,1.244,0.0,0.035500000000000004,0.769,0.769,0.188,0.25,0.448,0.483,0.769,0.714,0.769,0.769,0.769,0.74,0.793,0.759
8,fbs,0.7931034482758621,0.7931034482758621,-0.318,-0.818,0.214,0.143,0.23,0.44,1.92,0,-0.052000000000000005,-0.33749999999999997,0.769,0.692,0.188,0.125,0.448,0.379,0.769,0.818,0.769,0.692,0.769,0.75,0.793,0.793
8,restecg,0.7931034482758621,0.7931034482758621,-0.028,0.139,-0.083,0.0,0.071,0.024,0.857,0.955,-0.0555,0.0695,0.769,0.846,0.188,0.25,0.448,0.517,0.769,0.733,0.769,0.846,0.769,0.785,0.793,0.793
8,thalach,0.7931034482758621,0.7241379310344828,0,0.025,0.0,-0.375,0.0,0.269,0,0.462,0.0,-0.175,0.769,0.615,0.188,0.188,0.448,0.379,0.769,0.727,0.769,0.615,0.769,0.666,0.793,0.724
8,exang,0.7931034482758621,0.7586206896551724,0.333,0.222,-0.929,-0.786,0.696,0.565,0.304,0.435,-0.29800000000000004,-0.28200000000000003,0.769,0.846,0.188,0.312,0.448,0.552,0.769,0.688,0.769,0.846,0.769,0.759,0.793,0.759
8,oldpeak,0.7931034482758621,0.7241379310344828,1.0,0.119,-0.875,-0.786,0.9,0.494,0.1,0.435,0.0625,-0.3335,0.769,0.769,0.188,0.312,0.448,0.517,0.769,0.667,0.769,0.769,0.769,0.714,0.793,0.724
