Fold,Feature,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,sex,0.7047619047619048,0.638095238095238,0.119,0.164,-0.256,-0.261,0.18,0.207,0.69,0.695,-0.0685,-0.0485,0.708,0.729,0.298,0.439,0.486,0.571,0.667,0.583,0.708,0.729,0.687,0.648,0.705,0.638
0,age,0.7047619047619048,0.6095238095238096,-0.833,-0.681,0.333,0.472,0.544,0.57,0,0,-0.24999999999999997,-0.10450000000000004,0.708,0.667,0.298,0.439,0.486,0.543,0.667,0.561,0.708,0.667,0.687,0.609,0.705,0.61
0,Pstatus,0.7047619047619048,0.6476190476190476,-0.051,-0.179,-0.039,-0.196,0.056,0.033,0.896,0.95,-0.045,-0.1875,0.708,0.812,0.298,0.491,0.486,0.638,0.667,0.582,0.708,0.812,0.687,0.678,0.705,0.648
0,Medu,0.7047619047619048,0.6095238095238096,-0.325,0.12,0.208,-0.036,0.339,0.001,2.356,1.002,-0.05850000000000001,0.041999999999999996,0.708,0.792,0.298,0.544,0.486,0.657,0.667,0.551,0.708,0.792,0.687,0.65,0.705,0.61
0,Fjob,0.7047619047619048,0.6761904761904762,-0.095,-0.101,0.111,0.265,0.086,0.171,1.2,1.375,0.008,0.082,0.708,0.771,0.298,0.404,0.486,0.571,0.667,0.617,0.708,0.771,0.687,0.685,0.705,0.676
0,reason,0.7047619047619048,0.6761904761904762,0.265,0.127,-0.181,0.077,0.241,0.038,0.616,0.941,0.04200000000000001,0.10200000000000001,0.708,0.833,0.298,0.456,0.486,0.629,0.667,0.606,0.708,0.833,0.687,0.702,0.705,0.676
0,guardian,0.7047619047619048,0.5619047619047619,0.298,-0.787,0.304,0.625,0.015,0.699,0.971,0,0.301,-0.08100000000000002,0.708,0.771,0.298,0.614,0.486,0.686,0.667,0.514,0.708,0.771,0.687,0.617,0.705,0.562
0,traveltime,0.7047619047619048,0.638095238095238,-0.344,-0.028,0.298,0.351,0.09,0.13,1.225,0.783,-0.022999999999999993,0.16149999999999998,0.708,0.625,0.298,0.351,0.486,0.476,0.667,0.6,0.708,0.625,0.687,0.612,0.705,0.638
0,studytime,0.7047619047619048,0.6476190476190476,0.109,-0.109,-0.366,-0.032,0.289,0.008,0.593,0.988,-0.1285,-0.07050000000000001,0.708,0.792,0.298,0.474,0.486,0.619,0.667,0.585,0.708,0.792,0.687,0.673,0.705,0.648
0,schoolsup,0.7047619047619048,0.638095238095238,-0.85,-0.8,0.5,0.24,0.689,0.48,0,2.653,-0.175,-0.28,0.708,0.792,0.298,0.491,0.486,0.629,0.667,0.576,0.708,0.792,0.687,0.667,0.705,0.638
0,famsup,0.7047619047619048,0.6952380952380952,0.116,0.163,-0.319,-0.224,0.203,0.168,0.684,0.754,-0.1015,-0.0305,0.708,0.771,0.298,0.368,0.486,0.552,0.667,0.638,0.708,0.771,0.687,0.698,0.705,0.695
0,paid,0.7047619047619048,0.6476190476190476,-0.5,-0.818,0.177,0.174,0.339,0.446,2.867,3.452,-0.1615,-0.32199999999999995,0.708,0.75,0.298,0.439,0.486,0.581,0.667,0.59,0.708,0.75,0.687,0.66,0.705,0.648
0,activities,0.7047619047619048,0.6952380952380952,-0.022,-0.189,-0.025,0.048,0.052,0.062,0.898,1.117,-0.0235,-0.07050000000000001,0.708,0.771,0.298,0.368,0.486,0.552,0.667,0.638,0.708,0.771,0.687,0.698,0.705,0.695
0,nursery,0.7047619047619048,0.6285714285714286,-0.044,-0.022,0.067,-0.11,0.207,0.02,1.657,1.038,0.011500000000000003,-0.066,0.708,0.688,0.298,0.421,0.486,0.543,0.667,0.579,0.708,0.688,0.687,0.629,0.705,0.629
0,higher,0.7047619047619048,0.5619047619047619,-0.708,-0.604,0.304,0.482,0.49,0.538,0,0,-0.20199999999999999,-0.061,0.708,0.604,0.298,0.474,0.486,0.533,0.667,0.518,0.708,0.604,0.687,0.558,0.705,0.562
0,internet,0.7047619047619048,0.6571428571428571,-0.495,-0.091,0.347,0.094,0.411,0.089,4.083,1.167,-0.07400000000000001,0.0015000000000000013,0.708,0.792,0.298,0.456,0.486,0.61,0.667,0.594,0.708,0.792,0.687,0.679,0.705,0.657
0,romantic,0.7047619047619048,0.6952380952380952,0.174,0.077,-0.044,0.067,0.05,0.055,0.906,1.105,0.065,0.07200000000000001,0.708,0.792,0.298,0.386,0.486,0.571,0.667,0.633,0.708,0.792,0.687,0.704,0.705,0.695
0,famrel,0.7047619047619048,0.580952380952381,-0.188,0.034,-0.078,-0.013,0.065,0.006,1.15,0.991,-0.133,0.010500000000000002,0.708,0.75,0.298,0.561,0.486,0.648,0.667,0.529,0.708,0.75,0.687,0.62,0.705,0.581
0,freetime,0.7047619047619048,0.6857142857142857,0.221,0.205,0.074,-0.022,0.084,0.126,0.844,0.804,0.1475,0.0915,0.708,0.771,0.298,0.386,0.486,0.562,0.667,0.627,0.708,0.771,0.687,0.692,0.705,0.686
0,goout,0.7047619047619048,0.6666666666666666,-0.278,0.083,0.03,-0.115,0.167,0.073,1.455,0.884,-0.12400000000000001,-0.016,0.708,0.771,0.298,0.421,0.486,0.581,0.667,0.607,0.708,0.771,0.687,0.679,0.705,0.667
0,Walc,0.7047619047619048,0.6476190476190476,-0.5,-0.205,0.187,0.101,0.369,0.204,3.091,1.578,-0.1565,-0.05199999999999999,0.708,0.688,0.298,0.386,0.486,0.524,0.667,0.6,0.708,0.688,0.687,0.641,0.705,0.648
0,health,0.7047619047619048,0.6952380952380952,0.226,0.15,-0.106,0.036,0.2,0.089,0.667,0.857,0.060000000000000005,0.093,0.708,0.792,0.298,0.386,0.486,0.571,0.667,0.633,0.708,0.792,0.687,0.704,0.705,0.695
0,absences,0.7047619047619048,0.6285714285714286,-0.724,-0.174,0.357,0.324,0.544,0.358,0,2.789,-0.1835,0.07500000000000001,0.708,0.667,0.298,0.404,0.486,0.524,0.667,0.582,0.708,0.667,0.687,0.622,0.705,0.629
1,sex,0.7142857142857143,0.7047619047619048,0.13,0.257,0.15,0.1,0.109,0.044,1.442,1.096,0.14,0.1785,0.512,0.732,0.156,0.312,0.295,0.476,0.677,0.6,0.512,0.732,0.583,0.659,0.714,0.705
1,age,0.7142857142857143,0.5714285714285714,-0.75,-0.512,0.217,0.439,0.4,0.469,0,0,-0.2665,-0.036500000000000005,0.512,0.512,0.156,0.391,0.295,0.438,0.677,0.457,0.512,0.512,0.583,0.483,0.714,0.571
1,Pstatus,0.7142857142857143,0.6190476190476191,0.167,-0.219,-0.077,0.123,0.043,0.18,0.871,1.72,0.045000000000000005,-0.048,0.512,0.537,0.156,0.328,0.295,0.41,0.677,0.512,0.512,0.537,0.583,0.524,0.714,0.619
1,Medu,0.7142857142857143,0.6857142857142857,-0.492,-0.113,0.255,0.184,0.406,0.239,5.3,1.551,-0.1185,0.0355,0.512,0.805,0.156,0.391,0.295,0.552,0.677,0.569,0.512,0.805,0.583,0.667,0.714,0.686
1,Fjob,0.7142857142857143,0.6476190476190476,0.176,-0.171,-0.006,0.116,0.091,0.123,0.74,1.278,0.08499999999999999,-0.027500000000000004,0.512,0.707,0.156,0.391,0.295,0.514,0.677,0.537,0.512,0.707,0.583,0.61,0.714,0.648
1,reason,0.7142857142857143,0.6666666666666666,-0.074,0.168,-0.19,-0.302,0.119,0.288,0.691,0.606,-0.132,-0.06699999999999999,0.512,0.732,0.156,0.375,0.295,0.514,0.677,0.556,0.512,0.732,0.583,0.632,0.714,0.667
1,guardian,0.7142857142857143,0.5428571428571428,-0.525,-0.475,0.167,0.433,0.31,0.45,0,0,-0.179,-0.02099999999999999,0.512,0.463,0.156,0.406,0.295,0.429,0.677,0.422,0.512,0.463,0.583,0.442,0.714,0.543
1,traveltime,0.7142857142857143,0.6285714285714286,-0.538,0.385,0.192,-0.154,0.341,0.11,0,0.808,-0.17300000000000001,0.1155,0.512,0.634,0.156,0.375,0.295,0.476,0.677,0.52,0.512,0.634,0.583,0.571,0.714,0.629
1,studytime,0.7142857142857143,0.6761904761904762,0.295,0.178,-0.466,0.243,0.433,0.033,0.35,0.938,-0.08550000000000002,0.2105,0.512,0.732,0.156,0.359,0.295,0.505,0.677,0.566,0.512,0.732,0.583,0.638,0.714,0.676
1,schoolsup,0.7142857142857143,0.7142857142857143,-0.525,-0.725,-0.335,-0.19,0.116,0.053,0.711,1.132,-0.43000000000000005,-0.4575,0.512,0.707,0.156,0.281,0.295,0.448,0.677,0.617,0.512,0.707,0.583,0.659,0.714,0.714
1,famsup,0.7142857142857143,0.6571428571428571,0.244,0.013,0.01,0.147,0.032,0.13,0.898,1.33,0.127,0.08,0.512,0.659,0.156,0.344,0.295,0.467,0.677,0.551,0.512,0.659,0.583,0.6,0.714,0.657
1,paid,0.7142857142857143,0.6761904761904762,-0.538,0.333,0.164,-0.005,0.31,0.14,0,0.767,-0.187,0.164,0.512,0.683,0.156,0.328,0.295,0.467,0.677,0.571,0.512,0.683,0.583,0.622,0.714,0.676
1,activities,0.7142857142857143,0.6190476190476191,-0.09,0.169,-0.01,0.005,0.034,0.101,0.891,0.823,-0.049999999999999996,0.08700000000000001,0.512,0.683,0.156,0.422,0.295,0.524,0.677,0.509,0.512,0.683,0.583,0.583,0.714,0.619
1,nursery,0.7142857142857143,0.6666666666666666,-0.481,-0.352,0.09,0.096,0.241,0.194,3.412,1.647,-0.1955,-0.128,0.512,0.659,0.156,0.328,0.295,0.457,0.677,0.562,0.512,0.659,0.583,0.607,0.714,0.667
1,higher,0.7142857142857143,0.580952380952381,-0.512,-0.561,0.189,0.381,0.33,0.42,0,5.617,-0.1615,-0.09000000000000002,0.512,0.561,0.156,0.406,0.295,0.467,0.677,0.469,0.512,0.561,0.583,0.511,0.714,0.581
1,internet,0.7142857142857143,0.7333333333333333,-0.291,-0.007,0.147,0.175,0.267,0.264,4.067,2.01,-0.072,0.08399999999999999,0.512,0.756,0.156,0.281,0.295,0.467,0.677,0.633,0.512,0.756,0.583,0.689,0.714,0.733
1,romantic,0.7142857142857143,0.6666666666666666,-0.418,0.002,0.142,-0.063,0.244,0.044,2.571,0.9,-0.138,-0.0305,0.512,0.61,0.156,0.297,0.295,0.419,0.677,0.568,0.512,0.61,0.583,0.588,0.714,0.667
1,famrel,0.7142857142857143,0.6761904761904762,-0.016,-0.077,0.1,-0.009,0.11,0.06,1.503,1.146,0.042,-0.043,0.512,0.659,0.156,0.312,0.295,0.448,0.677,0.574,0.512,0.659,0.583,0.614,0.714,0.676
1,freetime,0.7142857142857143,0.6571428571428571,0.307,0.156,0.206,0.237,0.044,0.117,1.165,1.281,0.2565,0.1965,0.512,0.683,0.156,0.359,0.295,0.486,0.677,0.549,0.512,0.683,0.583,0.609,0.714,0.657
1,goout,0.7142857142857143,0.638095238095238,-0.148,-0.077,0.178,0.289,0.244,0.277,2.669,1.873,0.015,0.10599999999999998,0.512,0.659,0.156,0.375,0.295,0.486,0.677,0.529,0.512,0.659,0.583,0.587,0.714,0.638
1,Walc,0.7142857142857143,0.6857142857142857,-0.291,-0.284,0.176,0.018,0.298,0.194,5.019,1.523,-0.057499999999999996,-0.13299999999999998,0.512,0.756,0.156,0.359,0.295,0.514,0.677,0.574,0.512,0.756,0.583,0.653,0.714,0.686
1,health,0.7142857142857143,0.6666666666666666,-0.02,0.252,-0.137,-0.184,0.076,0.21,0.778,0.641,-0.0785,0.034,0.512,0.659,0.156,0.328,0.295,0.457,0.677,0.562,0.512,0.659,0.583,0.607,0.714,0.667
1,absences,0.7142857142857143,0.6285714285714286,-0.476,-0.218,0.219,0.054,0.321,0.147,0,1.368,-0.1285,-0.082,0.512,0.707,0.156,0.422,0.295,0.533,0.677,0.518,0.512,0.707,0.583,0.598,0.714,0.629
2,sex,0.6190476190476191,0.6285714285714286,-0.178,-0.111,0.163,0.182,0.186,0.171,1.683,1.443,-0.007499999999999993,0.0355,0.5,0.625,0.281,0.368,0.381,0.486,0.6,0.588,0.5,0.625,0.545,0.606,0.619,0.629
2,age,0.6190476190476191,0.6285714285714286,0.6,0.404,-0.289,0.165,0.324,0.141,0.46,1.424,0.1555,0.28450000000000003,0.5,0.604,0.281,0.351,0.381,0.467,0.6,0.592,0.5,0.604,0.545,0.598,0.619,0.629
2,Pstatus,0.6190476190476191,0.5142857142857142,0.251,-0.129,-0.131,-0.015,0.228,0.065,0.608,1.194,0.06,-0.07200000000000001,0.5,0.396,0.281,0.386,0.381,0.39,0.6,0.463,0.5,0.396,0.545,0.427,0.619,0.514
2,Medu,0.6190476190476191,0.5904761904761905,-0.459,-0.346,0.403,0.222,0.434,0.283,3.429,1.689,-0.027999999999999997,-0.061999999999999986,0.5,0.646,0.281,0.456,0.381,0.543,0.6,0.544,0.5,0.646,0.545,0.591,0.619,0.59
2,Fjob,0.6190476190476191,0.6857142857142857,0.059,0.079,0.043,0.067,0.014,0.03,1.038,1.067,0.051,0.07300000000000001,0.5,0.667,0.281,0.298,0.381,0.467,0.6,0.653,0.5,0.667,0.545,0.66,0.619,0.686
2,reason,0.6190476190476191,0.6285714285714286,0.101,-0.076,-0.338,-0.049,0.22,0.022,0.585,1.048,-0.11850000000000001,-0.0625,0.5,0.625,0.281,0.368,0.381,0.486,0.6,0.588,0.5,0.625,0.545,0.606,0.619,0.629
2,guardian,0.6190476190476191,0.6190476190476191,-0.5,-0.604,0.157,0.094,0.255,0.204,2.786,1.714,-0.17149999999999999,-0.255,0.5,0.604,0.281,0.368,0.381,0.476,0.6,0.58,0.5,0.604,0.545,0.592,0.619,0.619
2,traveltime,0.6190476190476191,0.4857142857142857,-0.522,0.022,0.308,0.119,0.408,0.071,0,1.167,-0.10700000000000001,0.0705,0.5,0.479,0.281,0.509,0.381,0.495,0.6,0.442,0.5,0.479,0.545,0.46,0.619,0.486
2,studytime,0.6190476190476191,0.6,0.333,0.056,-0.266,-0.096,0.323,0.097,0.492,0.836,0.0335,-0.02,0.5,0.625,0.281,0.421,0.381,0.514,0.6,0.556,0.5,0.625,0.545,0.588,0.619,0.6
2,schoolsup,0.6190476190476191,0.6,-0.545,-0.114,0.302,0.165,0.412,0.13,0,1.347,-0.12150000000000002,0.025500000000000002,0.5,0.604,0.281,0.404,0.381,0.495,0.6,0.558,0.5,0.604,0.545,0.58,0.619,0.6
2,famsup,0.6190476190476191,0.6095238095238096,-0.084,0.059,-0.107,-0.022,0.04,0.063,0.902,0.879,-0.0955,0.0185,0.5,0.604,0.281,0.386,0.381,0.486,0.6,0.569,0.5,0.604,0.545,0.586,0.619,0.61
2,paid,0.6190476190476191,0.638095238095238,-0.511,0.319,0.302,0.434,0.4,0.35,0,2.75,-0.10450000000000001,0.3765,0.5,0.688,0.281,0.404,0.381,0.533,0.6,0.589,0.5,0.688,0.545,0.635,0.619,0.638
2,activities,0.6190476190476191,0.6095238095238096,0.392,0.338,-0.135,-0.231,0.289,0.315,0.455,0.528,0.1285,0.053500000000000006,0.5,0.625,0.281,0.404,0.381,0.505,0.6,0.566,0.5,0.625,0.545,0.594,0.619,0.61
2,nursery,0.6190476190476191,0.6190476190476191,-0.158,-0.013,0.13,0.015,0.145,0.017,1.526,1.036,-0.013999999999999999,0.001,0.5,0.625,0.281,0.386,0.381,0.495,0.6,0.577,0.5,0.625,0.545,0.6,0.619,0.619
2,higher,0.6190476190476191,0.49523809523809526,-0.5,-0.458,0.364,0.215,0.435,0.181,0,1.59,-0.068,-0.12150000000000001,0.5,0.458,0.281,0.474,0.381,0.467,0.6,0.449,0.5,0.458,0.545,0.453,0.619,0.495
2,internet,0.6190476190476191,0.6095238095238096,-0.295,-0.167,0.036,0.138,0.144,0.12,1.547,1.326,-0.1295,-0.014499999999999999,0.5,0.583,0.281,0.368,0.381,0.467,0.6,0.571,0.5,0.583,0.545,0.577,0.619,0.61
2,romantic,0.6190476190476191,0.638095238095238,-0.101,0.025,0.013,-0.243,0.072,0.121,1.217,0.783,-0.044000000000000004,-0.109,0.5,0.625,0.281,0.351,0.381,0.476,0.6,0.6,0.5,0.625,0.545,0.612,0.619,0.638
2,famrel,0.6190476190476191,0.5238095238095238,-0.177,-0.177,-0.135,0.093,0.008,0.131,1.021,1.35,-0.156,-0.041999999999999996,0.5,0.5,0.281,0.456,0.381,0.476,0.6,0.48,0.5,0.5,0.545,0.49,0.619,0.524
2,freetime,0.6190476190476191,0.6095238095238096,-0.242,-0.261,0.085,0.209,0.158,0.234,1.579,1.642,-0.07849999999999999,-0.02600000000000001,0.5,0.646,0.281,0.421,0.381,0.524,0.6,0.564,0.5,0.646,0.545,0.602,0.619,0.61
2,goout,0.6190476190476191,0.580952380952381,0.0,0.122,0.294,0.071,0.157,0.019,1.558,0.967,0.147,0.0965,0.5,0.646,0.281,0.474,0.381,0.552,0.6,0.534,0.5,0.646,0.545,0.585,0.619,0.581
2,Walc,0.6190476190476191,0.5714285714285714,-0.205,-0.12,0.29,0.186,0.278,0.173,2.667,1.519,0.042499999999999996,0.033,0.5,0.542,0.281,0.404,0.381,0.467,0.6,0.531,0.5,0.542,0.545,0.536,0.619,0.571
2,health,0.6190476190476191,0.6285714285714286,0.168,-0.066,-0.235,-0.053,0.227,0.029,0.545,0.944,-0.03349999999999999,-0.0595,0.5,0.646,0.281,0.386,0.381,0.505,0.6,0.585,0.5,0.646,0.545,0.614,0.619,0.629
2,absences,0.6190476190476191,0.5238095238095238,-0.48,0.022,0.45,0.297,0.467,0.244,0,1.978,-0.014999999999999986,0.1595,0.5,0.479,0.281,0.439,0.381,0.457,0.6,0.479,0.5,0.479,0.545,0.479,0.619,0.524
