ID,ID2,Feature,Feature2,swap_proportion,Type,P_a_b,P_a_not_b,P_b_not_a,P_a_b_over_P_a_not_b,P_b_a_over_P_b_not_a,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
F_0,F_0,age,age,50.0,CDI,0,0,0,0,0,0.8012533572068039,0.8003581020590869,0.0034898995095647054,0.02110244276761734,0.098792419159368,0.00014052959344877325,0.7061139571702186,0.0011173184357542113,0.00016995721384236437,0.0067713205364532715,0.09,19.964,0.0008952551477170994,1.0,0.153,-0.765,0,0,0.153,0.765,0.835,0,0.0765,-0.3825,0.801,0.8,0,0,0.801,0.8,1.0,1.0,0.801,0.8,0.89,0.889,0.801,0.8
F_0,F_2,age,education,50.0,NII,0.019888908797706505,0.007615122737860598,0.012990503493997491,2.611764705882353,1.5310344827586209,0.8012533572068039,0.990152193375112,0.009288272157564906,0.0,0.3276573864831417,0.00014052959344877325,0.6959382191571792,0.006703910614525171,0.0020551581191646157,0.022468331150821096,0.895,0.985,0.009847806624888093,1.0,0.153,-0.993,0,0.022,0.153,0.765,0.835,0,0.0765,-0.4855,0.801,0.994,0,0.027,0.801,0.801,1.0,0.993,0.801,0.994,0.89,0.993,0.801,0.99
F_0,F_2,age,education,50.0,NDI,0.019888908797706505,0.007615122737860598,0.012990503493997491,2.611764705882353,1.5310344827586209,0.8012533572068039,0.999104744852283,0.004132584797243033,0.020939669104396052,0.098792419159368,0.00014052959344879067,0.7061172954778098,0.0011185682326622102,0.00020054721500541536,0.006769581698635073,0.806,0.09,0.0008952551477170994,1.0,0.153,-1.0,0,0.0,0.153,0.762,0.835,0,0.0765,-0.5,0.801,1.0,0,0.004,0.801,0.8,1.0,0.999,0.801,1.0,0.89,0.999,0.801,0.999
F_0,F_3,age,default,50.0,NII,0.02705608313922236,0.0004479483963447411,0.016215731947679626,60.4,1.6685082872928176,0.8012533572068039,0.991047448522829,0.0003357206803939123,0.0,0.31240906010166003,0.0,0.6970257690500826,0.005599104143337066,0.001853554826584479,0.021415444931097948,0.179,0.895,0.008952551477170993,1.0,0.153,-0.997,0,0.022,0.153,0.765,0.835,0,0.0765,-0.4875,0.801,0.994,0,0.022,0.801,0.799,1.0,0.994,0.801,0.994,0.89,0.994,0.801,0.991
F_0,F_3,age,default,50.0,NDI,0.02705608313922236,0.0004479483963447411,0.016215731947679626,60.4,1.6685082872928176,0.8012533572068039,0.999104744852283,0.00361527000244342,0.018625957748607706,0.098792419159368,0.00014052959344877325,0.7061139571702186,0.0011173184357542178,0.0002006502340489918,0.006771320536453267,0.179,0.09,0.0008952551477170994,1.0,0.153,-1.0,0,0.0,0.153,0.765,0.835,0,0.0765,-0.5,0.801,1.0,0,0.004,0.801,0.801,1.0,0.999,0.801,1.0,0.89,0.999,0.801,0.999
F_0,F_4,age,balance,50.0,NII,0.0,0.0,0.0,0,0,0.8012533572068039,0.9964189794091316,0.0015855650817815945,0.0,0.197584838318736,0.0,0.7031114681471519,0.0022371364653243847,0.0007418031540462496,0.013547798270138972,0.269,0.358,0.0035810205908683975,1.0,0.153,-1.0,0,0.0,0.153,0.765,0.835,0,0.0765,-0.5,0.801,0.998,0,0.009,0.801,0.8,1.0,0.998,0.801,0.998,0.89,0.998,0.801,0.996
F_0,F_4,age,balance,50.0,NDI,0.0,0.0,0.0,0,0,0.8012533572068039,0.9982094897045658,0.00480464507106171,0.021462870164750205,0.13971357903482584,0.0,0.7051175189245052,0.0011185682326621924,0.0003709015770231248,0.009579740026962645,0.269,0.179,0.0017905102954341987,1.0,0.153,-1.0,0,0.0,0.153,0.765,0.835,0,0.0765,-0.5,0.801,0.999,0,0.004,0.801,0.8,1.0,0.999,0.801,0.999,0.89,0.999,0.801,0.998
F_0,F_6,age,loan,50.0,NII,0.023472495968464433,0.00403153556710267,0.014423938362300662,5.822222222222223,1.627329192546584,0.8012533572068039,0.9955237242614146,0.004700089525514772,0.0,0.22090656490199947,0.0007026479672439186,0.7021786435306048,0.005592841163310961,0.0008455432522894617,0.015098666081377714,0.537,0.448,0.004476275738585497,1.0,0.153,-0.997,0,0.0,0.153,0.762,0.835,0,0.0765,-0.4985,0.801,0.994,0,0.0,0.801,0.796,1.0,1.0,0.801,0.994,0.89,0.997,0.801,0.996
F_0,F_6,age,loan,50.0,NDI,0.023472495968464433,0.00403153556710267,0.014423938362300662,5.822222222222223,1.627329192546584,0.8012533572068039,0.999104744852283,0.004040839627786648,0.018265530351474844,0.098792419159368,0.00014052959344879067,0.706130330627745,0.0011235955056179722,0.00016952165691192883,0.00676263971909638,0.537,0.09,0.0008952551477170994,1.0,0.153,-1.0,0,0.0,0.153,0.762,0.835,0,0.0765,-0.5,0.801,0.999,0,0.0,0.801,0.796,1.0,1.0,0.801,0.999,0.89,0.999,0.801,0.999
F_0,F_7,age,duration,50.0,NII,8.958967926894822e-05,0.0,0.0,0,0,0.8012533572068039,0.9749328558639212,0.008289761256356724,0.0,0.522760345028281,0.0019674143082829476,0.6790404286254841,0.023595505617977432,0.0049298949061869005,0.03561654613098285,2.596,2.507,0.025067144136078783,1.0,0.153,-0.952,0,0.022,0.153,0.731,0.835,0,0.0765,-0.46499999999999997,0.801,0.976,0,0.031,0.801,0.784,1.0,0.992,0.801,0.976,0.89,0.984,0.801,0.975
