Fold,swap_proportion,Feature,Shap,Importance
0,0.1,sex,0.07663035264897089,0.15326070529794178
0,0.1,age,0.06326133956589594,0.37784076532531774
0,0.1,Pstatus,0.042995387582779,0.1343605861961844
0,0.1,Medu,0.2899261988658518,1.2885608838482299
0,0.1,Fjob,0.005898002197524255,0.08869176236878583
0,0.1,reason,0.09262877488969923,0.2692696944468001
0,0.1,guardian,0.1199967020769535,0.479986808307814
0,0.1,traveltime,0.17400734938058365,0.7394080002007803
0,0.1,studytime,0.13111620696246037,0.7866972417747623
0,0.1,schoolsup,0.3467133141228646,1.3650130477278135
0,0.1,famsup,0.1378002485701228,0.2800818060368349
0,0.1,paid,0.17839545574570673,0.6463603469047344
0,0.1,activities,0.03424002433569353,0.06848004867138704
0,0.1,nursery,0.014699000536009931,0.04508895869941698
0,0.1,higher,0.16046438483533124,1.7829376092814586
0,0.1,internet,0.19554634891565975,0.5145956550412099
0,0.1,romantic,0.08522845957220816,0.26305080114879065
0,0.1,famrel,0.0362788792011188,0.2418591946741254
0,0.1,freetime,0.06551870913961524,0.3211701428412512
0,0.1,goout,0.08137661842318583,0.3281315258999429
0,0.1,Walc,0.21440624152019833,0.6752952488825145
0,0.1,health,0.2502404617895183,0.5943953961746278
0,0.1,absences,0.07555623348042342,1.65887514959946
0,0.1,sex,0.07663035264897089,0.15326070529794178
0,0.1,age,0.06326133956589594,0.37784076532531774
0,0.1,Pstatus,0.042995387582779,0.1343605861961844
0,0.1,Medu,0.2899261988658518,1.2885608838482299
0,0.1,Fjob,0.005898002197524255,0.08869176236878583
0,0.1,reason,0.09262877488969923,0.2692696944468001
0,0.1,guardian,0.1199967020769535,0.479986808307814
0,0.1,traveltime,0.17400734938058365,0.7394080002007803
0,0.1,studytime,0.13111620696246037,0.7866972417747623
0,0.1,schoolsup,0.3467133141228646,1.3650130477278135
0,0.1,famsup,0.1378002485701228,0.2800818060368349
0,0.1,paid,0.17839545574570673,0.6463603469047344
0,0.1,activities,0.03424002433569353,0.06848004867138704
0,0.1,nursery,0.014699000536009931,0.04508895869941698
0,0.1,higher,0.16046438483533124,1.7829376092814586
0,0.1,internet,0.19554634891565975,0.5145956550412099
0,0.1,romantic,0.08522845957220816,0.26305080114879065
0,0.1,famrel,0.0362788792011188,0.2418591946741254
0,0.1,freetime,0.06551870913961524,0.3211701428412512
0,0.1,goout,0.08137661842318583,0.3281315258999429
0,0.1,Walc,0.21440624152019833,0.6752952488825145
0,0.1,health,0.2502404617895183,0.5943953961746278
0,0.1,absences,0.07555623348042342,1.65887514959946
0,0.1,sex,0.07663035264897089,0.15326070529794178
0,0.1,age,0.06326133956589594,0.37784076532531774
0,0.1,Pstatus,0.042995387582779,0.1343605861961844
0,0.1,Medu,0.2899261988658518,1.2885608838482299
0,0.1,Fjob,0.005898002197524255,0.08869176236878583
0,0.1,reason,0.09262877488969923,0.2692696944468001
0,0.1,guardian,0.1199967020769535,0.479986808307814
0,0.1,traveltime,0.17400734938058365,0.7394080002007803
0,0.1,studytime,0.13111620696246037,0.7866972417747623
0,0.1,schoolsup,0.3467133141228646,1.3650130477278135
0,0.1,famsup,0.1378002485701228,0.2800818060368349
0,0.1,paid,0.17839545574570673,0.6463603469047344
0,0.1,activities,0.03424002433569353,0.06848004867138704
0,0.1,nursery,0.014699000536009931,0.04508895869941698
0,0.1,higher,0.16046438483533124,1.7829376092814586
0,0.1,internet,0.19554634891565975,0.5145956550412099
0,0.1,romantic,0.08522845957220816,0.26305080114879065
0,0.1,famrel,0.0362788792011188,0.2418591946741254
0,0.1,freetime,0.06551870913961524,0.3211701428412512
0,0.1,goout,0.08137661842318583,0.3281315258999429
0,0.1,Walc,0.21440624152019833,0.6752952488825145
0,0.1,health,0.2502404617895183,0.5943953961746278
0,0.1,absences,0.07555623348042342,1.65887514959946
0,0.1,sex,0.07663035264897089,0.15326070529794178
0,0.1,age,0.06326133956589594,0.37784076532531774
0,0.1,Pstatus,0.042995387582779,0.1343605861961844
0,0.1,Medu,0.2899261988658518,1.2885608838482299
0,0.1,Fjob,0.005898002197524255,0.08869176236878583
0,0.1,reason,0.09262877488969923,0.2692696944468001
0,0.1,guardian,0.1199967020769535,0.479986808307814
0,0.1,traveltime,0.17400734938058365,0.7394080002007803
0,0.1,studytime,0.13111620696246037,0.7866972417747623
0,0.1,schoolsup,0.3467133141228646,1.3650130477278135
0,0.1,famsup,0.1378002485701228,0.2800818060368349
0,0.1,paid,0.17839545574570673,0.6463603469047344
0,0.1,activities,0.03424002433569353,0.06848004867138704
0,0.1,nursery,0.014699000536009931,0.04508895869941698
0,0.1,higher,0.16046438483533124,1.7829376092814586
0,0.1,internet,0.19554634891565975,0.5145956550412099
0,0.1,romantic,0.08522845957220816,0.26305080114879065
0,0.1,famrel,0.0362788792011188,0.2418591946741254
0,0.1,freetime,0.06551870913961524,0.3211701428412512
0,0.1,goout,0.08137661842318583,0.3281315258999429
0,0.1,Walc,0.21440624152019833,0.6752952488825145
0,0.1,health,0.2502404617895183,0.5943953961746278
0,0.1,absences,0.07555623348042342,1.65887514959946
0,0.1,sex,0.07663035264897089,0.15326070529794178
0,0.1,age,0.06326133956589594,0.37784076532531774
0,0.1,Pstatus,0.042995387582779,0.1343605861961844
0,0.1,Medu,0.2899261988658518,1.2885608838482299
0,0.1,Fjob,0.005898002197524255,0.08869176236878583
0,0.1,reason,0.09262877488969923,0.2692696944468001
0,0.1,guardian,0.1199967020769535,0.479986808307814
0,0.1,traveltime,0.17400734938058365,0.7394080002007803
