"Swap 
 Percentage",Measurement,Feature,loan,default,duration,job,housing,campaign,balance,age,education,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,Hellinger distance,loan,-,1.6600000000000001,2.0,1.39,1.7999999999999998,2.19,1.5699999999999998,1.87,1.4,,1.0114112391317986,1.0114112391317986,4.403996920820037,13.884595571366773,[],"[0.859509106670602, 1.2425730194451199, 0.4157940853552039, 0.8593323051969088, 1.466914920086089, 0.7137430218781964, 0.8726948585451121, 0.35461004619924613]","[1.661376083579595, 2.0000857259936415, 1.3850767049851287, 1.7976505665727323, 2.190406292071623, 1.5757129200367763, 1.8721114968393826, 1.4021757812878939]"
50%,Wasserstein distance,loan,-,0.01,0.02,0.01,0.02,0.03,0.01,0.02,0.01,,0.01175654712548084,0.01175654712548084,0.0402849234613493,0.12815796491455472,[],"[0.00261561335419415, 0.0069474506645103296, 0.00192659020954088, 0.00759464232982336, 0.022981801723471466, 0.00497799641051601, 0.00836744176347436, 0.0016452162162063702]","[0.01005412428355414, 0.0126430168673811, 0.012966083825223549, 0.01667943981727535, 0.029071165594435736, 0.01313431638512278, 0.01984266526465059, 0.0137671528769115]"
50%,Total variation distance,loan,-,0.29000000000000004,0.36,0.26,0.37,0.53,0.26,0.42000000000000004,0.27,,0.23681568985517698,0.23681568985517698,0.8912365730735894,4.082385939747919,[],"[0.12036202573304944, 0.2724612519033183, 0.04042601322973662, 0.16257951010992283, 0.373890359914576, 0.12299733503061445, 0.18532637741656866, 0.03079889309903871]","[0.4090615177692495, 0.6372593886256115, 0.296811786290767, 0.5395723505505412, 0.909314740687245, 0.38778066845317405, 0.6020939325434544, 0.3004915548278759]"
50%,Jensen-Shannon divergence,loan,-,0.1,0.13,0.09,0.11,0.13,0.09,0.11,0.08,,0.060457110378654165,0.060457110378654165,0.2664119174663194,0.8405007519242036,[],"[0.053308600221218694, 0.07617656431005317, 0.025693414243043344, 0.05238082294675248, 0.0864291177321452, 0.04342053766403876, 0.052514075698363784, 0.02198648135971509]","[0.10142753698825496, 0.12355320466873299, 0.08382731557930785, 0.10885222204136315, 0.1295449136370629, 0.0961663468582028, 0.11233680716234035, 0.08479240498893871]"
50%,Hellinger distance,default,-,-,1.87,1.19,1.67,2.11,1.63,1.6,1.2,,0.8691411547117713,0.8691411547117713,3.8371621641381974,11.256151737783888,[],"[1.2553730808869443, 0.3665994486941804, 0.8709134816929233, 1.4805260247604888, 0.8932404440526472, 0.74895646307799, 0.3204330756876782]","[1.8618808461755787, 1.1827477345927044, 1.666440690570763, 2.1139831002718124, 1.6313489970192527, 1.6018712943694966, 1.1978790747842796]"
50%,Wasserstein distance,default,-,-,0.02,0.01,0.02,0.03,0.02,0.02,0.01,,0.01077188295977106,0.01077188295977106,0.03958189772638107,0.11599389456032992,[],"[0.00710239839277082, 0.0015187521743599398, 0.007679287484587049, 0.02459932756548489, 0.007509506077018081, 0.00798744520957617, 0.00122331262942308]","[0.012347703245018968, 0.010870518112592169, 0.01672163647208241, 0.030238593785173788, 0.015285980604816393, 0.018309343848389135, 0.01222011849225706]"
50%,Total variation distance,default,-,-,0.34,0.2,0.35,0.51,0.29000000000000004,0.33999999999999997,0.21,,0.1949085984534515,0.1949085984534515,0.7907328913251115,3.429074057352444,[],"[0.27492007321644135, 0.03134318920730046, 0.16629324039380963, 0.37472965440038214, 0.16705546465243745, 0.15261301652058437, 0.02469394735236479]","[0.6153019519688403, 0.2319854325539646, 0.5116571165895825, 0.884611882961881, 0.45108666297684186, 0.4934920345805437, 0.2409389757207902]"
50%,Jensen-Shannon divergence,default,-,-,0.12,0.07,0.1,0.13,0.1,0.1,0.07,,0.05192600633498037,0.05192600633498037,0.23149300353106153,0.6802736142094384,[],"[0.07694221946582835, 0.02274338294785493, 0.053062111199198306, 0.08679543043046167, 0.054631201794462056, 0.04507341595467675, 0.01988623259968026]","[0.1150102509144411, 0.07186043437811632, 0.10059415827505966, 0.12455131729633989, 0.09970327711032753, 0.09612732306492594, 0.07242685317022798]"
50%,Hellinger distance,duration,-,-,-,2.4299999999999997,2.15,2.7,2.46,2.75,1.9500000000000002,,1.417083573705617,1.417083573705617,5.179666210267655,14.443295990092455,[],"[1.137449019464479, 1.2023826338002737, 1.460106204218673, 1.208297847064941, 1.4540432166266242, 1.0628863519490852]","[2.426132658574761, 2.1483529701591926, 2.703181427068121, 2.455261015209767, 2.753851739473733, 1.9565161796068806]"
50%,Wasserstein distance,duration,-,-,-,0.03,0.02,0.03,0.03,0.02,0.01,,0.0196345404330627,0.0196345404330627,0.038288773621502736,0.11818127042222974,[],"[0.005427930362444189, 0.00812816368688711, 0.01105484357754772, 0.00547005146370638, 0.00253149707424451, 0.00469598021205017]","[0.02241831079361123, 0.017537312542444262, 0.026160654162376222, 0.02147581809819356, 0.01929687904880377, 0.0112922957768007]"
