"Swap 
 Percentage",Measurement,Feature,loan,default,duration,job,housing,campaign,balance,age,education,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,Total variation distance,duration,-,-,-,0.5,0.42000000000000004,0.66,0.45999999999999996,0.52,0.32999999999999996,,0.33392931313952345,0.33392931313952345,1.0277601029973051,4.2747985317282335,[],"[0.2107802489647522, 0.23298045067634998, 0.32877246157204076, 0.22047825931708392, 0.21760863308430434, 0.17704152610103233]","[0.713774125177904, 0.6513834712642436, 0.9831562858255615, 0.685327265013962, 0.7349280579887462, 0.5062293264578164]"
50%,Jensen-Shannon divergence,duration,-,-,-,0.15000000000000002,0.13,0.16,0.15000000000000002,0.16999999999999998,0.13,,0.08479669770173529,0.08479669770173529,0.31793108432944106,0.8836918888447607,[],"[0.07015458860299247, 0.07404752057272167, 0.08939204583097438, 0.07473811022422208, 0.09238545648216162, 0.06555105154233928]","[0.14763635152328874, 0.13138362665446543, 0.16298485467212584, 0.1505914611949431, 0.1704950617759517, 0.12060053302398593]"
50%,Hellinger distance,job,-,-,-,-,-,1.13,-,0.76,0.6699999999999999,,0.36043400060964015,0.36043400060964015,1.1625843088034815,2.5598797028670033,[],"[0.8488616923986116, 0.4101094134765105, 0.3453295105125606]","[1.1304475396217826, 0.7611720494950882, 0.6682601137501323]"
50%,Wasserstein distance,job,-,-,-,-,-,0.0,-,0.0,0.0,,0.0016733347271536002,0.0016733347271536002,0.0035296412515838553,0.00772042638976579,[],"[0.00187044133344876, 0.0008999812341736, 0.0009421904812381501]","[0.00289691179398374, 0.00258744447421695, 0.0022360701215651]"
50%,Total variation distance,job,-,-,-,-,-,0.13,-,0.06,0.05,,0.03216083470219111,0.03216083470219111,0.11533897222102597,0.41498300428058393,[],"[0.1119821637654221, 0.030167543524875794, 0.024206567747371833]","[0.24806158192824906, 0.09111675937046876, 0.0758046629818661]"
50%,Jensen-Shannon divergence,job,-,-,-,-,-,0.07,-,0.05,0.04,,0.022324281871405737,0.022324281871405737,0.0722337027151929,0.15865024198418223,[],"[0.05272046179636861, 0.02553799064083802, 0.02156038925036769]","[0.06984371031134487, 0.04729420321819383, 0.04151232845464353]"
50%,Hellinger distance,housing,-,-,-,1.55,-,-,-,2.45,1.72,,1.3112337725415408,1.3112337725415408,2.2076508620125237,5.719677624181958,[],"[0.29900979715344966, 1.1611242175846055, 0.33270016420391024]","[1.5474969123571003, 2.450476653429969, 1.7217040583948884]"
50%,Wasserstein distance,housing,-,-,-,0.01,-,-,-,0.02,0.01,,0.00606216459481289,0.00606216459481289,0.00968366006856634,0.026891659893459242,[],"[0.00064691463564849, 0.005302385555393621, 0.0012936907564647898]","[0.00669474924145201, 0.01102693913497755, 0.00916997151702968]"
50%,Total variation distance,housing,-,-,-,0.27,-,-,-,0.5,0.32999999999999996,,0.2739942369897818,0.2739942369897818,0.4092760273524758,1.361373012203915,[],"[0.01851601433812786, 0.2265008997332217, 0.02554666665403847]","[0.28813942144167737, 0.7193745169387724, 0.3538590738234653]"
50%,Jensen-Shannon divergence,housing,-,-,-,0.1,-,-,-,0.15000000000000002,0.11,,0.08052380866062801,0.08052380866062801,0.13587472635833514,0.35197276013589124,[],"[0.018651712652812256, 0.07138217446184865, 0.020667948280753377]","[0.09532607265484183, 0.15066144255224087, 0.10598524492880854]"
50%,Hellinger distance,campaign,-,-,-,-,1.5899999999999999,-,1.65,2.08,-,,1.0302724045629068,1.0302724045629068,2.5156408219288875,5.31509995950584,[],"[1.1517875042918397, 0.6957411146110276, 1.1232082158290941]","[1.5876859639709275, 1.6475994343881126, 2.0798145611467995]"
50%,Wasserstein distance,campaign,-,-,-,-,0.02,-,0.02,0.01,-,,0.01309089828134046,0.01309089828134046,0.024601002335729306,0.04594021962480701,[],"[0.015454905738876932, 0.00532924484059311, 0.00223605752930765]","[0.01674845798050946, 0.01650819770783897, 0.01268356393645858]"
50%,Total variation distance,campaign,-,-,-,-,0.29000000000000004,-,0.28,0.41000000000000003,-,,0.22834150767725933,0.22834150767725933,0.5223014395635739,1.5688541820624655,[],"[0.2634653050566196, 0.10586563259090079, 0.21858892612510875]","[0.560790082513666, 0.37938017242447397, 0.6286839271243254]"
50%,Jensen-Shannon divergence,campaign,-,-,-,-,0.1,-,0.1,0.13,-,,0.06122730284354975,0.06122730284354975,0.1513239848984674,0.32262798557231964,[],"[0.06892988710502852, 0.04266264511757572, 0.0686008318872311]","[0.09601891494635167, 0.10040820468657541, 0.1262008659393926]"
50%,Hellinger distance,balance,-,-,-,2.25,1.71,-,-,-,-,,0.8364427841746448,0.8364427841746448,2.139480731957738,3.965364314310878,[],"[1.4140299033002584, 1.1920459922659274]","[2.251809115905756, 1.713555198405122]"
50%,Wasserstein distance,balance,-,-,-,0.02,0.01,-,-,-,-,,0.007468014588629749,0.007468014588629749,0.0177492339396617,0.03059052219715456,[],"[0.0068071603239536, 0.0137552783781103]","[0.0148943865817814, 0.01569613561537316]"
50%,Total variation distance,balance,-,-,-,0.43000000000000005,0.32,-,-,-,-,,0.1546774531895072,0.1546774531895072,0.42087802400152474,1.280644528394386,[],"[0.2718908355984798, 0.2605103060255553]","[0.70201560937206, 0.5786289190223259]"
50%,Jensen-Shannon divergence,balance,-,-,-,0.14,0.1,-,-,-,-,,0.051047244251946,0.051047244251946,0.13128685931938844,0.24348773348144492,[],"[0.08824153518052805, 0.07223769495435683]","[0.1392570953488999, 0.10423063813254503]"
50%,Hellinger distance,age,-,-,-,-,-,-,-,-,0.56,,0.21264038157980777,0.21264038157980777,0.3816187211838166,0.5611414003294335,[],[0.3379566792080177],[0.5611414003294335]
50%,Wasserstein distance,age,-,-,-,-,-,-,-,-,0.0,,0.00047801468610295003,0.00047801468610295003,0.000674913520149695,0.0009984023186176399,[],[0.00039379766809348997],[0.0009984023186176399]
50%,Total variation distance,age,-,-,-,-,-,-,-,-,0.03,,0.01142539327684906,0.01142539327684906,0.022910207896674854,0.058429417759668506,[],[0.022969629239651592],[0.058429417759668506]
50%,Jensen-Shannon divergence,age,-,-,-,-,-,-,-,-,0.03,,0.013308205694189529,0.013308205694189529,0.023849456537637075,0.035036266749788644,[],[0.021082501686895093],[0.035036266749788644]
50%,Hellinger distance,education,-,-,-,-,-,1.46,-,-,-,,0.859509106670602,0.859509106670602,1.2596086756803346,1.4560296510725488,[],[0.8001991380194653],[1.4560296510725488]
50%,Wasserstein distance,education,-,-,-,-,-,0.0,-,-,-,,0.00261561335419415,0.00261561335419415,0.004647764458168845,0.00586437800661392,[],[0.00406430220794939],[0.00586437800661392]
50%,Total variation distance,education,-,-,-,-,-,0.21,-,-,-,,0.12036202573304944,0.12036202573304944,0.18054303859957405,0.33546890494244586,[],[0.12036202573304919],[0.33546890494244586]
50%,Jensen-Shannon divergence,education,-,-,-,-,-,0.09,-,-,-,,0.053308600221218694,0.053308600221218694,0.07801981148845903,0.08919172752863458,[],[0.04942242253448068],[0.08919172752863458]
