"Swap 
 Percentage",Measurement,Feature,age,campaign,loan,housing,balance,default,job,duration,education,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,"Hellinger
 distance",job,0.3511/0.4101,0.2816/0.8489,-,-,-,-,-,-,0.3229/0.3453,,0.36043400060964015,0.36043400060964015,1.1625843088034815,2.5598797028670033,[],"[0.4101094134765105, 0.8488616923986116, 0.3453295105125606]","[0.7611720494950882, 1.1304475396217826, 0.6682601137501323]"
50%,"Wasserstein
 distance",job,0.0017/0.0009,0.001/0.0019,-,-,-,-,-,-,0.0013/0.0009,,0.0016733347271536002,0.0016733347271536002,0.0035296412515838553,0.00772042638976579,[],"[0.0008999812341736, 0.00187044133344876, 0.0009421904812381501]","[0.00258744447421695, 0.00289691179398374, 0.0022360701215651]"
50%,"Total variation
 distance",job,0.0308/0.0302,0.0241/0.112,-,-,-,-,-,-,0.0274/0.0242,,0.03216083470219111,0.03216083470219111,0.11533897222102597,0.41498300428058393,[],"[0.030167543524875794, 0.1119821637654221, 0.024206567747371833]","[0.09111675937046876, 0.24806158192824906, 0.0758046629818661]"
50%,"Jensen-Shannon
 divergence",job,0.0218/0.0255,0.0171/0.0527,-,-,-,-,-,-,0.02/0.0216,,0.022324281871405737,0.022324281871405737,0.0722337027151929,0.15865024198418223,[],"[0.02553799064083802, 0.05272046179636861, 0.02156038925036769]","[0.04729420321819383, 0.06984371031134487, 0.04151232845464353]"
70%,"Hellinger
 distance",job,0.4055/0.4902,0.3281/1.0084,-,-,-,-,-,-,0.3578/0.4323,,0.40386317965056795,0.40386317965056795,1.3692647434222225,3.0222160675903247,[],"[0.49015253258493885, 1.0083630194997055, 0.43228757545866464]","[0.895673261036906, 1.3364263510428018, 0.790116455510617]"
70%,"Wasserstein
 distance",job,0.0022/0.0011,0.0013/0.0029,-,-,-,-,-,-,0.0016/0.0017,,0.0020952005371644403,0.0020952005371644403,0.00494989678795491,0.010800089616520372,[],"[0.00109689895660658, 0.0029109269765562303, 0.0017015665684181301]","[0.0032905709472449904, 0.004176713290450881, 0.0033328053788245]"
70%,"Total variation
 distance",job,0.04/0.0402,0.0382/0.1564,-,-,-,-,-,-,0.0305/0.0395,,0.0398725355830577,0.0398725355830577,0.15798102554466115,0.5811348422866645,[],"[0.040235151735412124, 0.15643372739351669, 0.039548100794278104]","[0.12048668771941654, 0.35106795606461466, 0.10958019850263327]"
70%,"Jensen-Shannon
 divergence",job,0.0251/0.0306,0.0197/0.0626,-,-,-,-,-,-,0.0222/0.0269,,0.025004209682325428,0.025004209682325428,0.08503727213606985,0.18710751502899614,[],"[0.030572092744830515, 0.06261015347592752, 0.02688387868673081]","[0.05568803933435874, 0.08230786471084416, 0.04911161098379324]"
10%,"Hellinger
 distance",education,-,0.283/0.3514,-,-,-,-,-,-,-,,0.3840080550740328,0.3840080550740328,0.5597200038146586,0.6344394488117157,[],[0.35142389748125147],[0.6344394488117157]
10%,"Wasserstein
 distance",education,-,0.0003/0.0008,-,-,-,-,-,-,-,,0.0004358809925832399,0.0004358809925832399,0.0008296156993893549,0.00109683599531915,[],[0.00078746941361223],[0.00109683599531915]
