"Swap 
 Percentage",Measurement,Feature,age,campaign,loan,housing,balance,default,job,duration,education,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Total variation
 distance",housing,0.0589/0.0521,-,-,-,-,-,0.0577/0.0056,-,0.0716/0.0055,,0.06101648004403058,0.06101648004403058,0.09263150253699626,0.31457952488657126,[],"[0.052051359259048025, 0.00563238724811693, 0.0055462984787664]","[0.16297110514036936, 0.06892090618452199, 0.08268751356167989]"
10%,"Jensen-Shannon
 divergence",housing,0.0358/0.0334,-,-,-,-,-,0.0353/0.0089,-,0.0376/0.0092,,0.036905588350467186,0.036905588350467186,0.06263040862664611,0.16016141660674726,[],"[0.03335729218730005, 0.00885259668927736, 0.00923975167578044]","[0.06915848291996284, 0.04415318380637904, 0.046849749880405384]"
30%,"Hellinger
 distance",housing,1.0115/0.9164,-,-,-,-,-,0.9974/0.2327,-,1.0707/0.2726,,1.0325747886815504,1.0325747886815504,1.7434126614055323,4.501238332375408,[],"[0.9164181823262894, 0.2327031084380628, 0.27255445468361167]","[1.9278752615716754, 1.2300929245929437, 1.343270146210789]"
30%,"Wasserstein
 distance",housing,0.0033/0.0033,-,-,-,-,-,0.0035/0.0004,-,0.0044/0.0008,,0.0036568545327502595,0.0036568545327502595,0.005942217046211,0.015752284491465093,[],"[0.00333323351557877, 0.00040783803518088, 0.0008296534761618301]","[0.0066384870350425906, 0.00392410001319497, 0.00518969744322753]"
30%,"Total variation
 distance",housing,0.1675/0.1443,-,-,-,-,-,0.1651/0.0117,-,0.1891/0.0169,,0.17482029707679297,0.17482029707679297,0.26130074853500607,0.8676130361889227,[],"[0.14431218617614944, 0.011740131965473641, 0.01690858477480315]","[0.4561060405247251, 0.18859067687243916, 0.22291631879175844]"
30%,"Jensen-Shannon
 divergence",housing,0.0624/0.0564,-,-,-,-,-,0.0614/0.0145,-,0.066/0.017,,0.06361071653682877,0.06361071653682877,0.1075399960399964,0.27760072058445795,[],"[0.05643833243098736, 0.01445301011708286, 0.01696721645826501]","[0.11882422031755166, 0.0758432796572347, 0.08293322060967159]"
50%,"Hellinger
 distance",housing,1.2894/1.1611,-,-,-,-,-,1.2485/0.299,-,1.389/0.3327,,1.3112337725415408,1.3112337725415408,2.2076508620125237,5.719677624181958,[],"[1.1611242175846055, 0.29900979715344966, 0.33270016420391024]","[2.450476653429969, 1.5474969123571003, 1.7217040583948884]"
50%,"Wasserstein
 distance",housing,0.0057/0.0053,-,-,-,-,-,0.006/0.0006,-,0.0079/0.0013,,0.00606216459481289,0.00606216459481289,0.00968366006856634,0.026891659893459242,[],"[0.005302385555393621, 0.00064691463564849, 0.0012936907564647898]","[0.01102693913497755, 0.00669474924145201, 0.00916997151702968]"
50%,"Total variation
 distance",housing,0.2664/0.2265,-,-,-,-,-,0.2511/0.0185,-,0.3028/0.0255,,0.2739942369897818,0.2739942369897818,0.4092760273524758,1.361373012203915,[],"[0.2265008997332217, 0.01851601433812786, 0.02554666665403847]","[0.7193745169387724, 0.28813942144167737, 0.3538590738234653]"
50%,"Jensen-Shannon
 divergence",housing,0.0793/0.0714,-,-,-,-,-,0.0767/0.0187,-,0.0853/0.0207,,0.08052380866062801,0.08052380866062801,0.13587472635833514,0.35197276013589124,[],"[0.07138217446184865, 0.018651712652812256, 0.020667948280753377]","[0.15066144255224087, 0.09532607265484183, 0.10598524492880854]"
70%,"Hellinger
 distance",housing,1.5306/1.3989,-,-,-,-,-,1.4982/0.3602,-,1.6467/0.3918,,1.5598113155330537,1.5598113155330537,2.635260678124977,6.826384125659984,[],"[1.398906408728044, 0.3602023842126398, 0.3917899322431628]","[2.9294650560477153, 1.8584506554485487, 2.0384684141637193]"
70%,"Wasserstein
 distance",housing,0.0085/0.0074,-,-,-,-,-,0.0085/0.001,-,0.0113/0.002,,0.00857986055486212,0.00857986055486212,0.013776590773890865,0.03864950402146035,[],"[0.007440412360239091, 0.0009984400953900999, 0.0019546079824283]","[0.015893468882302912, 0.00947945142905394, 0.013276583710103498]"
70%,"Total variation
 distance",housing,0.3693/0.32,-,-,-,-,-,0.3498/0.026,-,0.4042/0.0363,,0.38023799831347416,0.38023799831347416,0.5713644307379271,1.8878388656124967,[],"[0.31997085791651203, 0.025987419559584328, 0.03629458737280946]","[1.0092708821782534, 0.40179495087152706, 0.4767730325627163]"
70%,"Jensen-Shannon
 divergence",housing,0.0937/0.0856,-,-,-,-,-,0.0917/0.0225,-,0.1008/0.0243,,0.09538943905205813,0.09538943905205813,0.16162369654916403,0.41877000019399446,[],"[0.08564866956206478, 0.02249807219223976, 0.024321773239907297]","[0.1793900406728158, 0.11423299719224375, 0.1251469623289349]"
10%,"Hellinger
 distance",loan,0.426/0.3766,0.3192/0.6525,-,0.4104/0.3614,0.3789/0.3072,0.3761/0.384,0.4159/0.1666,0.3164/0.5615,0.4633/0.1433,,0.4361905564973571,0.4361905564973571,1.9127658283264024,6.059348552650116,[],"[0.3765794777787918, 0.6525089316070647, 0.36144163626583614, 0.30720254316993467, 0.3840080550740328, 0.16659448127472337, 0.5614740845412926, 0.14334133394641452]","[0.8025772122781646, 0.9717116619066877, 0.7718603500156618, 0.686130508575432, 0.7600600046258862, 0.5825029315906027, 0.8778843662063361, 0.6066215174513445]"
10%,"Wasserstein
 distance",loan,0.0022/0.0017,0.0013/0.0043,-,0.0018/0.0014,0.0017/0.0009,0.0018/0.0004,0.0021/0.0003,0.0011/0.0015,0.0024/0.0003,,0.00232032491634701,0.00232032491634701,0.007826302090636537,0.025412044455338782,[],"[0.0017296221180779906, 0.00434610433803813, 0.0014486133002103402, 0.0008858904980562701, 0.0004358809925832399, 0.00028127325527464, 0.00154708475368429, 0.00033748509265415]","[0.0038812107842266506, 0.005682016933824941, 0.0032909109381968997, 0.0025452478194098603, 0.0022498082744730197, 0.0023907030433886595, 0.00262998111997589, 0.00274216554184286]"
10%,"Total variation
 distance",loan,0.0451/0.0355,0.0283/0.103,-,0.0453/0.0343,0.0336/0.0212,0.0328/0.023,0.0443/0.0069,0.0239/0.0601,0.0492/0.0062,,0.047591940771849084,0.047591940771849084,0.19268429610075868,0.8826818574398957,[],"[0.035455862589369426, 0.10295377578153415, 0.03428739401994776, 0.02124937739437376, 0.02302837034443502, 0.006860422709139899, 0.06011461386406548, 0.006234893954953719]","[0.11598621684116137, 0.23416356017007833, 0.11383339906548107, 0.076062525884926, 0.07880910142326814, 0.0580501697001371, 0.14412053425147098, 0.061656350103372656]"
10%,"Jensen-Shannon
 divergence",loan,0.0263/0.0232,0.0196/0.0399,-,0.0253/0.0223,0.0234/0.0191,0.0233/0.0238,0.0256/0.0103,0.0196/0.0347,0.0286/0.0089,,0.02687327076629064,0.02687327076629064,0.11803715377757223,0.37411267602220616,[],"[0.023242446480458527, 0.03993847168015481, 0.02226845631944615, 0.01907847963651479, 0.0238380076257126, 0.01032610545536288, 0.034718920364053565, 0.008916878460859859]","[0.04951771094352296, 0.059578530609990424, 0.04752032642774762, 0.04252222610094156, 0.04716676606121938, 0.035948049541328075, 0.05431253430356328, 0.037546532033892854]"
30%,"Hellinger
 distance",loan,0.7721/0.6751,0.5748/1.1609,-,0.7304/0.6535,0.6799/0.5574,0.6422/0.6678,0.7638/0.3099,0.5921/0.978,0.8298/0.2782,,0.7891491474331864,0.7891491474331864,3.429528676458826,10.865931689573273,[],"[0.6750719858252178, 1.1609198652298578, 0.6535333256812442, 0.557356315849624, 0.6677949820059195, 0.30992981077256987, 0.9779724295461178, 0.27818034314072826]","[1.447201325549779, 1.7357441010673944, 1.3839158658877606, 1.237222082940431, 1.3100190078567866, 1.0737082516707122, 1.5701171369053202, 1.108003917695088]"
30%,"Wasserstein
 distance",loan,0.0067/0.0049,0.0036/0.0148,-,0.0057/0.0046,0.005/0.0029,0.0048/0.0016,0.0068/0.0012,0.0035/0.0043,0.0076/0.0008,,0.007143965434704009,0.007143965434704009,0.024730620738073722,0.07875384191832464,[],"[0.00493606419311597, 0.014767758840587819, 0.004641128338478221, 0.00289687401721134, 0.00158904215559931, 0.00118120412041837, 0.004317545098079181, 0.00084369384324922]","[0.011658088264264281, 0.01832561304505007, 0.01032262898974661, 0.00786111968256194, 0.00634192677919024, 0.008001699645040631, 0.007847419306426451, 0.00839534620604443]"
30%,"Total variation
 distance",loan,0.142/0.1111,0.0912/0.2679,-,0.1366/0.1027,0.0967/0.0735,0.1021/0.0741,0.1397/0.0229,0.065/0.174,0.1552/0.0178,,0.14845120678742835,0.14845120678742835,0.5704833242487206,2.6166825158201696,[],"[0.11110692674648046, 0.2679353614646806, 0.10273090162013843, 0.07353020457742664, 0.07411454084092146, 0.022892176577243774, 0.1739963584722533, 0.017757764623439778]","[0.3642413166262598, 0.6270556790181072, 0.3420998079397248, 0.24376061067487426, 0.250367822828672, 0.18548417741069295, 0.4129760410607979, 0.19069706026104058]"
30%,"Jensen-Shannon
 divergence",loan,0.047/0.0412,0.0348/0.0696,-,0.0444/0.04,0.0419/0.0342,0.0391/0.0414,0.0465/0.0193,0.0369/0.0602,0.0505/0.0173,,0.04794680555331458,0.04794680555331458,0.20958381620711705,0.6643140352626243,[],"[0.041207749656226006, 0.06962303323948424, 0.04002433678446542, 0.03423161135395049, 0.04141624653873907, 0.01925275598715535, 0.06019717122736695, 0.01732111652021744]","[0.08819172287907984, 0.1044596152305806, 0.08437784471899984, 0.07608518043026513, 0.0805361757565535, 0.06572246713558316, 0.09711325456401504, 0.06782777454754725]"
50%,"Hellinger
 distance",loan,0.9994/0.8727,0.7235/1.4669,-,0.9383/0.8593,0.862/0.7137,0.8019/0.8595,0.9693/0.4158,0.7575/1.2426,1.0476/0.3546,,1.0114112391317986,1.0114112391317986,4.403996920820038,13.884595571366773,[],"[0.8726948585451121, 1.466914920086089, 0.8593323051969088, 0.7137430218781964, 0.859509106670602, 0.4157940853552039, 1.2425730194451199, 0.35461004619924613]","[1.8721114968393826, 2.190406292071623, 1.7976505665727323, 1.5757129200367763, 1.661376083579595, 1.3850767049851287, 2.0000857259936415, 1.4021757812878939]"
50%,"Wasserstein
 distance",loan,0.0115/0.0084,0.0061/0.023,-,0.0091/0.0076,0.0082/0.005,0.0074/0.0026,0.011/0.0019,0.0057/0.0069,0.0121/0.0016,,0.01175654712548084,0.01175654712548084,0.040284923461349306,0.12815796491455472,[],"[0.00836744176347436, 0.022981801723471466, 0.00759464232982336, 0.00497799641051601, 0.00261561335419415, 0.00192659020954088, 0.0069474506645103296, 0.0016452162162063702]","[0.01984266526465059, 0.029071165594435736, 0.01667943981727535, 0.01313431638512278, 0.01005412428355414, 0.012966083825223549, 0.0126430168673811, 0.0137671528769115]"
50%,"Total variation
 distance",loan,0.2314/0.1853,0.1615/0.3739,-,0.2144/0.1626,0.1418/0.123,0.1683/0.1204,0.216/0.0404,0.0923/0.2725,0.2389/0.0308,,0.23681568985517698,0.23681568985517698,0.8912365730735895,4.082385939747919,[],"[0.18532637741656866, 0.373890359914576, 0.16257951010992283, 0.12299733503061445, 0.12036202573304944, 0.04042601322973662, 0.2724612519033183, 0.03079889309903871]","[0.6020939325434544, 0.909314740687245, 0.5395723505505412, 0.38778066845317405, 0.4090615177692495, 0.296811786290767, 0.6372593886256115, 0.3004915548278759]"
50%,"Jensen-Shannon
 divergence",loan,0.0598/0.0525,0.0431/0.0864,-,0.0565/0.0524,0.0527/0.0434,0.0481/0.0533,0.0581/0.0257,0.0474/0.0762,0.0628/0.022,,0.060457110378654165,0.060457110378654165,0.2664119174663194,0.8405007519242036,[],"[0.052514075698363784, 0.0864291177321452, 0.05238082294675248, 0.04342053766403876, 0.053308600221218694, 0.025693414243043344, 0.07617656431005317, 0.02198648135971509]","[0.11233680716234035, 0.1295449136370629, 0.10885222204136315, 0.0961663468582028, 0.10142753698825496, 0.08382731557930785, 0.12355320466873299, 0.08479240498893871]"
70%,"Hellinger
 distance",loan,1.1854/1.0362,0.8705/1.7526,-,1.1082/0.9958,1.029/0.8471,0.9618/1.0131,1.1414/0.4873,0.8856/1.4637,1.2454/0.3952,,1.1998400936453104,1.1998400936453104,5.195309186989078,16.418095797746908,[],"[1.036177358065776, 1.7526153355195753, 0.9958051721629687, 0.847088633917892, 1.0130680393721645, 0.4872671017322948, 1.4636974317423626, 0.39521911417450223]","[2.2215608417010158, 2.6230740161222963, 2.1039676003573993, 1.8760520455962553, 1.9748366516977425, 1.628703430690627, 2.349324511926512, 1.6405766996550617]"
70%,"Wasserstein
 distance",loan,0.0159/0.0116,0.0082/0.0337,-,0.0131/0.0095,0.0117/0.0062,0.0107/0.0037,0.0154/0.0026,0.0086/0.0097,0.0169/0.0019,,0.01642539102266706,0.01642539102266706,0.055951549121324044,0.1794461162900518,[],"[0.011643997528147019, 0.033670689114208445, 0.00953562548966106, 0.00624345532571632, 0.00371247453402833, 0.00264369408836894, 0.00968996878956264, 0.00191241132762121]","[0.02752076907703482, 0.04188320833393726, 0.02258625373158852, 0.01797173283316017, 0.014371253837136591, 0.01801453391632616, 0.018254605305134487, 0.01884375925573378]"
70%,"Total variation
 distance",loan,0.3231/0.2664,0.251/0.4674,-,0.3022/0.2017,0.1981/0.1743,0.2698/0.1648,0.298/0.0554,0.1157/0.376,0.3287/0.036,,0.3324280666453387,0.3324280666453387,1.2033728187669075,5.5702198854776945,[],"[0.2663607132649469, 0.467350548477609, 0.2017118709626775, 0.1742916429003523, 0.16481896040552363, 0.05540935643045097, 0.3759924548614214, 0.03595395694015598]","[0.855824460748083, 1.1856552217097633, 0.7056079015550082, 0.5466403810528204, 0.5994540914067572, 0.4087882261921192, 0.8676781094806, 0.4005714933325431]"
70%,"Jensen-Shannon
 divergence",loan,0.07/0.0616,0.0511/0.1005,-,0.0658/0.0606,0.0624/0.0512,0.0567/0.0628,0.0675/0.03,0.0555/0.0892,0.0736/0.0245,,0.07063230357213356,0.07063230357213356,0.3108736540089712,0.9831727388465875,[],"[0.061603972292966644, 0.10051581398715523, 0.060614599496804075, 0.05117519745277292, 0.0628011858078921, 0.030016905636631265, 0.0892287696447485, 0.024526256554704633]","[0.13157779083433488, 0.15166572185043875, 0.12642327218046773, 0.11354591012059172, 0.11954320277960473, 0.09747043967193822, 0.1447754841139782, 0.09817091729523325]"
10%,"Hellinger
 distance",duration,0.6048/0.6428,0.5374/0.6559,-,0.37/0.5362,0.5319/0.5412,-,0.5348/0.5067,-,0.3817/0.4654,,0.6583991300989767,0.6583991300989767,2.3325078496132874,6.308854036879929,[],"[0.6428059873778155, 0.655947949502034, 0.5361829140270806, 0.5411624948263706, 0.5067252985913827, 0.46539279470393813]","[1.2476541334331448, 1.1933732250907352, 0.9062004842520391, 1.0730298006322894, 1.0415278927160698, 0.8470685007556509]"
10%,"Wasserstein
 distance",duration,0.0034/0.0016,0.0026/0.0018,-,0.0012/0.0019,0.0027/0.001,-,0.0028/0.001,-,0.0008/0.0009,,0.00475389200418915,0.00475389200418915,0.008803927184416464,0.0215882165884372,[],"[0.00156109993625674, 0.0018002143134968, 0.0018562624515291001, 0.0009561301102657401, 0.00104054860439482, 0.0008858149445114299]","[0.00496478713242207, 0.0044021776605853505, 0.0030236276809797, 0.00369878675015028, 0.00381137412425649, 0.0016874632400433098]"
10%,"Total variation
 distance",duration,0.0842/0.0694,0.0708/0.0746,-,0.0301/0.057,0.0643/0.0483,-,0.0702/0.0453,-,0.0292/0.0374,,0.10525316231002879,0.10525316231002879,0.27125532882962033,1.012777290176758,[],"[0.06938264800335679, 0.07462180083283802, 0.057042000393651725, 0.048259186362042086, 0.045264978139877544, 0.03743371930741691]","[0.22293206718199882, 0.220006518512053, 0.1442286754240444, 0.160866310550405, 0.16070442770007903, 0.10403929080817778]"
10%,"Jensen-Shannon
 divergence",duration,0.0372/0.0399,0.0329/0.0406,-,0.0228/0.0331,0.0328/0.0336,-,0.0329/0.0314,-,0.0236/0.0289,,0.04029337006951947,0.04029337006951947,0.14398326923313853,0.3896754806268414,[],"[0.03990745849623312, 0.040553431335399626, 0.03312700411115374, 0.03357804434489342, 0.03136244993343439, 0.028851410106123843]","[0.07712579910269796, 0.07346947232980386, 0.0559720858508648, 0.06639947280891097, 0.06422035555469277, 0.052488294979870995]"
30%,"Hellinger
 distance",duration,1.0043/1.1287,0.9234/1.1273,-,0.7135/0.9578,0.9798/0.9447,-,1.0055/0.8851,-,0.6943/0.8074,,1.0879052310687534,1.0879052310687534,4.013426046151001,11.171859372080078,[],"[1.1287151074679422, 1.1272727348163967, 0.9577893109602403, 0.9447160747940042, 0.8851222360289471, 0.8074261660969642]","[2.1330059521059686, 2.050664194703659, 1.6712806938669165, 1.9245258650857835, 1.8906330014947677, 1.501749664822984]"
30%,"Wasserstein
 distance",duration,0.0092/0.0021,0.0083/0.0061,-,0.0053/0.006,0.0094/0.003,-,0.0095/0.0032,-,0.0034/0.0024,,0.010773721429362778,0.010773721429362778,0.02211555514707986,0.06780323704817573,[],"[0.00208126090813689, 0.00606190015740587, 0.0059626479839683, 0.00298129251134044, 0.00320629096794822, 0.0023902749066344498]","[0.01126566315223581, 0.01436005932023908, 0.01125086724969974, 0.0123905546972149, 0.01275625903887614, 0.00577983358991006]"
30%,"Total variation
 distance",duration,0.2002/0.158,0.1994/0.2094,-,0.1123/0.165,0.1777/0.1407,-,0.2018/0.1325,-,0.0967/0.101,,0.22658366427439097,0.22658366427439097,0.6798180354814543,2.8009402059925517,[],"[0.15798654984389854, 0.20935235211498765, 0.1649597384311325, 0.14065635391616788, 0.13247930043860695, 0.10103444766933319]","[0.5161265156230334, 0.6180587844268393, 0.442214029488468, 0.4589910906190105, 0.46679662724956855, 0.29875315858563184]"
30%,"Jensen-Shannon
 divergence",duration,0.0613/0.0708,0.0557/0.0694,-,0.0437/0.059,0.0601/0.0586,-,0.0613/0.0547,-,0.0429/0.05,,0.0662050299865828,0.0662050299865828,0.24746486605564721,0.6873857276950308,[],"[0.07083350777547691, 0.0694082574328077, 0.05896290471324772, 0.058551140897880785, 0.054725978670696784, 0.05003788264801893]","[0.13209524537443407, 0.1250675349095976, 0.10261865842290588, 0.11863611647243756, 0.11603356986698109, 0.09293460264867459]"
50%,"Hellinger
 distance",duration,1.2998/1.454,1.2431/1.4601,-,0.946/1.2024,1.247/1.2083,-,1.2887/1.1374,-,0.8936/1.0629,,1.417083573705617,1.417083573705617,5.179666210267655,14.443295990092457,[],"[1.4540432166266242, 1.460106204218673, 1.2023826338002737, 1.208297847064941, 1.137449019464479, 1.0628863519490852]","[2.753851739473733, 2.703181427068121, 2.1483529701591926, 2.455261015209767, 2.426132658574761, 1.9565161796068806]"
50%,"Wasserstein
 distance",duration,0.0168/0.0025,0.0151/0.0111,-,0.0094/0.0081,0.016/0.0055,-,0.017/0.0054,-,0.0066/0.0047,,0.0196345404330627,0.0196345404330627,0.038288773621502736,0.11818127042222974,[],"[0.00253149707424451, 0.01105484357754772, 0.00812816368688711, 0.00547005146370638, 0.005427930362444189, 0.00469598021205017]","[0.01929687904880377, 0.026160654162376222, 0.017537312542444262, 0.02147581809819356, 0.02241831079361123, 0.0112922957768007]"
50%,"Total variation
 distance",duration,0.2997/0.2176,0.3256/0.3288,-,0.1854/0.233,0.2444/0.2205,-,0.2922/0.2108,-,0.1521/0.177,,0.33392931313952345,0.33392931313952345,1.0277601029973051,4.2747985317282335,[],"[0.21760863308430434, 0.32877246157204076, 0.23298045067634998, 0.22047825931708392, 0.2107802489647522, 0.17704152610103233]","[0.7349280579887462, 0.9831562858255615, 0.6513834712642436, 0.685327265013962, 0.713774125177904, 0.5062293264578164]"
50%,"Jensen-Shannon
 divergence",duration,0.0781/0.0924,0.0736/0.0894,-,0.0573/0.074,0.0759/0.0747,-,0.0775/0.0702,-,0.055/0.0656,,0.08479669770173529,0.08479669770173529,0.31793108432944106,0.8836918888447607,[],"[0.09238545648216162, 0.08939204583097438, 0.07404752057272167, 0.07473811022422208, 0.07015458860299247, 0.06555105154233928]","[0.1704950617759517, 0.16298485467212584, 0.13138362665446543, 0.1505914611949431, 0.14763635152328874, 0.12060053302398593]"
70%,"Hellinger
 distance",duration,1.5464/1.7393,1.4778/1.7233,-,1.0912/1.4622,1.4932/1.4338,-,1.471/1.3395,-,1.0616/1.2578,,1.6964897000436985,1.6964897000436985,6.174520816002978,17.09720187891037,[],"[1.7393470141810283, 1.7232803281714877, 1.4622264727376701, 1.433849200123281, 1.3395266778051504, 1.2578325388999416]","[3.285725185284133, 3.201083539733017, 2.553409191519434, 2.9270457314768072, 2.8105451612536947, 2.3193930696432816]"
70%,"Wasserstein
 distance",duration,0.0216/0.0045,0.0207/0.0133,-,0.0123/0.0121,0.0228/0.0075,-,0.0205/0.0078,-,0.0081/0.0058,,0.028227950256970676,0.028227950256970676,0.053821984313503525,0.1571385669932127,[],"[0.0045286291101743195, 0.013347515896474229, 0.012135536298780818, 0.007522853869944212, 0.00780464340777545, 0.00584888952991667]","[0.026118268623707003, 0.034092756400338875, 0.024385762878666627, 0.03030827933805423, 0.02829719508083933, 0.013936304671606638]"
70%,"Total variation
 distance",duration,0.3703/0.2801,0.4368/0.4256,-,0.2313/0.3202,0.307/0.2879,-,0.3423/0.2836,-,0.1967/0.2395,,0.418258770003047,0.418258770003047,1.3367372177585843,5.558315946196527,[],"[0.28009599045924005, 0.42559323562683754, 0.3202290456038409, 0.28793848611416833, 0.2835862773153923, 0.23951386039159567]","[0.9305411966067169, 1.2880022486811662, 0.8717498127496234, 0.8828367788157367, 0.9094603450373224, 0.6757255643059608]"
70%,"Jensen-Shannon
 divergence",duration,0.0926/0.1117,0.0863/0.1054,-,0.0657/0.0897,0.0899/0.0887,-,0.0883/0.0825,-,0.0654/0.0774,,0.09997901346813655,0.09997901346813655,0.3776897715121158,1.0435534981117414,[],"[0.1116950949183347, 0.10542954314838038, 0.0896636669863677, 0.08872525548762125, 0.08246429552869401, 0.07744366001856051]","[0.20431185391231854, 0.19168994549450571, 0.1554111432099899, 0.17859863653703556, 0.1707157067633397, 0.14282621219455194]"
10%,"Hellinger
 distance",campaign,0.4428/0.4927,-,-,0.2175/0.4927,0.4519/0.3028,-,-,-,-,,0.49696754860671516,0.49696754860671516,1.141086077126878,2.400385328225086,[],"[0.4926870805214324, 0.49270545720171166, 0.3028445193171817]","[0.9354675641809114, 0.7101645315701851, 0.7547532324739896]"
10%,"Wasserstein
 distance",campaign,0.0023/0.0005,-,-,0.0004/0.0026,0.0026/0.0011,-,-,-,-,,0.00312167099769949,0.00312167099769949,0.005209895424221395,0.0095478777561864,[],"[0.00047807764739032997, 0.00261568890773898, 0.0010826822979145]","[0.002812291823735, 0.00302343879711753, 0.0037121471353338703]"
10%,"Total variation
 distance",campaign,0.0439/0.0356,-,-,0.0095/0.0571,0.0464/0.0203,-,-,-,-,,0.05558095239128472,0.05558095239128472,0.11205509428373955,0.32570212105124186,[],"[0.03556935928702202, 0.057053729756073215, 0.02032519474181444]","[0.11499348423756667, 0.12364293325398022, 0.08706570355969492]"
10%,"Jensen-Shannon
 divergence",campaign,0.0274/0.0307,-,-,0.0136/0.0304,0.028/0.0189,-,-,-,-,,0.030715182184801255,0.030715182184801255,0.07072030432135397,0.14901118501248584,[],"[0.03069122080792318, 0.030437342610312758, 0.01888168085486949]","[0.05812024627752425, 0.04398855604207254, 0.046902382692889044]"
30%,"Hellinger
 distance",campaign,0.7654/0.8408,-,-,0.3389/0.8932,0.7765/0.5386,-,-,-,-,,0.8407224109543948,0.8407224109543948,1.977079010842342,4.153408317464932,[],"[0.8408381030906437, 0.8932410613736064, 0.5386340353116438]","[1.606202205474896, 1.232108396496258, 1.3150977154937786]"
30%,"Wasserstein
 distance",campaign,0.0068/0.0021,-,-,0.001/0.0098,0.0074/0.0037,-,-,-,-,,0.0085635032123989,0.0085635032123989,0.016318703121188976,0.03075306305667391,[],"[0.00209508720684717, 0.00975952841986829, 0.00365578419086469]","[0.00891495311859557, 0.010757741854623769, 0.01108036808345457]"
30%,"Total variation
 distance",campaign,0.1272/0.1213,-,-,0.0221/0.1751,0.1216/0.0646,-,-,-,-,,0.15861057384461044,0.15861057384461044,0.33909838479676213,0.9929098830423464,[],"[0.12131887145797393, 0.17508438654873432, 0.06457236389759514]","[0.3698728824685551, 0.372281847648799, 0.2507551529249923]"
30%,"Jensen-Shannon
 divergence",campaign,0.0467/0.0517,-,-,0.0211/0.0541,0.0475/0.0333,-,-,-,-,,0.050876325787562106,0.050876325787562106,0.12043515250548123,0.25447025714519855,[],"[0.0517273964150982, 0.05413155738147467, 0.03325869963926539]","[0.09841766013922212, 0.07525137897028067, 0.08080121803569577]"
50%,"Hellinger
 distance",campaign,0.9566/1.1232,-,-,0.4359/1.1518,0.9519/0.6957,-,-,-,-,,1.0302724045629068,1.0302724045629068,2.515640821928888,5.31509995950584,[],"[1.1232082158290941, 1.1517875042918397, 0.6957411146110276]","[2.0798145611467995, 1.5876859639709275, 1.6475994343881126]"
50%,"Wasserstein
 distance",campaign,0.0104/0.0022,-,-,0.0013/0.0155,0.0112/0.0053,-,-,-,-,,0.01309089828134046,0.01309089828134046,0.024601002335729306,0.04594021962480701,[],"[0.00223605752930765, 0.015454905738876932, 0.00532924484059311]","[0.01268356393645858, 0.01674845798050946, 0.01650819770783897]"
50%,"Total variation
 distance",campaign,0.1915/0.2186,-,-,0.0339/0.2635,0.1676/0.1059,-,-,-,-,,0.22834150767725933,0.22834150767725933,0.5223014395635739,1.5688541820624655,[],"[0.21858892612510875, 0.2634653050566196, 0.10586563259090079]","[0.6286839271243254, 0.560790082513666, 0.37938017242447397]"
50%,"Jensen-Shannon
 divergence",campaign,0.0576/0.0686,-,-,0.0271/0.0689,0.0577/0.0427,-,-,-,-,,0.06122730284354975,0.06122730284354975,0.1513239848984674,0.32262798557231964,[],"[0.0686008318872311, 0.06892988710502852, 0.04266264511757572]","[0.1262008659393926, 0.09601891494635167, 0.10040820468657541]"
70%,"Hellinger
 distance",campaign,1.1366/1.3259,-,-,0.5259/1.3347,1.1515/0.8306,-,-,-,-,,1.2306085044235933,1.2306085044235933,2.976245404878372,6.305295965382962,[],"[1.3259273140952148, 1.3347240378114618, 0.8306224490028808]","[2.4624950317994467, 1.8606596427412443, 1.9821412908422715]"
70%,"Wasserstein
 distance",campaign,0.0156/0.0034,-,-,0.0023/0.0205,0.0157/0.0075,-,-,-,-,,0.018392540893542978,0.018392540893542978,0.03407828160036848,0.0650481392579037,[],"[0.0033602313156105104, 0.02050294028548281, 0.00750830981255768]","[0.01895405483897912, 0.022850892614735448, 0.023243191804189142]"
70%,"Total variation
 distance",campaign,0.2762/0.3357,-,-,0.0524/0.3337,0.2335/0.1463,-,-,-,-,,0.32942729093356016,0.32942729093356016,0.7372964956203125,2.1935528915875118,[],"[0.3356955431022736, 0.3337041021611588, 0.14633876411007235]","[0.9475738060928078, 0.7197906122206896, 0.5261884732740143]"
70%,"Jensen-Shannon
 divergence",campaign,0.0669/0.0802,-,-,0.0325/0.0788,0.0689/0.0505,-,-,-,-,,0.07173147120201732,0.07173147120201732,0.17646569448026905,0.37780592635757293,[],"[0.08016436291661302, 0.07878429642195356, 0.05051978721793687]","[0.1470914342024619, 0.11129563068333811, 0.11941886147177291]"
