Fold,Feature,Droped_Attrib,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,sex,['thal'],0.9333333333333333,0.6666666666666666,0.2,0.1,0.0,0.602,0.27,0.587,3.429,3.643,0.1,0.351,0.818,0.909,0.0,0.474,0.3,0.633,1.0,0.526,0.818,0.909,0.9,0.666,0.933,0.667
0,cp,['thal'],0.9333333333333333,0.6666666666666666,-1.0,-0.5,0.0,0.267,0.474,0.426,0,2.171,-0.5,-0.11649999999999999,0.818,0.909,0.0,0.474,0.3,0.633,1.0,0.526,0.818,0.909,0.9,0.666,0.933,0.667
0,trestbps,['thal'],0.9333333333333333,0.6666666666666666,-0.5,0.1,0.0,-0.038,0.143,0.081,0,1.141,-0.25,0.031000000000000003,0.818,0.909,0.0,0.474,0.3,0.633,1.0,0.526,0.818,0.909,0.9,0.666,0.933,0.667
0,chol,['thal'],0.9333333333333333,0.6666666666666666,1.0,0.167,0.0,0.267,1.0,0.116,0.0,1.203,0.5,0.21700000000000003,0.818,0.909,0.0,0.474,0.3,0.633,1.0,0.526,0.818,0.909,0.9,0.666,0.933,0.667
0,fbs,['thal'],0.9333333333333333,0.6666666666666666,0.222,0.111,0.0,0.167,0.12,0.04,0.7,1.067,0.111,0.139,0.818,0.909,0.0,0.474,0.3,0.633,1.0,0.526,0.818,0.909,0.9,0.666,0.933,0.667
0,restecg,['thal'],0.9333333333333333,0.6666666666666666,0.9,0.0,0.0,0.5,0.6,0.467,0.0,0,0.45,0.25,0.818,0.909,0.0,0.474,0.3,0.633,1.0,0.526,0.818,0.909,0.9,0.666,0.933,0.667
0,thalach,['thal'],0.9333333333333333,0.6666666666666666,1.0,0.25,0.0,-0.038,1.0,0.24,0.0,0.688,0.5,0.106,0.818,0.909,0.0,0.474,0.3,0.633,1.0,0.526,0.818,0.909,0.9,0.666,0.933,0.667
0,exang,['thal'],0.9333333333333333,0.6666666666666666,0.4,0.2,0.0,-0.588,0.614,0.5,0.182,0.5,0.2,-0.19399999999999998,0.818,0.909,0.0,0.474,0.3,0.633,1.0,0.526,0.818,0.909,0.9,0.666,0.933,0.667
0,oldpeak,['thal'],0.9333333333333333,0.6666666666666666,-1.0,0.25,0.0,-0.282,0.25,0.376,0,0.556,-0.5,-0.015999999999999986,0.818,0.909,0.0,0.474,0.3,0.633,1.0,0.526,0.818,0.909,0.9,0.666,0.933,0.667
0,ca,['thal'],0.9333333333333333,0.6666666666666666,0.333,0.167,0.0,0.474,0.84,0.44,0.16,0.56,0.1665,0.3205,0.818,0.909,0.0,0.474,0.3,0.633,1.0,0.526,0.818,0.909,0.9,0.666,0.933,0.667
0,age,['restecg'],0.9,0.8,-0.208,-0.333,0.1,0.289,0.278,0.417,2.667,2.667,-0.05399999999999999,-0.02200000000000002,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,sex,['restecg'],0.9,0.8,0.2,0.1,0.091,0.239,0.317,0.397,3.857,2.786,0.14550000000000002,0.16949999999999998,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,cp,['restecg'],0.9,0.8,-1.0,-0.5,0.1,0.289,0.526,0.502,0,3.763,-0.45,-0.10550000000000001,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,trestbps,['restecg'],0.9,0.8,-0.5,0.1,0.0,0.141,0.143,0.28,0,1.978,-0.25,0.1205,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
0,chol,['restecg'],0.9,0.8,1.0,0.167,0.0,0.078,1.0,0.0,0.0,1.0,0.5,0.1225,0.818,0.909,0.053,0.263,0.333,0.5,0.9,0.667,0.818,0.909,0.857,0.769,0.9,0.8
