Fold,Feature,Droped_Attrib,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,age,None,0.9,0.8666666666666667,-0.208,-0.208,0.1,-0.011,0.278,0.194,2.667,1.778,-0.05399999999999999,-0.1095,0.818,0.818,0.053,0.105,0.333,0.367,0.9,0.818,0.818,0.818,0.857,0.818,0.9,0.867
0,sex,None,0.9,0.7333333333333333,0.2,0.1,0.091,-0.011,0.317,0.175,3.857,1.393,0.14550000000000002,0.044500000000000005,0.818,0.909,0.053,0.368,0.333,0.567,0.9,0.588,0.818,0.909,0.857,0.714,0.9,0.733
0,cp,None,0.9,0.6666666666666666,-1.0,-0.5,0.1,-0.156,0.526,0.139,0,1.254,-0.45,-0.328,0.818,0.909,0.053,0.474,0.333,0.633,0.9,0.526,0.818,0.909,0.857,0.666,0.9,0.667
0,trestbps,None,0.9,0.7333333333333333,-0.5,0.1,0.0,-0.192,0.143,0.006,0,0.989,-0.25,-0.046,0.818,0.909,0.053,0.368,0.333,0.567,0.9,0.588,0.818,0.909,0.857,0.714,0.9,0.733
0,chol,None,0.9,0.7,1.0,0.167,0.0,0.167,1.0,0.054,0.0,1.094,0.5,0.167,0.818,0.909,0.053,0.421,0.333,0.6,0.9,0.556,0.818,0.909,0.857,0.69,0.9,0.7
0,fbs,None,0.9,0.7,0.222,0.111,0.062,0.104,0.08,0.0,0.8,1.0,0.14200000000000002,0.1075,0.818,0.909,0.053,0.421,0.333,0.6,0.9,0.556,0.818,0.909,0.857,0.69,0.9,0.7
0,restecg,None,0.9,0.6666666666666666,0.9,1.0,0.071,0.1,0.533,0.333,0.111,0.583,0.4855,0.55,0.818,0.909,0.053,0.474,0.333,0.633,0.9,0.526,0.818,0.909,0.857,0.666,0.9,0.667
0,thalach,None,0.9,0.7333333333333333,1.0,0.25,0.0,-0.192,1.0,0.357,0.0,0.535,0.5,0.028999999999999998,0.818,0.909,0.053,0.368,0.333,0.567,0.9,0.588,0.818,0.909,0.857,0.714,0.9,0.733
0,exang,None,0.9,0.7333333333333333,0.4,0.2,0.059,-0.147,0.568,0.42,0.242,0.519,0.2295,0.02650000000000001,0.818,0.909,0.053,0.368,0.333,0.567,0.9,0.588,0.818,0.909,0.857,0.714,0.9,0.733
0,oldpeak,None,0.9,0.8,-1.0,0.107,0.0,-0.179,0.25,0.321,0,0.478,-0.5,-0.036,0.818,0.818,0.053,0.211,0.333,0.433,0.9,0.692,0.818,0.818,0.857,0.75,0.9,0.8
0,ca,None,0.9,0.7333333333333333,0.333,0.167,0.053,0.368,0.8,0.52,0.2,0.48,0.193,0.2675,0.818,0.909,0.053,0.368,0.333,0.567,0.9,0.588,0.818,0.909,0.857,0.714,0.9,0.733
0,thal,None,0.9,0.7,0.107,-0.286,0.059,0.412,0.476,0.032,0.286,0.943,0.08299999999999999,0.063,0.818,0.818,0.053,0.368,0.333,0.533,0.9,0.562,0.818,0.818,0.857,0.666,0.9,0.7
0,age,['ca'],0.8666666666666667,0.7666666666666667,-0.208,-0.083,0.2,-0.022,0.333,0.111,3.0,1.333,-0.00399999999999999,-0.052500000000000005,0.818,0.727,0.105,0.211,0.367,0.4,0.818,0.667,0.818,0.727,0.818,0.696,0.867,0.767
0,sex,['ca'],0.8666666666666667,0.7,0.2,0.1,0.182,-0.136,0.365,0.063,4.286,1.114,0.191,-0.018000000000000002,0.818,0.909,0.105,0.421,0.367,0.6,0.818,0.556,0.818,0.909,0.818,0.69,0.867,0.7
0,cp,['ca'],0.8666666666666667,0.6,-1.0,-0.5,-0.011,-0.378,0.435,0.043,5.789,0.941,-0.5055,-0.439,0.818,0.909,0.105,0.579,0.367,0.7,0.818,0.476,0.818,0.909,0.818,0.625,0.867,0.6
0,trestbps,['ca'],0.8666666666666667,0.6,-0.5,0.1,-1.0,-0.128,0.857,0.019,0.143,0.974,-0.75,-0.013999999999999999,0.818,0.909,0.105,0.579,0.367,0.7,0.818,0.476,0.818,0.909,0.818,0.625,0.867,0.6
0,chol,['ca'],0.8666666666666667,0.6333333333333333,1.0,0.167,1.0,0.367,0.0,0.179,1.0,1.312,1.0,0.267,0.818,0.909,0.105,0.526,0.367,0.667,0.818,0.5,0.818,0.909,0.818,0.645,0.867,0.633
0,fbs,['ca'],0.8666666666666667,0.6,0.222,0.111,-0.271,-0.104,0.28,0.12,0.533,0.85,-0.024500000000000008,0.003500000000000003,0.818,0.909,0.105,0.579,0.367,0.7,0.818,0.476,0.818,0.909,0.818,0.625,0.867,0.6
