Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
age,['oldpeak'],fairSMOTE,0.1647,0.1809,0.0162,0.3228,0.2175,-0.1053,2.4844,1.7156,-0.7688,0.0276,0.0907,0.0631,0.1236,0.4337,0.3101,0.431,0.6414,0.2104,83.48,69.22,-0.1426,85.35,66.71,-0.1864,78.77,86.55,0.0778,81.21,73.23,-0.0798,0.2926778439576853,0.05077981815541646,5.76,292.62,325.55,0.6744240722352938,0.12
age,['restecg'],fairSMOTE,0.1647,0.1888,0.0241,0.3293,0.234,-0.0953,2.368,1.6814,-0.6866,0.0154,0.1034,0.088,0.1242,0.3956,0.2714,0.4345,0.6317,0.1972,83.83,72.0,-0.1183,85.29,68.68,-0.1661,79.5,88.63,0.0913,81.65,75.48,-0.0617,0.3307981107910616,0.05939400697646028,5.57,301.67,327.19,0.6744240722352938,0.12
age,['thal'],fairSMOTE,0.1303,0.1562,0.0259,0.3196,0.308,-0.0116,2.449,1.9378,-0.5112,-0.0289,0.0164,0.0453,0.1241,0.2857,0.1616,0.4108,0.5458,0.135,81.45,76.34,-0.0511,84.97,71.83,-0.1314,75.05,84.34,0.0929,78.82,76.46,-0.0236,0.35359970859181405,0.012694092312041431,27.86,306.18,317.15,0.7527138062630524,0.09
ca,None,fairSMOTE,-0.1582,0.0883,0.2465,0.5182,0.2616,-0.2566,0.4317,0.6478,0.2161,0.0474,0.032,-0.0155,0.1236,0.453,0.3294,0.4377,0.6418,0.2041,84.17,67.08,-0.171,85.32,63.69,-0.2163,80.16,84.65,0.0449,81.96,70.37,-0.1159,0.2544740070091163,0.006480063318724855,39.27,284.14,329.86,0.6744240722352938,0.12
ca,['age'],fairSMOTE,-0.1656,0.0896,0.2552,0.523,0.2556,-0.2674,0.4263,0.6617,0.2354,0.0437,0.0353,-0.0084,0.1179,0.4638,0.3459,0.4343,0.6425,0.2082,84.51,65.96,-0.1855,85.98,62.39,-0.2359,80.16,83.7,0.0354,82.31,68.87,-0.1344,0.2371910563317206,0.0071672355527635625,33.09,279.23,331.18,0.5995101785600032,0.16
ca,['oldpeak'],fairSMOTE,-0.2644,0.1494,0.4138,0.5263,0.2265,-0.2998,0.4236,0.7116,0.288,-0.0178,0.0632,0.081,0.1236,0.4386,0.315,0.431,0.6175,0.1865,83.48,66.44,-0.1704,85.35,63.9,-0.2145,78.77,81.21,0.0244,81.21,68.81,-0.124,0.23726770261845365,0.01453169110238997,16.33,278.46,326.7,0.5995101785600032,0.16
ca,['restecg'],fairSMOTE,-0.2638,0.0593,0.3231,0.5517,0.2231,-0.3286,0.3933,0.8265,0.4332,0.0002,-0.0099,-0.0101,0.1242,0.3674,0.2432,0.4345,0.5833,0.1487,83.83,70.18,-0.1365,85.29,67.97,-0.1732,79.5,81.71,0.0221,81.65,71.99,-0.0966,0.28061235657278816,0.0025163131674814506,111.52,290.34,328.14,0.7527138062630524,0.09
ca,['thal'],fairSMOTE,-0.2656,-0.0005,0.2651,0.5832,0.3114,-0.2718,0.3552,0.7505,0.3953,0.0335,0.0087,-0.0248,0.1241,0.3395,0.2154,0.4108,0.5582,0.1474,81.45,72.31,-0.0914,84.97,67.13,-0.1784,75.05,80.7,0.0565,78.82,72.38,-0.0644,0.2835254323354713,0.0016858247314212426,168.18,291.11,318.13,0.5995101785600032,0.16
chol,None,fairSMOTE,0.1,0.0256,-0.0744,0.35,0.1241,-0.2259,0.0,0.975,0.975,0.1,0.0211,-0.0789,0.1236,0.3777,0.2541,0.4377,0.6122,0.1745,84.17,71.67,-0.125,85.32,69.62,-0.157,80.16,86.32,0.0616,81.96,74.83,-0.0713,0.32231705710658415,0.002796681128804911,115.25,300.82,330.94,0.9163591402734885,-0.03
chol,['age'],fairSMOTE,0.1,0.0465,-0.0535,0.35,0.1108,-0.2392,0.0,1.0399,1.0399,0.1,0.0131,-0.0869,0.1179,0.3919,0.274,0.4343,0.6213,0.187,84.51,70.94,-0.1357,85.98,68.53,-0.1745,80.16,86.3,0.0614,82.31,74.07,-0.0824,0.31076607159435643,0.0026276295492894566,118.27,298.17,332.29,0.9163591402734885,-0.03
