ID,ID2,Feature,Feature2,swap_proportion,Type,P_a_b,P_a_not_b,P_b_not_a,P_a_b_over_P_a_not_b,P_b_a_over_P_b_not_a,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
F_0,F_0,sex,sex,50.0,CDI,0,0,0,0,0,0.6056826056826057,0.6056826056826057,0.017498267498267498,0.06999306999306999,0.6248181202033201,0.0028283163222034176,0.6857379523043496,0.03662597114317433,0.00538231692242137,0.03562156750635928,2.772,39.432,0.02772002772002772,1.0,0.295,0.372,-0.472,-0.475,0.379,0.429,0.584,0.523,-0.0885,-0.05149999999999999,0.688,0.704,0.501,0.521,0.606,0.624,0.639,0.635,0.688,0.704,0.663,0.668,0.606,0.606
F_0,F_1,sex,age,50.0,NII,0.022872192958136955,0.0020792902689215414,0.005406154699196007,11.0,4.230769230769231,0.6056826056826057,0.9812889812889813,0.0,0.0,0.5133404681599991,0.00010878139700780901,0.6925675945096916,0.015521064301552166,0.0035309236700389623,0.029514908434453323,3.812,1.871,0.018711018711018712,1.0,0.295,0.021,-0.472,0.007,0.379,0.425,0.584,0.527,-0.0885,0.014,0.688,0.986,0.501,0.026,0.606,0.625,0.639,0.984,0.688,0.986,0.663,0.985,0.606,0.981
F_0,F_1,sex,age,50.0,NDI,0.022872192958136955,0.0020792902689215414,0.005406154699196007,11.0,4.230769230769231,0.6056826056826057,0.988911988911989,0.017498267498267498,0.06999306999306999,0.395169676637472,0.0006526883820469412,0.698638370145584,0.012222222222222223,0.002142152070120067,0.02268418288713514,3.257,1.109,0.011088011088011088,1.0,0.295,0.003,-0.472,-0.06,0.379,0.427,0.584,0.525,-0.0885,-0.028499999999999998,0.688,0.994,0.501,0.02,0.606,0.624,0.639,0.988,0.688,0.994,0.663,0.991,0.606,0.989
F_1,F_1,age,age,50.0,CDI,0,0,0,0,0,0.6056826056826057,0.5987525987525988,0.0,0.02931037546422162,0.6248181202033201,0.0015229395581095352,0.6856345453359453,0.030371203599550072,0.0052984238869152565,0.03573662739958819,2.772,40.125,0.02772002772002772,1.0,0.133,0.354,0.5,-0.47,0.323,0.415,0.677,0.53,0.3165,-0.057999999999999996,0.688,0.691,0.501,0.52,0.606,0.616,0.639,0.631,0.688,0.691,0.663,0.66,0.606,0.599
F_2,F_2,race,race,50.0,CDI,0,0,0,0,0,0.6056826056826057,0.6056826056826057,0.015419265419265419,0.061677061677061676,0.34222697877333275,0.0006526883820469412,0.7008683620932105,0.010215664018161312,0.0016109442185417277,0.019572945173982642,0.832,39.432,0.008316008316008316,1.0,0.248,0.387,-0.348,-0.467,0.301,0.436,0.627,0.511,-0.04999999999999999,-0.04000000000000001,0.688,0.692,0.501,0.506,0.606,0.611,0.639,0.638,0.688,0.692,0.663,0.664,0.606,0.606
F_2,F_0,race,sex,50.0,NII,0.5450512891599667,0.11477682284446909,0.26157471583032993,4.748792270531401,2.0837307896131425,0.6056826056826057,0.9743589743589743,0.017498267498267498,0.0,0.6009308255401197,0.0029370977192112267,0.6873568663259939,0.03524229074889842,0.00501121513995864,0.034264646663830715,2.841,2.564,0.02564102564102564,1.0,0.248,0.012,-0.348,-0.036,0.301,0.422,0.627,0.532,-0.04999999999999999,-0.011999999999999999,0.688,0.994,0.501,0.057,0.606,0.629,0.639,0.965,0.688,0.994,0.663,0.979,0.606,0.974
F_2,F_0,race,sex,50.0,NDI,0.5450512891599667,0.11477682284446909,0.26157471583032993,4.748792270531401,2.0837307896131425,0.6056826056826057,0.9896049896049897,0.015419265419265419,0.061677061677061676,0.3826213941357748,0.0007614697790547502,0.6991380632480563,0.012114537444933935,0.002026777794015636,0.02198558817278357,2.841,1.04,0.010395010395010396,1.0,0.248,0.009,-0.348,0.022,0.301,0.422,0.627,0.532,-0.04999999999999999,0.0155,0.688,0.996,0.501,0.02,0.606,0.629,0.639,0.988,0.688,0.996,0.663,0.992,0.606,0.99
F_2,F_1,race,age,50.0,NII,0.019406709176601054,0.001247574161352925,0.00887163848073191,15.555555555555555,2.1875,0.6056826056826057,0.9757449757449758,0.0,0.0,0.5844638337122402,0.0007614697790547676,0.6881666957221139,0.023307436182019827,0.0044828702623391165,0.033563595842096186,3.257,2.426,0.024255024255024255,1.0,0.248,0.03,-0.348,0.007,0.301,0.428,0.627,0.522,-0.04999999999999999,0.0185,0.688,0.977,0.501,0.026,0.606,0.62,0.639,0.984,0.688,0.977,0.663,0.98,0.606,0.976
F_2,F_1,race,age,50.0,NDI,0.019406709176601054,0.001247574161352925,0.00887163848073191,15.555555555555555,2.1875,0.6056826056826057,0.997920997920998,0.015419265419265419,0.061677061677061676,0.17111348938666637,0.00010878139700782644,0.7055433434015432,0.0022371364653244012,0.00040070015159753984,0.009823067082124748,3.119,0.208,0.002079002079002079,1.0,0.248,0.002,-0.348,0.004,0.301,0.413,0.627,0.534,-0.04999999999999999,0.003,0.688,0.999,0.501,0.004,0.606,0.62,0.639,0.998,0.688,0.999,0.663,0.998,0.606,0.998
F_3,F_3,priors_count,priors_count,50.0,CDI,0,0,0,0,0,0.6056826056826057,0.6036036036036037,0.014553014553014554,0.058212058212058215,0.47379179806882055,0.000979032573070403,0.6949975250579967,0.01809954751131226,0.003059728306062384,0.027099776383747,1.594,39.64,0.01593901593901594,1.0,0.209,0.387,-0.241,-0.468,0.232,0.436,0.689,0.512,-0.016,-0.04050000000000001,0.688,0.692,0.501,0.51,0.606,0.613,0.639,0.636,0.688,0.692,0.663,0.663,0.606,0.604
F_3,F_0,priors_count,sex,50.0,NII,0.4950097033545883,0.11616301635708345,0.31161630163570836,4.261336515513126,1.5885231316725978,0.6056826056826057,0.9764379764379765,0.017498267498267498,0.0,0.5760538436936681,0.0021756279401564764,0.6889170157484058,0.02986725663716828,0.004583418370911729,0.03293732519338566,2.841,2.356,0.02356202356202356,1.0,0.209,0.012,-0.241,-0.027,0.232,0.423,0.689,0.529,-0.016,-0.0075,0.688,0.992,0.501,0.048,0.606,0.626,0.639,0.97,0.688,0.992,0.663,0.981,0.606,0.976
F_3,F_0,priors_count,sex,50.0,NDI,0.4950097033545883,0.11616301635708345,0.31161630163570836,4.261336515513126,1.5885231316725978,0.6056826056826057,0.9868329868329868,0.014553014553014554,0.058212058212058215,0.4306261715035966,0.00032634419102346186,0.6969622002832654,0.012168141592920366,0.002508786949302102,0.024759794525092638,2.841,1.317,0.013167013167013167,1.0,0.209,0.014,-0.241,0.022,0.232,0.423,0.689,0.529,-0.016,0.018,0.688,0.991,0.501,0.02,0.606,0.626,0.639,0.988,0.688,0.991,0.663,0.989,0.606,0.987
F_3,F_1,priors_count,age,50.0,NII,0.018990851122816746,0.0018020515663986693,0.009287496534516219,10.538461538461538,2.044776119402985,0.6056826056826057,0.9715869715869716,0.0,0.0,0.6325801335939746,0.0007614697790547676,0.6847668738549564,0.026637069922308396,0.005265136516732277,0.03632939911730351,3.119,2.841,0.028413028413028413,1.0,0.209,0.037,-0.241,0.013,0.232,0.428,0.689,0.522,-0.016,0.024999999999999998,0.688,0.973,0.501,0.031,0.606,0.62,0.639,0.981,0.688,0.973,0.663,0.977,0.606,0.972
F_3,F_1,priors_count,age,50.0,NDI,0.018990851122816746,0.0018020515663986693,0.009287496534516219,10.538461538461538,2.044776119402985,0.6056826056826057,0.9868329868329868,0.014553014553014554,0.058212058212058215,0.4306261715035966,0.0009790325730704205,0.6970430033734012,0.015555555555555593,0.0025576851695223017,0.02469505392414134,3.257,1.317,0.013167013167013167,1.0,0.209,0.007,-0.241,0.008,0.232,0.415,0.689,0.534,-0.016,0.0075,0.688,0.994,0.501,0.025,0.606,0.624,0.639,0.984,0.688,0.994,0.663,0.989,0.606,0.987
F_3,F_2,priors_count,race,50.0,NII,0.4135015248128639,0.19767119489880788,0.24632658719157194,2.091865357643759,1.6786719189645471,0.6056826056826057,0.9715869715869716,0.015419265419265419,0.0,0.6325801335939746,0.00010878139700782644,0.6848621127692467,0.023569023569023493,0.005315358211017319,0.036298742208395296,1.871,2.841,0.028413028413028413,1.0,0.209,0.022,-0.241,-0.079,0.232,0.426,0.689,0.522,-0.016,-0.0285,0.688,0.976,0.501,0.036,0.606,0.617,0.639,0.978,0.688,0.976,0.663,0.977,0.606,0.972
F_3,F_2,priors_count,race,50.0,NDI,0.4135015248128639,0.19767119489880788,0.24632658719157194,2.091865357643759,1.6786719189645471,0.6056826056826057,0.9840609840609841,0.014553014553014554,0.058212058212058215,0.4737917980688205,0.000979032573070403,0.6949490521298308,0.017977528089887562,0.003066300684677358,0.027128912091411373,1.871,1.594,0.01593901593901594,1.0,0.209,0.003,-0.241,-0.028,0.232,0.426,0.689,0.522,-0.016,-0.0125,0.688,0.992,0.501,0.028,0.606,0.617,0.639,0.982,0.688,0.992,0.663,0.987,0.606,0.984
F_3,F_4,priors_count,c_charge_degree,50.0,NII,0.391599667313557,0.21957305239811478,0.2551982256723039,1.783459595959596,1.5344921238457359,0.6056826056826057,0.975051975051975,0.01334026334026334,0.0,0.592754514956208,0.0010878139700782295,0.6877842394770013,0.02581369248035905,0.004758016004933546,0.03395267677289646,2.218,2.495,0.02494802494802495,1.0,0.209,-0.019,-0.241,0.045,0.232,0.392,0.689,0.55,-0.016,0.013,0.688,0.985,0.501,0.041,0.606,0.617,0.639,0.974,0.688,0.985,0.663,0.979,0.606,0.975
F_3,F_4,priors_count,c_charge_degree,50.0,NDI,0.391599667313557,0.21957305239811478,0.2551982256723039,1.783459595959596,1.5344921238457359,0.6056826056826057,0.9882189882189882,0.014553014553014554,0.058212058212058215,0.4073315792043682,0.00032634419102346186,0.698135660239691,0.011223344556677832,0.002237520748262258,0.02336510921304258,2.218,1.178,0.01178101178101178,1.0,0.209,0.002,-0.241,0.003,0.232,0.392,0.689,0.55,-0.016,0.0025,0.688,0.992,0.501,0.018,0.606,0.617,0.639,0.989,0.688,0.992,0.663,0.99,0.606,0.988
F_4,F_4,c_charge_degree,c_charge_degree,50.0,CDI,0,0,0,0,0,0.6056826056826057,0.604989604989605,0.01334026334026334,0.05336105336105336,0.49396209579684003,0.0014141581611017088,0.6939296784737391,0.02139639639639642,0.0033527584787114424,0.02823100525767361,1.733,39.501,0.017325017325017324,1.0,0.378,0.356,-0.474,-0.428,0.433,0.401,0.511,0.541,-0.04799999999999999,-0.036000000000000004,0.688,0.696,0.501,0.512,0.606,0.615,0.639,0.636,0.688,0.696,0.663,0.665,0.606,0.605
F_4,F_0,c_charge_degree,sex,50.0,NII,0.5318824507901303,0.11491544219573052,0.27474355420016633,4.628468033775634,1.935923309788093,0.6056826056826057,0.9799029799029799,0.017498267498267498,0.0,0.5320134588687091,0.001849283749132997,0.6916291662403261,0.025414364640883938,0.00391924813690253,0.03045247349359323,2.772,2.01,0.020097020097020097,1.0,0.378,0.005,-0.474,-0.11,0.433,0.404,0.511,0.545,-0.04799999999999999,-0.0525,0.688,0.993,0.501,0.041,0.606,0.627,0.639,0.975,0.688,0.993,0.663,0.984,0.606,0.98
F_4,F_0,c_charge_degree,sex,50.0,NDI,0.5318824507901303,0.11491544219573052,0.27474355420016633,4.628468033775634,1.935923309788093,0.6056826056826057,0.9875259875259875,0.01334026334026334,0.05336105336105336,0.4191407371044775,0.0004351255880312883,0.6975061795697648,0.012154696132596678,0.0023885683935772496,0.02409801106984408,2.772,1.247,0.012474012474012475,1.0,0.378,-0.015,-0.474,0.022,0.433,0.404,0.511,0.545,-0.04799999999999999,0.0034999999999999996,0.688,0.992,0.501,0.02,0.606,0.627,0.639,0.988,0.688,0.992,0.663,0.99,0.606,0.988
F_4,F_1,c_charge_degree,age,50.0,NII,0.01885223177155531,0.0009703354588300526,0.009426115885777655,19.42857142857143,2.0,0.6056826056826057,0.9778239778239778,0.0,0.0,0.5588543161393034,0.00021756279401565287,0.6897992694384982,0.018867924528301924,0.004150070222635605,0.03212204416879226,3.326,2.218,0.022176022176022176,1.0,0.378,-0.006,-0.474,0.009,0.433,0.404,0.511,0.542,-0.04799999999999999,0.0014999999999999996,0.688,0.981,0.501,0.028,0.606,0.623,0.639,0.983,0.688,0.981,0.663,0.982,0.606,0.978
F_4,F_1,c_charge_degree,age,50.0,NDI,0.01885223177155531,0.0009703354588300526,0.009426115885777655,19.42857142857143,2.0,0.6056826056826057,0.9868329868329868,0.01334026334026334,0.05336105336105336,0.4306261715035966,0.0007614697790547676,0.6969933102925792,0.01438053097345138,0.0025446159720429297,0.024732209382664995,3.119,1.317,0.013167013167013167,1.0,0.378,-0.013,-0.474,0.026,0.433,0.405,0.511,0.544,-0.04799999999999999,0.0065,0.688,0.993,0.501,0.024,0.606,0.626,0.639,0.986,0.688,0.993,0.663,0.989,0.606,0.987
