Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
Fjob,None,FairSmote,-0.0089,0.035,0.0439,0.0845,0.0826,-0.0019,0.8668,1.0324,0.1656,0.0455,0.0517,0.0062,0.198,0.3688,0.1708,0.313,0.4643,0.1513,68.41,63.21,-0.052,60.66,49.84,-0.1082,50.02,59.41,0.0939,54.03,53.81,-0.0022,0.10070689057782001,0.004061907063239168,24.79,224.52,231.89,0.9163591402734885,0.03
Fjob,['Medu'],FairSmote,-0.0685,0.0494,0.1179,0.1297,0.1205,-0.0092,0.7069,1.0582,0.3513,0.0625,0.0718,0.0093,0.2092,0.4117,0.2025,0.3027,0.5044,0.2017,65.63,61.29,-0.0434,56.94,47.81,-0.0913,45.42,61.96,0.1654,49.66,53.65,0.0399,0.09740586063903586,0.008040250530552132,12.11,222.75,216.27,0.8336348830246822,-0.06
Fjob,['Pstatus'],FairSmote,-0.0159,0.0332,0.0491,0.0944,0.1286,0.0342,0.8318,1.0588,0.227,0.0534,0.0438,-0.0096,0.1937,0.3724,0.1787,0.3102,0.4766,0.1664,68.7,63.88,-0.0482,61.17,49.98,-0.1119,49.95,61.64,0.1169,54.26,54.85,0.0059,0.1079429901525231,0.004647073603780608,23.23,228.55,232.84,0.8336348830246822,-0.06
Fjob,['age'],FairSmote,-0.0133,0.0436,0.0569,0.0834,0.096,0.0126,0.82,1.0734,0.2534,0.0575,0.0273,-0.0302,0.2025,0.3629,0.1604,0.3177,0.4826,0.1649,68.5,65.03,-0.0347,60.4,52.44,-0.0796,50.27,65.43,0.1516,54.32,57.68,0.0336,0.12870045337630154,0.0034725466834813253,37.06,238.84,232.28,0.8336348830246822,-0.06
Fjob,['higher'],FairSmote,-0.0239,0.0541,0.078,0.1144,0.1113,-0.0031,0.7928,1.1072,0.3144,0.0528,0.0444,-0.0084,0.177,0.3426,0.1656,0.289,0.4477,0.1587,68.51,64.65,-0.0386,62.01,51.57,-0.1044,47.24,59.51,0.1227,52.77,54.89,0.0212,0.10891019272792968,0.005841007242998593,18.65,228.74,229.3,0.9163591402734885,-0.03
Medu,None,FairSmote,0.2379,0.0538,-0.1841,0.3287,0.1267,-0.202,3.9035,1.2806,-2.6229,-0.076,-0.0475,0.0285,0.198,0.4327,0.2347,0.313,0.5198,0.2068,68.41,60.52,-0.0789,60.66,47.64,-0.1302,50.02,63.66,0.1364,54.03,54.06,0.0003,0.09922647009967911,0.00457348826379852,21.7,223.8,228.15,0.7527138062630524,0.09
Medu,['Pstatus'],FairSmote,0.236,0.0837,-0.1523,0.3279,0.1308,-0.1971,3.8956,1.288,-2.6076,-0.0857,-0.0253,0.0604,0.1937,0.4574,0.2637,0.3102,0.5399,0.2297,68.7,59.85,-0.0885,61.17,46.99,-0.1418,49.95,65.5,0.1555,54.26,54.32,0.0006,0.10006509728446156,0.004405486761986035,22.71,224.6,229.08,0.7527138062630524,0.09
Medu,['age'],FairSmote,0.2511,0.0889,-0.1622,0.3277,0.1395,-0.1882,3.7896,1.2947,-2.4949,-0.0633,-0.0152,0.048,0.2025,0.4624,0.2599,0.3177,0.5573,0.2396,68.5,60.42,-0.0808,60.4,47.91,-0.1249,50.27,68.98,0.1871,54.32,56.05,0.0173,0.11192179085432417,0.004233381862488482,26.44,231.31,228.67,0.9163591402734885,0.03
Medu,['higher'],FairSmote,0.244,0.0766,-0.1674,0.3451,0.1522,-0.1929,5.3151,1.4571,-3.858,-0.0991,-0.0646,0.0345,0.177,0.4032,0.2262,0.289,0.4815,0.1925,68.51,60.14,-0.0837,62.01,47.58,-0.1443,47.24,58.9,0.1166,52.77,52.05,-0.0072,0.08772526396060715,0.007039447433142109,12.46,216.32,224.05,0.6744240722352938,0.12
Pstatus,None,FairSmote,-0.1183,0.051,0.1693,0.1266,0.1339,0.0073,0.8723,1.511,0.6387,-0.0282,-0.0125,0.0157,0.198,0.3785,0.1805,0.313,0.4653,0.1523,68.41,61.59,-0.0682,60.66,48.32,-0.1234,50.02,58.59,0.0857,54.03,52.14,-0.0189,0.09090704870219077,0.00321138404664,28.31,218.51,231.48,0.9163591402734885,-0.03
Pstatus,['Medu'],FairSmote,-0.0781,0.0251,0.1032,0.1423,0.1671,0.0248,0.9482,1.4768,0.5286,0.0052,-0.0335,-0.0387,0.2092,0.3704,0.1612,0.3027,0.4568,0.1541,65.63,61.3,-0.0434,56.94,48.81,-0.0813,45.42,57.73,0.1231,49.66,52.17,0.0251,0.09010768480685563,0.0038708737936630614,23.28,217.83,216.03,0.7527138062630524,-0.09
Pstatus,['age'],FairSmote,-0.0946,0.0333,0.1279,0.1208,0.1674,0.0466,0.9515,1.4516,0.5001,-0.0296,0.0054,0.035,0.2025,0.3885,0.186,0.3177,0.473,0.1553,68.5,61.2,-0.073,60.4,48.51,-0.1189,50.27,59.51,0.0924,54.32,52.75,-0.0157,0.09319637282317789,0.003223949468744823,28.91,219.9,231.87,0.9163591402734885,-0.03
Pstatus,['higher'],FairSmote,-0.07,0.055,0.125,0.0986,0.1415,0.0429,1.1555,1.5502,0.3947,-0.0963,-0.0365,0.0598,0.177,0.3643,0.1873,0.289,0.4539,0.1649,68.51,61.58,-0.0693,62.01,48.63,-0.1338,47.24,57.13,0.0989,52.77,51.82,-0.0095,0.08865896081681668,0.0044969259828319995,19.72,216.91,228.78,0.9163591402734885,-0.03
Walc,None,FairSmote,0.1766,0.0159,-0.1607,0.2715,0.1435,-0.128,3.8154,1.305,-2.5104,-0.0898,-0.0282,0.0617,0.198,0.3794,0.1814,0.313,0.4758,0.1628,68.41,63.6,-0.0481,60.66,50.39,-0.1027,50.02,62.1,0.1208,54.03,55.32,0.0129,0.11009503698082418,0.002846383754914657,38.68,229.45,228.3,0.9163591402734885,0.03
Walc,['Medu'],FairSmote,0.2473,0.0495,-0.1978,0.3126,0.1365,-0.1761,2.7719,1.4964,-1.2755,-0.0584,-0.0489,0.0095,0.2092,0.3675,0.1583,0.3027,0.4632,0.1605,65.63,63.11,-0.0252,56.94,49.77,-0.0717,45.42,59.53,0.1411,49.66,53.8,0.0414,0.10059950095793076,0.00481090706970112,20.91,223.97,213.88,1.0,0.0
Walc,['Pstatus'],FairSmote,0.1707,0.0181,-0.1526,0.2849,0.1504,-0.1345,3.0876,1.2746,-1.813,-0.1273,-0.0285,0.0988,0.1937,0.3836,0.1899,0.3102,0.4748,0.1646,68.7,62.35,-0.0635,61.17,48.43,-0.1274,49.95,59.22,0.0927,54.26,52.95,-0.0131,0.09468005540998847,0.002937824748421741,32.23,221.01,229.83,0.6744240722352938,0.12
Walc,['age'],FairSmote,0.1829,0.0075,-0.1754,0.2835,0.1588,-0.1247,3.8394,1.3823,-2.4571,-0.102,-0.0068,0.0953,0.2025,0.3787,0.1762,0.3177,0.4845,0.1668,68.5,63.89,-0.0462,60.4,50.95,-0.0945,50.27,64.28,0.1401,54.32,56.39,0.0207,0.11798441970235916,0.002193089223551822,53.8,233.55,228.58,0.9163591402734885,0.03
Walc,['higher'],FairSmote,0.1696,0.0237,-0.1459,0.2742,0.1464,-0.1278,1.897,1.2998,-0.5972,-0.1114,-0.0392,0.0722,0.177,0.3507,0.1737,0.289,0.4518,0.1628,68.51,64.27,-0.0424,62.01,51.01,-0.11,47.24,59.53,0.1229,52.77,54.59,0.0182,0.10653870224508345,0.003281831196518545,32.46,227.42,227.57,0.8336348830246822,0.06
absences,None,FairSmote,0.2891,0.0707,-0.2184,0.387,0.1859,-0.2011,0.0,1.1445,1.1445,-0.1297,-0.0258,0.1039,0.198,0.4132,0.2152,0.313,0.4894,0.1764,68.41,59.19,-0.0922,60.66,47.43,-0.1323,50.02,60.21,0.1019,54.03,52.18,-0.0185,0.0882059369034259,0.004193671616788501,21.03,217.1,231.73,0.8336348830246822,-0.06
absences,['Medu'],FairSmote,0.3083,0.0704,-0.2379,0.3828,0.1159,-0.2669,0.0,1.3957,1.3957,-0.0978,0.0167,0.1146,0.2092,0.4214,0.2122,0.3027,0.5085,0.2058,65.63,60.92,-0.0471,56.94,48.65,-0.0829,45.42,64.02,0.186,49.66,54.71,0.0505,0.10380095761227501,0.0047246428908326345,21.97,226.19,216.36,0.4622499461255427,-0.22
