Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
Fjob,None,0.6840934065934066,0.6320604395604396,-0.008900000000000002,0.034999999999999996,0.08449999999999999,0.08259999999999999,0.8667999999999999,1.0324,0.04554999999999999,0.05170000000000001,0.198,0.3688,0.313,0.4643,0.6066,0.4984,0.5002,0.5941,0.5403,0.5381
Fjob,['Medu'],0.6563095238095238,0.6128937728937729,-0.0685,0.0494,0.12969999999999998,0.12050000000000001,0.7069,1.0582,0.062450000000000006,0.07175000000000001,0.2092,0.4117,0.3027,0.5044000000000001,0.5694,0.47809999999999997,0.4542,0.6195999999999999,0.49660000000000004,0.5365
Fjob,['Pstatus'],0.6869688644688645,0.6387912087912089,-0.015900000000000004,0.03319999999999999,0.0944,0.1286,0.8318,1.0588000000000002,0.05344999999999998,0.043799999999999985,0.1937,0.37239999999999995,0.31020000000000003,0.4766,0.6117,0.4998,0.4995,0.6164,0.5426,0.5485
Fjob,['age'],0.6850274725274725,0.6503021978021978,-0.013300000000000001,0.0436,0.0834,0.096,0.82,1.0734,0.05749999999999998,0.0273,0.20249999999999999,0.3629,0.3177,0.4826,0.604,0.5244,0.5027,0.6543,0.5432,0.5768
Fjob,['higher'],0.6851007326007326,0.646529304029304,-0.023899999999999998,0.0541,0.11439999999999999,0.1113,0.7928,1.1072,0.05279999999999999,0.044399999999999995,0.177,0.3426,0.28900000000000003,0.44770000000000004,0.6201000000000001,0.5157,0.47240000000000004,0.5951,0.5277000000000001,0.5488999999999999
Medu,None,0.6840934065934066,0.6052197802197802,0.2379,0.053799999999999994,0.3287,0.1267,3.9034999999999997,1.2806000000000002,-0.07604999999999998,-0.047499999999999994,0.198,0.4327,0.313,0.5198,0.6066,0.47640000000000005,0.5002,0.6365999999999999,0.5403,0.5406
Medu,['Pstatus'],0.6869688644688645,0.5985164835164836,0.236,0.0837,0.32789999999999997,0.1308,3.8955999999999995,1.2879999999999998,-0.08569999999999997,-0.025250000000000012,0.1937,0.4574,0.31020000000000003,0.5399,0.6117,0.4699,0.4995,0.655,0.5426,0.5432
Medu,['age'],0.6850274725274725,0.6042124542124542,0.2511,0.0889,0.3277,0.1395,3.7896,1.2947000000000002,-0.06325,-0.01520000000000001,0.20249999999999999,0.46240000000000003,0.3177,0.5573,0.604,0.4791,0.5027,0.6898,0.5432,0.5605
Medu,['higher'],0.6851007326007326,0.6014010989010989,0.244,0.0766,0.3451,0.1522,5.315099999999999,1.4571,-0.0991,-0.06464999999999999,0.177,0.4032,0.28900000000000003,0.48150000000000004,0.6201000000000001,0.4758,0.47240000000000004,0.589,0.5277000000000001,0.5205
Pstatus,None,0.6840934065934066,0.6158516483516483,-0.1183,0.051000000000000004,0.1266,0.1339,0.8723000000000001,1.511,-0.028199999999999985,-0.012499999999999992,0.198,0.3785,0.313,0.46530000000000005,0.6066,0.48319999999999996,0.5002,0.5859,0.5403,0.5214000000000001
Pstatus,['Medu'],0.6563095238095238,0.6129578754578755,-0.0781,0.0251,0.1423,0.1671,0.9481999999999999,1.4768000000000001,0.005199999999999988,-0.03354999999999999,0.2092,0.3704,0.3027,0.4568,0.5694,0.48810000000000003,0.4542,0.5772999999999999,0.49660000000000004,0.5216999999999999
Pstatus,['age'],0.6850274725274725,0.6120054945054945,-0.09459999999999999,0.0333,0.12079999999999999,0.1674,0.9515,1.4516,-0.029649999999999992,0.005399999999999999,0.20249999999999999,0.38849999999999996,0.3177,0.473,0.604,0.4851,0.5027,0.5951,0.5432,0.5275000000000001
Pstatus,['higher'],0.6851007326007326,0.6158241758241758,-0.06999999999999999,0.05500000000000001,0.0986,0.14150000000000001,1.1555,1.5501999999999998,-0.09629999999999997,-0.036499999999999984,0.177,0.36429999999999996,0.28900000000000003,0.45389999999999997,0.6201000000000001,0.48629999999999995,0.47240000000000004,0.5713,0.5277000000000001,0.5182
