Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
Fjob,None,0.6840934065934066,0.6541117216117216,-0.008900000000000002,-0.0338,0.08449999999999999,0.12190000000000001,0.8667999999999999,0.9016,0.04554999999999999,0.05579999999999998,0.198,0.2745,0.313,0.3831,0.6066,0.5332,0.5002,0.5239,0.5403,0.5235000000000001
Fjob,['Medu'],0.6563095238095238,0.6274175824175824,-0.0685,-0.012499999999999995,0.12969999999999998,0.10289999999999999,0.7069,0.8878,0.062450000000000006,0.06950000000000003,0.2092,0.24820000000000003,0.3027,0.3254,0.5694,0.5062,0.4542,0.4263,0.49660000000000004,0.4572
Fjob,['Pstatus'],0.6869688644688645,0.6704395604395604,-0.015900000000000004,-0.026699999999999995,0.0944,0.11380000000000001,0.8318,0.9205,0.05344999999999998,0.039150000000000004,0.1937,0.2371,0.31020000000000003,0.3494,0.6117,0.5579,0.4995,0.4986,0.5426,0.5222
Fjob,['age'],0.6850274725274725,0.6638003663003663,-0.013300000000000001,-0.0446,0.0834,0.12710000000000002,0.82,0.8541000000000001,0.05749999999999998,0.04994999999999999,0.20249999999999999,0.278,0.3177,0.39449999999999996,0.604,0.5532999999999999,0.5027,0.5655,0.5432,0.5537
Fjob,['higher'],0.6851007326007326,0.6743589743589744,-0.023899999999999998,-0.0099,0.11439999999999999,0.1214,0.7928,0.9664999999999999,0.05279999999999999,0.07619999999999999,0.177,0.20789999999999997,0.28900000000000003,0.3189,0.6201000000000001,0.5797,0.47240000000000004,0.4751,0.5277000000000001,0.5174000000000001
Medu,None,0.6840934065934066,0.6302014652014651,0.2379,-0.012400000000000001,0.3287,0.10289999999999999,3.9034999999999997,1.0766,-0.07604999999999998,0.02269999999999998,0.198,0.2746,0.313,0.3609,0.6066,0.5124,0.5002,0.4761,0.5403,0.48650000000000004
Medu,['Pstatus'],0.6869688644688645,0.6360347985347985,0.236,0.003100000000000003,0.32789999999999997,0.0843,3.8955999999999995,1.1388,-0.08569999999999997,0.02599999999999999,0.1937,0.2354,0.31020000000000003,0.3169,0.6117,0.5193,0.4995,0.4262,0.5426,0.4605
Medu,['age'],0.6850274725274725,0.649386446886447,0.2511,-0.0125,0.3277,0.0765,3.7896,1.1131,-0.06325,-0.020800000000000003,0.20249999999999999,0.2611,0.3177,0.3649,0.604,0.5473,0.5027,0.5164,0.5432,0.522
Medu,['higher'],0.6851007326007326,0.629386446886447,0.244,0.023399999999999997,0.3451,0.0735,5.315099999999999,1.4367,-0.0991,0.01619999999999999,0.177,0.2197,0.28900000000000003,0.2909,0.6201000000000001,0.5176999999999999,0.47240000000000004,0.38849999999999996,0.5277000000000001,0.4345
Pstatus,None,0.6840934065934066,0.6552380952380952,-0.1183,-0.0278,0.1266,0.09590000000000001,0.8723000000000001,0.9998000000000001,-0.028199999999999985,-0.07859999999999999,0.198,0.2072,0.313,0.29769999999999996,0.6066,0.5512,0.5002,0.4213,0.5403,0.4739
Pstatus,['Medu'],0.6563095238095238,0.6360531135531136,-0.0781,0.041499999999999995,0.1423,0.11850000000000001,0.9481999999999999,1.5218,0.005199999999999988,-0.04634999999999998,0.2092,0.2427,0.3027,0.3265,0.5694,0.5201,0.4542,0.43929999999999997,0.49660000000000004,0.4706
