"Swap 
 Percentage",Measurement,Feature,race,c_charge_degree,sex,priors_count,age,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,"Jensen-Shannon
 divergence",age,0.0908/0.0983,0.0871/0.1004,0.0681/0.1219,0.09/0.0977,-,,0.09339995244685902,0.09339995244685902,0.30254376335514327,0.7541991410471967,[],"[0.09829328374642875, 0.10040734794389183, 0.12187923055084111, 0.09770775957540687]","[0.1890849025040151, 0.18746479260679808, 0.18999112486908803, 0.18765832106729557]"
70%,"Hellinger
 distance",age,1.3217/1.4842,1.2523/1.4436,1.0035/1.7596,1.2934/1.4183,-,,1.381487788851664,1.381487788851664,4.434311210203933,10.976545880905963,[],"[1.4841714614577834, 1.4435525279428194, 1.7596247822863869, 1.418298071017547]","[2.8059094216427467, 2.6958885330305957, 2.7630991887684457, 2.7116487374641736]"
70%,"Wasserstein
 distance",age,0.0062/0.0292,0.0046/0.01,0.0018/0.0111,0.0097/0.0085,-,,0.00946587072525245,0.00946587072525245,0.03884207870766646,0.08107868140839819,[],"[0.02924461484463791, 0.009966280468926888, 0.01107677095583855, 0.00846474969542468]","[0.03540340889569545, 0.014601289911542078, 0.0128824977820185, 0.01819148481914217]"
70%,"Total variation
 distance",age,0.2093/0.3202,0.1748/0.275,0.0988/0.38,0.2099/0.2625,-,,0.24704800103757796,0.24704800103757796,0.8658996310760302,3.1682470626528434,[],"[0.3201943412705089, 0.27496855729359837, 0.38002568487421173, 0.2625146766385854]","[0.8497105776939065, 0.7247402466108234, 0.8588846336647675, 0.7349116046833458]"
70%,"Jensen-Shannon
 divergence",age,0.1083/0.1152,0.1039/0.1164,0.085/0.1427,0.1059/0.1146,-,,0.11197935713678157,0.11197935713678157,0.35643523764900853,0.8919048539750474,[],"[0.11523252455501021, 0.11642819203480212, 0.14266923342167434, 0.11458181101296723]","[0.2235029035468907, 0.22028919192838503, 0.22764533304905316, 0.22046742545071846]"
10%,"Hellinger
 distance",race,-,-,0.0/0.2956,-,-,,0.2955805351553871,0.2955805351553871,0.4433708027330807,0.2955805351553871,[],[0.2955805351553871],[0.2955805351553871]
10%,"Wasserstein
 distance",race,-,-,0.0/0.0012,-,-,,0.00115330951891027,0.00115330951891027,0.001729964278365405,0.00115330951891027,[],[0.00115330951891027],[0.00115330951891027]
10%,"Total variation
 distance",race,-,-,0.0/0.0162,-,-,,0.01622118703486513,0.01622118703486513,0.024331780552297694,0.03244237406973026,[],[0.01622118703486513],[0.03244237406973026]
10%,"Jensen-Shannon
 divergence",race,-,-,0.0/0.0239,-,-,,0.023902276052306548,0.023902276052306548,0.03585341407845982,0.023902276052306548,[],[0.023902276052306548],[0.023902276052306548]
30%,"Hellinger
 distance",race,-,-,0.0/0.524,-,-,,0.5239553431245028,0.5239553431245028,0.7859330146867541,0.5239553431245028,[],[0.5239553431245028],[0.5239553431245028]
30%,"Wasserstein
 distance",race,-,-,0.0/0.0027,-,-,,0.00267634027115549,0.00267634027115549,0.004014510406733235,0.00267634027115549,[],[0.00267634027115549],[0.00267634027115549]
30%,"Total variation
 distance",race,-,-,0.0/0.0451,-,-,,0.04514434138414936,0.04514434138414936,0.06771651207622405,0.09028868276829873,[],[0.04514434138414936],[0.09028868276829873]
30%,"Jensen-Shannon
 divergence",race,-,-,0.0/0.0424,-,-,,0.04237628744110085,0.04237628744110085,0.06356443116165128,0.04237628744110085,[],[0.04237628744110085],[0.04237628744110085]
50%,"Hellinger
 distance",race,-,-,0.0/0.6588,-,-,,0.6587594696472657,0.6587594696472657,0.9881392044708985,0.6587594696472657,[],[0.6587594696472657],[0.6587594696472657]
50%,"Wasserstein
 distance",race,-,-,0.0/0.0039,-,-,,0.00393847647068774,0.00393847647068774,0.0059077147060316105,0.00393847647068774,[],[0.00393847647068774],[0.00393847647068774]
50%,"Total variation
 distance",race,-,-,0.0/0.0688,-,-,,0.06878589402155902,0.06878589402155902,0.10317884103233853,0.13757178804311804,[],[0.06878589402155902],[0.13757178804311804]
50%,"Jensen-Shannon
 divergence",race,-,-,0.0/0.0533,-,-,,0.05325852103728035,0.05325852103728035,0.07988778155592052,0.05325852103728035,[],[0.05325852103728035],[0.05325852103728035]
70%,"Hellinger
 distance",race,-,-,0.0/0.7786,-,-,,0.7786037453844836,0.7786037453844836,1.1679056180767255,0.7786037453844836,[],[0.7786037453844836],[0.7786037453844836]
70%,"Wasserstein
 distance",race,-,-,0.0/0.0057,-,-,,0.00565723844596342,0.00565723844596342,0.00848585766894513,0.00565723844596342,[],[0.00565723844596342],[0.00565723844596342]
70%,"Total variation
 distance",race,-,-,0.0/0.0952,-,-,,0.09518257308264147,0.09518257308264147,0.14277385962396222,0.19036514616528294,[],[0.09518257308264147],[0.19036514616528294]
70%,"Jensen-Shannon
 divergence",race,-,-,0.0/0.0629,-,-,,0.06286259429844779,0.06286259429844779,0.09429389144767168,0.06286259429844779,[],[0.06286259429844779],[0.06286259429844779]
